ward,precinct,total,Jesse White,Jesse White Percent,precinct_id
27,1,64,64,100.0,27001
27,2,75,75,100.0,27002
27,3,121,121,100.0,27003
27,4,40,40,100.0,27004
27,5,36,36,100.0,27005
27,6,40,40,100.0,27006
27,7,68,68,100.0,27007
27,8,74,74,100.0,27008
27,9,142,142,100.0,27009
27,10,198,198,100.0,27010
27,11,47,47,100.0,27011
27,12,63,63,100.0,27012
27,13,97,97,100.0,27013
27,14,135,135,100.0,27014
27,15,136,136,100.0,27015
27,16,29,29,100.0,27016
27,17,45,45,100.0,27017
27,18,40,40,100.0,27018
27,19,137,137,100.0,27019
27,20,107,107,100.0,27020
27,21,116,116,100.0,27021
27,22,164,164,100.0,27022
27,23,90,90,100.0,27023
27,24,144,144,100.0,27024
27,25,48,48,100.0,27025
27,26,108,108,100.0,27026
27,27,77,77,100.0,27027
27,28,87,87,100.0,27028
27,29,50,50,100.0,27029
27,30,43,43,100.0,27030
27,31,79,79,100.0,27031
27,32,89,89,100.0,27032
27,33,56,56,100.0,27033
27,34,184,184,100.0,27034
27,35,65,65,100.0,27035
27,36,93,93,100.0,27036
27,37,168,168,100.0,27037
27,38,46,46,100.0,27038
27,39,79,79,100.0,27039
27,40,50,50,100.0,27040
27,41,49,49,100.0,27041
27,42,31,31,100.0,27042
27,43,45,45,100.0,27043
27,44,155,155,100.0,27044
27,45,23,23,100.0,27045
