ward,precinct,total,Joann Thompson,Joann Thompson Percent,precinct_id
16,1,29,29,100.0,16001
16,2,34,34,100.0,16002
16,3,58,58,100.0,16003
16,4,27,27,100.0,16004
16,5,44,44,100.0,16005
16,6,19,19,100.0,16006
16,7,48,48,100.0,16007
16,8,41,41,100.0,16008
16,9,87,87,100.0,16009
16,10,67,67,100.0,16010
16,11,51,51,100.0,16011
16,12,78,78,100.0,16012
16,13,33,33,100.0,16013
16,14,39,39,100.0,16014
16,15,58,58,100.0,16015
16,16,93,93,100.0,16016
16,17,29,29,100.0,16017
16,18,59,59,100.0,16018
16,19,60,60,100.0,16019
16,20,79,79,100.0,16020
16,21,28,28,100.0,16021
16,22,28,28,100.0,16022
16,23,25,25,100.0,16023
16,24,38,38,100.0,16024
16,25,44,44,100.0,16025
16,26,47,47,100.0,16026
16,27,102,102,100.0,16027
16,28,67,67,100.0,16028
16,29,45,45,100.0,16029
16,30,43,43,100.0,16030
16,31,58,58,100.0,16031
16,32,28,28,100.0,16032
16,33,37,37,100.0,16033
16,34,31,31,100.0,16034
16,35,25,25,100.0,16035
16,36,80,80,100.0,16036
16,37,45,45,100.0,16037
16,38,39,39,100.0,16038
16,39,42,42,100.0,16039
16,40,63,63,100.0,16040
