ward,precinct,total,Deborah L. Mell,Deborah L. Mell Percent,precinct_id
1,19,41,41,100.0,01019
1,39,24,24,100.0,01039
1,41,45,45,100.0,01041
30,1,67,67,100.0,30001
30,3,59,59,100.0,30003
30,8,78,78,100.0,30008
30,13,2,2,100.0,30013
30,15,47,47,100.0,30015
30,18,45,45,100.0,30018
30,25,27,27,100.0,30025
30,28,73,73,100.0,30028
31,16,0,0,0.0,31016
33,1,61,61,100.0,33001
33,2,104,104,100.0,33002
33,3,60,60,100.0,33003
33,4,66,66,100.0,33004
33,5,60,60,100.0,33005
33,6,117,117,100.0,33006
33,9,72,72,100.0,33009
33,11,69,69,100.0,33011
33,12,79,79,100.0,33012
33,13,74,74,100.0,33013
33,14,57,57,100.0,33014
33,15,76,76,100.0,33015
33,16,51,51,100.0,33016
33,17,86,86,100.0,33017
33,19,70,70,100.0,33019
33,20,70,70,100.0,33020
33,21,74,74,100.0,33021
33,22,142,142,100.0,33022
33,25,80,80,100.0,33025
33,26,65,65,100.0,33026
33,27,62,62,100.0,33027
35,1,54,54,100.0,35001
35,4,61,61,100.0,35004
35,5,47,47,100.0,35005
35,6,60,60,100.0,35006
35,7,55,55,100.0,35007
35,8,91,91,100.0,35008
35,9,56,56,100.0,35009
35,12,27,27,100.0,35012
35,13,11,11,100.0,35013
35,18,48,48,100.0,35018
35,22,14,14,100.0,35022
35,24,25,25,100.0,35024
35,26,57,57,100.0,35026
35,27,112,112,100.0,35027
35,29,109,109,100.0,35029
35,33,47,47,100.0,35033
38,5,75,75,100.0,38005
38,7,52,52,100.0,38007
38,9,64,64,100.0,38009
38,10,79,79,100.0,38010
38,20,94,94,100.0,38020
39,12,67,67,100.0,39012
39,13,28,28,100.0,39013
39,21,0,0,0.0,39021
39,22,49,49,100.0,39022
39,23,51,51,100.0,39023
39,24,46,46,100.0,39024
39,25,71,71,100.0,39025
39,27,60,60,100.0,39027
39,28,125,125,100.0,39028
39,30,51,51,100.0,39030
39,31,39,39,100.0,39031
39,34,75,75,100.0,39034
45,7,4,4,100.0,45007
45,31,4,4,100.0,45031
