ward,precinct,total,Mary Jane Theis,Mary Jane Theis Percent,Aurelia Marie Pucinski,Aurelia Marie Pucinski Percent,Joy Virginia Cunningham,Joy Virginia Cunningham Percent,Thomas W. Flannigan,Thomas W. Flannigan Percent,precinct_id
1,1,106,60,56.6,37,34.91,8,7.55,1,0.94,01001
1,2,54,25,46.3,18,33.33,8,14.81,3,5.56,01002
1,3,40,25,62.5,4,10.0,6,15.0,5,12.5,01003
1,4,60,34,56.67,17,28.33,8,13.33,1,1.67,01004
1,5,48,26,54.17,8,16.67,7,14.58,7,14.58,01005
1,6,61,38,62.3,14,22.95,2,3.28,7,11.48,01006
1,7,30,18,60.0,9,30.0,2,6.67,1,3.33,01007
1,8,69,40,57.97,11,15.94,11,15.94,7,10.14,01008
1,9,96,49,51.04,19,19.79,18,18.75,10,10.42,01009
1,10,62,30,48.39,12,19.35,17,27.42,3,4.84,01010
1,11,46,15,32.61,19,41.3,7,15.22,5,10.87,01011
1,12,67,37,55.22,13,19.4,11,16.42,6,8.96,01012
1,13,143,76,53.15,38,26.57,19,13.29,10,6.99,01013
1,14,82,48,58.54,20,24.39,9,10.98,5,6.1,01014
1,15,62,27,43.55,14,22.58,13,20.97,8,12.9,01015
1,16,72,30,41.67,19,26.39,14,19.44,9,12.5,01016
1,17,25,17,68.0,3,12.0,3,12.0,2,8.0,01017
1,18,65,35,53.85,14,21.54,14,21.54,2,3.08,01018
1,19,60,33,55.0,15,25.0,12,20.0,0,0.0,01019
1,20,133,62,46.62,40,30.08,17,12.78,14,10.53,01020
1,21,69,41,59.42,9,13.04,12,17.39,7,10.14,01021
1,22,55,26,47.27,11,20.0,12,21.82,6,10.91,01022
1,23,66,45,68.18,14,21.21,3,4.55,4,6.06,01023
1,24,166,84,50.6,41,24.7,25,15.06,16,9.64,01024
1,25,46,29,63.04,8,17.39,5,10.87,4,8.7,01025
1,26,33,17,51.52,9,27.27,5,15.15,2,6.06,01026
1,27,33,12,36.36,9,27.27,6,18.18,6,18.18,01027
1,28,25,17,68.0,6,24.0,1,4.0,1,4.0,01028
1,29,65,36,55.38,13,20.0,12,18.46,4,6.15,01029
1,30,149,85,57.05,37,24.83,14,9.4,13,8.72,01030
1,31,50,34,68.0,8,16.0,7,14.0,1,2.0,01031
1,32,70,29,41.43,24,34.29,8,11.43,9,12.86,01032
1,33,69,35,50.72,14,20.29,9,13.04,11,15.94,01033
1,34,31,14,45.16,8,25.81,6,19.35,3,9.68,01034
1,35,43,27,62.79,5,11.63,7,16.28,4,9.3,01035
1,36,52,30,57.69,10,19.23,10,19.23,2,3.85,01036
