ward,precinct,total,Ariel E. Reboyras,Ariel E. Reboyras Percent,precinct_id
30,1,60,60,100.0,30001
30,2,62,62,100.0,30002
30,3,61,61,100.0,30003
30,4,63,63,100.0,30004
30,5,45,45,100.0,30005
30,6,89,89,100.0,30006
30,7,40,40,100.0,30007
30,8,79,79,100.0,30008
30,9,150,150,100.0,30009
30,10,38,38,100.0,30010
30,11,42,42,100.0,30011
30,12,61,61,100.0,30012
30,13,118,118,100.0,30013
30,14,78,78,100.0,30014
30,15,53,53,100.0,30015
30,16,16,16,100.0,30016
30,17,24,24,100.0,30017
30,18,88,88,100.0,30018
30,19,35,35,100.0,30019
30,20,19,19,100.0,30020
30,21,43,43,100.0,30021
30,22,50,50,100.0,30022
30,23,31,31,100.0,30023
30,24,52,52,100.0,30024
30,25,24,24,100.0,30025
30,26,34,34,100.0,30026
30,27,59,59,100.0,30027
30,28,76,76,100.0,30028
30,29,19,19,100.0,30029
30,30,68,68,100.0,30030
30,31,25,25,100.0,30031
