ward,precinct,total,Paula A. Basta,Paula A. Basta Percent,precinct_id
40,3,82,39,47.56,40003
40,7,48,22,45.83,40007
40,11,65,24,36.92,40011
40,12,82,28,34.15,40012
40,13,191,55,28.8,40013
40,16,119,62,52.1,40016
40,26,115,44,38.26,40026
40,28,101,38,37.62,40028
48,1,89,37,41.57,48001
48,2,101,41,40.59,48002
48,3,143,57,39.86,48003
48,5,126,36,28.57,48005
48,6,127,48,37.8,48006
48,7,82,36,43.9,48007
48,8,75,24,32.0,48008
48,9,113,52,46.02,48009
48,10,59,19,32.2,48010
48,11,152,69,45.39,48011
48,12,86,32,37.21,48012
48,13,101,43,42.57,48013
48,14,119,58,48.74,48014
48,15,55,25,45.45,48015
48,16,86,37,43.02,48016
48,18,80,32,40.0,48018
48,19,107,40,37.38,48019
48,20,90,32,35.56,48020
48,21,0,0,0.0,48021
48,22,169,49,28.99,48022
48,26,102,38,37.25,48026
48,27,114,47,41.23,48027
48,28,115,34,29.57,48028
48,29,152,42,27.63,48029
48,30,124,38,30.65,48030
48,31,81,26,32.1,48031
48,32,74,23,31.08,48032
48,33,122,39,31.97,48033
48,36,103,43,41.75,48036
48,37,68,28,41.18,48037
48,38,161,64,39.75,48038
48,39,101,43,42.57,48039
48,40,77,32,41.56,48040
48,41,47,16,34.04,48041
48,42,100,50,50.0,48042
48,43,120,67,55.83,48043
48,44,127,45,35.43,48044
48,45,76,29,38.16,48045
48,46,129,56,43.41,48046
48,47,78,28,35.9,48047
48,48,106,44,41.51,48048
48,50,128,46,35.94,48050
48,51,178,79,44.38,48051
48,52,77,38,49.35,48052
49,1,106,42,39.62,49001
49,2,138,66,47.83,49002
49,3,94,40,42.55,49003
49,4,59,14,23.73,49004
49,5,123,49,39.84,49005
49,6,108,33,30.56,49006
49,7,188,59,31.38,49007
49,8,113,41,36.28,49008
49,9,86,26,30.23,49009
49,10,99,49,49.49,49010
49,11,88,34,38.64,49011
49,12,127,40,31.5,49012
49,13,152,63,41.45,49013
49,14,94,42,44.68,49014
49,15,85,36,42.35,49015
49,16,108,40,37.04,49016
49,17,17,7,41.18,49017
49,18,76,37,48.68,49018
49,19,154,46,29.87,49019
49,20,146,64,43.84,49020
49,21,90,32,35.56,49021
49,22,124,33,26.61,49022
49,23,84,26,30.95,49023
49,24,202,82,40.59,49024
49,25,119,40,33.61,49025
49,26,125,50,40.0,49026
49,27,116,34,29.31,49027
49,28,71,26,36.62,49028
49,29,117,32,27.35,49029
49,30,132,51,38.64,49030
49,31,107,36,33.64,49031
49,32,110,40,36.36,49032
49,33,93,22,23.66,49033
49,34,114,48,42.11,49034
49,35,120,44,36.67,49035
49,36,141,53,37.59,49036
49,37,137,52,37.96,49037
49,38,87,29,33.33,49038
50,28,0,0,0.0,50028
