ward,precinct,total,Beatriz Santiago,Beatriz Santiago Percent,Mark V. Ferrante,Mark V. Ferrante Percent,"Gregory Emmett Ahern, Jr.","Gregory Emmett Ahern, Jr. Percent",Carlos Claudio,Carlos Claudio Percent,Ricardo Lugo,Ricardo Lugo Percent,Unnamed: 13,precinct_id
1,1,84,31,36.9,15,17.86,27,32.14,4,4.76,0,0.0,7,01001
1,2,43,14,32.56,7,16.28,10,23.26,5,11.63,0,0.0,14,01002
1,3,33,16,48.48,1,3.03,13,39.39,3,9.09,0,0.0,14,01003
1,4,53,16,30.19,7,13.21,21,39.62,9,16.98,0,0.0,14,01004
1,5,37,14,37.84,3,8.11,12,32.43,4,10.81,0,0.0,18,01005
1,6,37,17,45.95,3,8.11,11,29.73,6,16.22,0,0.0,18,01006
1,7,30,10,33.33,5,16.67,7,23.33,5,16.67,0,0.0,21,01007
1,8,59,22,37.29,13,22.03,16,27.12,5,8.47,0,0.0,24,01008
1,9,82,25,30.49,7,8.54,15,18.29,31,37.8,0,0.0,28,01009
1,10,48,18,37.5,12,25.0,16,33.33,1,2.08,0,0.0,29,01010
1,11,42,23,54.76,2,4.76,7,16.67,7,16.67,0,0.0,32,01011
1,12,58,15,25.86,10,17.24,21,36.21,7,12.07,0,0.0,37,01012
1,13,128,53,41.41,17,13.28,23,17.97,23,17.97,0,0.0,49,01013
1,14,70,24,34.29,5,7.14,17,24.29,18,25.71,0,0.0,55,01014
1,15,60,24,40.0,5,8.33,10,16.67,18,30.0,0,0.0,58,01015
1,16,79,23,29.11,1,1.27,11,13.92,39,49.37,0,0.0,63,01016
1,17,26,2,7.69,7,26.92,11,42.31,4,15.38,0,0.0,65,01017
1,18,54,22,40.74,5,9.26,12,22.22,12,22.22,0,0.0,68,01018
1,19,48,16,33.33,8,16.67,13,27.08,8,16.67,0,0.0,71,01019
1,20,121,43,35.54,10,8.26,16,13.22,27,22.31,0,0.0,96,01020
1,21,58,20,34.48,7,12.07,20,34.48,10,17.24,0,0.0,97,01021
1,22,47,21,44.68,1,2.13,10,21.28,10,21.28,0,0.0,102,01022
1,23,61,30,49.18,10,16.39,11,18.03,7,11.48,0,0.0,105,01023
1,24,146,49,33.56,21,14.38,27,18.49,19,13.01,0,0.0,135,01024
1,25,40,12,30.0,2,5.0,15,37.5,8,20.0,0,0.0,138,01025
1,26,26,3,11.54,0,0.0,11,42.31,7,26.92,0,0.0,143,01026
1,27,32,12,37.5,2,6.25,10,31.25,7,21.88,0,0.0,144,01027
1,28,20,3,15.0,0,0.0,13,65.0,3,15.0,0,0.0,145,01028
1,29,58,20,34.48,8,13.79,9,15.52,11,18.97,0,0.0,155,01029
1,30,136,47,34.56,17,12.5,14,10.29,38,27.94,0,0.0,175,01030
1,31,41,9,21.95,10,24.39,15,36.59,3,7.32,0,0.0,179,01031
1,32,80,30,37.5,6,7.5,9,11.25,23,28.75,0,0.0,191,01032
1,33,57,23,40.35,9,15.79,15,26.32,6,10.53,0,0.0,195,01033
1,34,31,11,35.48,3,9.68,6,19.35,7,22.58,0,0.0,199,01034
1,35,32,7,21.88,13,40.63,4,12.5,6,18.75,0,0.0,201,01035
1,36,40,18,45.0,12,30.0,8,20.0,0,0.0,0,0.0,203,01036
1,37,53,25,47.17,6,11.32,9,16.98,10,18.87,0,0.0,206,01037
1,38,36,12,33.33,7,19.44,8,22.22,7,19.44,0,0.0,208,01038
1,39,63,21,33.33,7,11.11,17,26.98,13,20.63,0,0.0,213,01039
1,40,29,12,41.38,6,20.69,8,27.59,1,3.45,0,0.0,215,01040
1,41,46,15,32.61,7,15.22,12,26.09,8,17.39,0,0.0,219,01041
1,42,31,10,32.26,4,12.9,14,45.16,0,0.0,0,0.0,222,01042
1,43,71,25,35.21,1,1.41,13,18.31,14,19.72,0,0.0,240,01043
1,44,30,10,33.33,8,26.67,10,33.33,2,6.67,0,0.0,240,01044
1,45,59,27,45.76,7,11.86,16,27.12,4,6.78,0,0.0,245,01045
1,46,66,22,33.33,11,16.67,25,37.88,6,9.09,0,0.0,247,01046
1,47,51,11,21.57,13,25.49,18,35.29,4,7.84,0,0.0,252,01047
1,48,51,23,45.1,5,9.8,10,19.61,7,13.73,0,0.0,258,01048
26,1,39,20,51.28,2,5.13,9,23.08,4,10.26,0,0.0,262,26001
26,2,41,29,70.73,0,0.0,1,2.44,6,14.63,0,0.0,267,26002
26,3,36,17,47.22,2,5.56,4,11.11,5,13.89,0,0.0,275,26003
26,4,29,8,27.59,5,17.24,3,10.34,10,34.48,0,0.0,278,26004
26,5,54,33,61.11,2,3.7,7,12.96,5,9.26,0,0.0,285,26005
26,6,34,14,41.18,2,5.88,1,2.94,12,35.29,0,0.0,290,26006
26,7,33,15,45.45,3,9.09,10,30.3,3,9.09,0,0.0,292,26007
26,8,37,12,32.43,2,5.41,10,27.03,3,8.11,0,0.0,302,26008
26,9,43,21,48.84,0,0.0,9,20.93,7,16.28,0,0.0,308,26009
26,10,3,0,0.0,0,0.0,0,0.0,2,66.67,0,0.0,309,26010
26,11,30,15,50.0,0,0.0,4,13.33,6,20.0,0,0.0,314,26011
26,12,56,25,44.64,3,5.36,7,12.5,17,30.36,0,0.0,318,26012
26,13,120,45,37.5,16,13.33,26,21.67,25,20.83,0,0.0,326,26013
26,14,33,19,57.58,2,6.06,2,6.06,6,18.18,0,0.0,330,26014
26,15,28,12,42.86,3,10.71,7,25.0,5,17.86,0,0.0,331,26015
26,16,32,11,34.38,2,6.25,3,9.38,8,25.0,0,0.0,339,26016
26,18,27,13,48.15,1,3.7,2,7.41,9,33.33,0,0.0,341,26018
26,19,114,30,26.32,18,15.79,19,16.67,30,26.32,0,0.0,358,26019
26,20,42,23,54.76,3,7.14,7,16.67,8,19.05,0,0.0,359,26020
26,21,24,5,20.83,4,16.67,5,20.83,6,25.0,0,0.0,363,26021
26,22,32,18,56.25,2,6.25,3,9.38,6,18.75,0,0.0,366,26022
26,23,35,14,40.0,6,17.14,5,14.29,8,22.86,0,0.0,368,26023
26,24,39,19,48.72,1,2.56,5,12.82,10,25.64,0,0.0,372,26024
26,25,33,22,66.67,1,3.03,3,9.09,3,9.09,0,0.0,376,26025
26,26,25,14,56.0,2,8.0,1,4.0,5,20.0,0,0.0,379,26026
26,27,58,16,27.59,2,3.45,6,10.34,20,34.48,0,0.0,393,26027
26,28,19,7,36.84,1,5.26,4,21.05,6,31.58,0,0.0,394,26028
26,29,40,20,50.0,1,2.5,4,10.0,10,25.0,0,0.0,399,26029
26,30,21,12,57.14,2,9.52,0,0.0,5,23.81,0,0.0,401,26030
26,31,43,22,51.16,0,0.0,1,2.33,12,27.91,0,0.0,409,26031
26,32,38,9,23.68,10,26.32,15,39.47,3,7.89,0,0.0,410,26032
26,33,27,17,62.96,2,7.41,4,14.81,2,7.41,0,0.0,412,26033
26,34,73,39,53.42,9,12.33,9,12.33,11,15.07,0,0.0,417,26034
26,35,43,21,48.84,1,2.33,5,11.63,9,20.93,0,0.0,424,26035
26,36,37,24,64.86,1,2.7,5,13.51,4,10.81,0,0.0,427,26036
26,37,27,21,77.78,0,0.0,2,7.41,3,11.11,0,0.0,428,26037
26,38,18,12,66.67,1,5.56,2,11.11,2,11.11,0,0.0,429,26038
26,39,13,7,53.85,0,0.0,1,7.69,3,23.08,0,0.0,431,26039
26,40,20,12,60.0,3,15.0,2,10.0,2,10.0,0,0.0,432,26040
26,41,48,19,39.58,1,2.08,5,10.42,17,35.42,0,0.0,438,26041
26,42,24,12,50.0,2,8.33,5,20.83,4,16.67,0,0.0,439,26042
26,43,33,19,57.58,1,3.03,2,6.06,7,21.21,0,0.0,443,26043
26,44,40,15,37.5,10,25.0,9,22.5,4,10.0,0,0.0,445,26044
26,45,57,30,52.63,7,12.28,7,12.28,8,14.04,0,0.0,450,26045
26,46,31,16,51.61,3,9.68,6,19.35,2,6.45,0,0.0,454,26046
26,47,16,13,81.25,0,0.0,0,0.0,2,12.5,0,0.0,455,26047
26,48,47,23,48.94,5,10.64,9,19.15,5,10.64,0,0.0,460,26048
26,49,44,22,50.0,3,6.82,4,9.09,12,27.27,0,0.0,463,26049
26,50,36,12,33.33,3,8.33,7,19.44,6,16.67,0,0.0,471,26050
26,51,68,19,27.94,4,5.88,6,8.82,30,44.12,0,0.0,480,26051
26,52,42,17,40.48,0,0.0,3,7.14,10,23.81,0,0.0,492,26052
26,53,33,11,33.33,3,9.09,1,3.03,3,9.09,0,0.0,507,26053
27,4,34,18,52.94,0,0.0,6,17.65,7,20.59,0,0.0,510,27004
27,10,148,73,49.32,13,8.78,41,27.7,14,9.46,0,0.0,517,27010
27,11,24,7,29.17,5,20.83,11,45.83,0,0.0,0,0.0,518,27011
27,13,91,32,35.16,20,21.98,26,28.57,9,9.89,0,0.0,522,27013
27,18,41,11,26.83,8,19.51,19,46.34,1,2.44,0,0.0,524,27018
27,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,524,27027
27,30,30,15,50.0,4,13.33,8,26.67,1,3.33,0,0.0,526,27030
27,32,78,41,52.56,8,10.26,17,21.79,6,7.69,0,0.0,532,27032
27,35,8,4,50.0,0,0.0,1,12.5,2,25.0,0,0.0,533,27035
27,38,49,23,46.94,8,16.33,10,20.41,2,4.08,0,0.0,539,27038
27,39,66,33,50.0,9,13.64,15,22.73,3,4.55,0,0.0,545,27039
27,40,33,14,42.42,7,21.21,10,30.3,2,6.06,0,0.0,545,27040
27,41,48,23,47.92,8,16.67,13,27.08,2,4.17,0,0.0,547,27041
27,43,38,12,31.58,8,21.05,15,39.47,0,0.0,0,0.0,550,27043
29,7,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,550,29007
30,4,73,38,52.05,7,9.59,12,16.44,7,9.59,0,0.0,559,30004
30,5,46,27,58.7,0,0.0,3,6.52,9,19.57,0,0.0,566,30005
30,11,42,22,52.38,4,9.52,5,11.9,7,16.67,0,0.0,570,30011
30,14,27,7,25.93,4,14.81,8,29.63,4,14.81,0,0.0,574,30014
30,16,14,8,57.14,2,14.29,2,14.29,2,14.29,0,0.0,574,30016
30,19,34,12,35.29,4,11.76,7,20.59,5,14.71,0,0.0,580,30019
30,20,21,9,42.86,3,14.29,1,4.76,5,23.81,0,0.0,583,30020
30,21,40,26,65.0,1,2.5,3,7.5,6,15.0,0,0.0,587,30021
30,22,61,21,34.43,2,3.28,3,4.92,22,36.07,0,0.0,600,30022
30,23,37,21,56.76,0,0.0,6,16.22,6,16.22,0,0.0,604,30023
30,24,44,19,43.18,1,2.27,4,9.09,12,27.27,0,0.0,612,30024
30,26,34,25,73.53,1,2.94,2,5.88,4,11.76,0,0.0,614,30026
30,27,58,26,44.83,5,8.62,11,18.97,7,12.07,0,0.0,623,30027
30,29,19,10,52.63,2,10.53,0,0.0,2,10.53,0,0.0,628,30029
30,31,26,14,53.85,0,0.0,2,7.69,6,23.08,0,0.0,632,30031
31,1,58,29,50.0,3,5.17,7,12.07,14,24.14,0,0.0,637,31001
