ward,precinct,total,Jacques A. Conway,Jacques A. Conway Percent,Danny K. Davis,Danny K. Davis Percent,precinct_id
1,1,84,25,29.76,59,70.24,01001
1,6,63,13,20.63,50,79.37,01006
1,11,9,3,33.33,6,66.67,01011
1,44,13,5,38.46,8,61.54,01044
2,1,137,27,19.71,110,80.29,02001
2,2,17,5,29.41,12,70.59,02002
2,3,97,16,16.49,81,83.51,02003
2,4,95,7,7.37,88,92.63,02004
2,5,110,11,10.0,99,90.0,02005
2,6,77,17,22.08,60,77.92,02006
2,7,183,17,9.29,166,90.71,02007
2,8,150,20,13.33,130,86.67,02008
2,9,99,15,15.15,84,84.85,02009
2,10,106,10,9.43,96,90.57,02010
2,11,174,37,21.26,137,78.74,02011
2,12,82,21,25.61,61,74.39,02012
2,13,170,19,11.18,151,88.82,02013
2,14,6,1,16.67,5,83.33,02014
2,15,63,6,9.52,57,90.48,02015
2,16,73,16,21.92,57,78.08,02016
2,17,92,8,8.7,84,91.3,02017
2,18,104,21,20.19,83,79.81,02018
2,19,131,29,22.14,102,77.86,02019
2,20,228,27,11.84,201,88.16,02020
2,21,184,10,5.43,174,94.57,02021
2,22,190,38,20.0,152,80.0,02022
2,23,85,13,15.29,72,84.71,02023
2,24,66,11,16.67,55,83.33,02024
2,25,114,16,14.04,98,85.96,02025
2,26,121,21,17.36,100,82.64,02026
2,27,116,8,6.9,108,93.1,02027
2,28,50,15,30.0,35,70.0,02028
2,29,73,3,4.11,70,95.89,02029
2,30,100,27,27.0,73,73.0,02030
2,32,37,3,8.11,34,91.89,02032
2,33,53,5,9.43,48,90.57,02033
2,34,144,11,7.64,133,92.36,02034
2,35,93,19,20.43,74,79.57,02035
2,36,165,25,15.15,140,84.85,02036
2,37,87,21,24.14,66,75.86,02037
2,38,164,41,25.0,123,75.0,02038
2,39,93,15,16.13,78,83.87,02039
2,40,191,28,14.66,163,85.34,02040
2,41,47,1,2.13,46,97.87,02041
2,42,111,7,6.31,104,93.69,02042
2,43,149,27,18.12,122,81.88,02043
2,45,121,10,8.26,111,91.74,02045
2,47,178,17,9.55,161,90.45,02047
2,48,120,9,7.5,111,92.5,02048
2,49,87,19,21.84,68,78.16,02049
2,50,57,17,29.82,40,70.18,02050
2,51,71,6,8.45,65,91.55,02051
2,52,161,18,11.18,143,88.82,02052
2,53,63,15,23.81,48,76.19,02053
2,54,41,10,24.39,31,75.61,02054
3,1,138,9,6.52,129,93.48,03001
3,2,203,25,12.32,178,87.68,03002
3,3,110,27,24.55,83,75.45,03003
3,4,91,7,7.69,84,92.31,03004
3,6,16,0,0.0,16,100.0,03006
3,8,88,15,17.05,73,82.95,03008
3,9,121,14,11.57,107,88.43,03009
3,10,35,1,2.86,34,97.14,03010
3,11,104,11,10.58,93,89.42,03011
3,12,87,7,8.05,80,91.95,03012
3,14,119,3,2.52,116,97.48,03014
3,15,141,16,11.35,125,88.65,03015
3,16,96,10,10.42,86,89.58,03016
3,17,49,6,12.24,43,87.76,03017
3,18,61,6,9.84,55,90.16,03018
3,20,84,6,7.14,78,92.86,03020
3,21,36,5,13.89,31,86.11,03021
3,22,65,5,7.69,60,92.31,03022
3,23,82,3,3.66,79,96.34,03023
3,24,156,14,8.97,142,91.03,03024
3,25,67,10,14.93,57,85.07,03025
3,26,28,3,10.71,25,89.29,03026
3,27,107,9,8.41,98,91.59,03027
3,28,123,33,26.83,90,73.17,03028
3,29,121,15,12.4,106,87.6,03029
3,31,220,24,10.91,196,89.09,03031
3,32,88,9,10.23,79,89.77,03032
3,33,140,15,10.71,125,89.29,03033
