ward,precinct,total,Andr̩ Thapedi,Andr̩ Thapedi Percent,Bobby Joe Johnson,Bobby Joe Johnson Percent,precinct_id
6,4,100,65,65.0,35,35.0,06004
6,5,128,99,77.34,29,22.66,06005
6,6,270,218,80.74,52,19.26,06006
6,7,150,128,85.33,22,14.67,06007
6,11,111,82,73.87,29,26.13,06011
6,12,156,39,25.0,117,75.0,06012
6,15,71,57,80.28,14,19.72,06015
6,19,61,43,70.49,18,29.51,06019
6,20,46,33,71.74,13,28.26,06020
6,30,101,75,74.26,26,25.74,06030
6,32,135,118,87.41,17,12.59,06032
6,33,182,164,90.11,18,9.89,06033
6,36,68,49,72.06,19,27.94,06036
6,39,0,0,0.0,0,0.0,06039
6,42,50,34,68.0,16,32.0,06042
6,48,110,91,82.73,19,17.27,06048
6,49,151,100,66.23,51,33.77,06049
6,55,107,86,80.37,21,19.63,06055
6,56,108,83,76.85,25,23.15,06056
13,6,112,99,88.39,13,11.61,13006
13,10,84,58,69.05,26,30.95,13010
13,11,90,69,76.67,21,23.33,13011
13,21,107,63,58.88,44,41.12,13021
13,38,107,89,83.18,18,16.82,13038
15,5,39,29,74.36,10,25.64,15005
15,7,9,7,77.78,2,22.22,15007
15,8,8,7,87.5,1,12.5,15008
15,21,77,54,70.13,23,29.87,15021
15,34,56,49,87.5,7,12.5,15034
15,40,31,23,74.19,8,25.81,15040
15,41,1,1,100.0,0,0.0,15041
15,42,122,81,66.39,41,33.61,15042
17,1,98,78,79.59,20,20.41,17001
17,6,122,91,74.59,31,25.41,17006
17,8,74,55,74.32,19,25.68,17008
17,11,43,30,69.77,13,30.23,17011
17,13,45,32,71.11,13,28.89,17013
17,14,21,11,52.38,10,47.62,17014
17,16,83,58,69.88,25,30.12,17016
17,17,49,36,73.47,13,26.53,17017
17,19,36,25,69.44,11,30.56,17019
17,20,28,19,67.86,9,32.14,17020
17,31,99,82,82.83,17,17.17,17031
17,33,27,16,59.26,11,40.74,17033
17,34,72,48,66.67,24,33.33,17034
17,36,40,25,62.5,15,37.5,17036
17,37,101,72,71.29,29,28.71,17037
17,39,81,60,74.07,21,25.93,17039
17,40,31,16,51.61,15,48.39,17040
17,41,55,38,69.09,17,30.91,17041
17,42,64,50,78.13,14,21.88,17042
17,43,51,37,72.55,14,27.45,17043
17,44,131,102,77.86,29,22.14,17044
17,45,41,33,80.49,8,19.51,17045
17,46,78,57,73.08,21,26.92,17046
17,49,51,40,78.43,11,21.57,17049
18,1,156,131,83.97,25,16.03,18001
18,2,56,42,75.0,14,25.0,18002
18,3,169,133,78.7,36,21.3,18003
18,5,87,73,83.91,14,16.09,18005
18,6,83,68,81.93,15,18.07,18006
18,11,92,83,90.22,9,9.78,18011
18,12,115,88,76.52,27,23.48,18012
18,15,54,43,79.63,11,20.37,18015
18,17,101,79,78.22,22,21.78,18017
18,21,18,14,77.78,4,22.22,18021
18,23,122,107,87.7,15,12.3,18023
18,27,20,16,80.0,4,20.0,18027
18,28,122,99,81.15,23,18.85,18028
18,29,95,83,87.37,12,12.63,18029
18,31,95,85,89.47,10,10.53,18031
18,33,80,55,68.75,25,31.25,18033
18,39,79,70,88.61,9,11.39,18039
18,41,64,51,79.69,13,20.31,18041
18,42,58,44,75.86,14,24.14,18042
18,44,69,53,76.81,16,23.19,18044
18,45,70,60,85.71,10,14.29,18045
18,47,82,70,85.37,12,14.63,18047
18,48,91,69,75.82,22,24.18,18048
18,49,79,67,84.81,12,15.19,18049
18,50,86,65,75.58,21,24.42,18050
20,10,6,4,66.67,2,33.33,20010
20,28,80,62,77.5,18,22.5,20028
20,30,144,120,83.33,24,16.67,20030
