ward,precinct,total,Michael Ian Bender,Michael Ian Bender Percent,Lionel Jean-Baptiste,Lionel Jean-Baptiste Percent,precinct_id
39,17,10,8,80.0,2,20.0,39017
39,32,42,32,76.19,10,23.81,39032
40,9,69,33,47.83,36,52.17,40009
40,12,74,36,48.65,38,51.35,40012
40,13,163,68,41.72,95,58.28,40013
40,18,46,21,45.65,25,54.35,40018
40,26,87,22,25.29,65,74.71,40026
40,27,45,24,53.33,21,46.67,40027
40,28,95,37,38.95,58,61.05,40028
40,35,67,42,62.69,25,37.31,40035
40,37,55,24,43.64,31,56.36,40037
40,39,41,20,48.78,21,51.22,40039
41,19,43,27,62.79,16,37.21,41019
41,44,69,49,71.01,20,28.99,41044
41,47,61,36,59.02,25,40.98,41047
41,54,62,47,75.81,15,24.19,41054
41,57,57,40,70.18,17,29.82,41057
45,5,4,3,75.0,1,25.0,45005
48,2,90,42,46.67,48,53.33,48002
48,13,76,44,57.89,32,42.11,48013
48,15,48,23,47.92,25,52.08,48015
48,22,139,66,47.48,73,52.52,48022
48,32,41,17,41.46,24,58.54,48032
48,33,93,52,55.91,41,44.09,48033
48,40,60,19,31.67,41,68.33,48040
48,41,46,21,45.65,25,54.35,48041
49,1,88,24,27.27,64,72.73,49001
49,2,117,44,37.61,73,62.39,49002
49,3,87,24,27.59,63,72.41,49003
49,4,56,20,35.71,36,64.29,49004
49,5,118,22,18.64,96,81.36,49005
49,6,100,27,27.0,73,73.0,49006
49,7,166,48,28.92,118,71.08,49007
49,8,101,30,29.7,71,70.3,49008
49,9,84,33,39.29,51,60.71,49009
49,10,88,30,34.09,58,65.91,49010
49,11,73,20,27.4,53,72.6,49011
49,12,119,24,20.17,95,79.83,49012
49,13,129,42,32.56,87,67.44,49013
49,14,86,25,29.07,61,70.93,49014
49,15,86,28,32.56,58,67.44,49015
49,16,95,34,35.79,61,64.21,49016
49,18,71,31,43.66,40,56.34,49018
49,19,154,49,31.82,105,68.18,49019
49,20,129,49,37.98,80,62.02,49020
49,21,85,35,41.18,50,58.82,49021
49,22,105,30,28.57,75,71.43,49022
49,23,81,20,24.69,61,75.31,49023
49,24,179,41,22.91,138,77.09,49024
49,25,104,28,26.92,76,73.08,49025
49,26,100,35,35.0,65,65.0,49026
49,27,106,26,24.53,80,75.47,49027
49,28,68,21,30.88,47,69.12,49028
49,29,100,21,21.0,79,79.0,49029
49,30,107,34,31.78,73,68.22,49030
49,31,93,27,29.03,66,70.97,49031
49,32,100,25,25.0,75,75.0,49032
49,33,83,24,28.92,59,71.08,49033
49,34,108,43,39.81,65,60.19,49034
49,35,110,33,30.0,77,70.0,49035
49,36,121,41,33.88,80,66.12,49036
49,37,126,44,34.92,82,65.08,49037
49,38,83,22,26.51,61,73.49,49038
50,1,75,53,70.67,22,29.33,50001
50,2,86,51,59.3,35,40.7,50002
50,3,73,47,64.38,26,35.62,50003
50,4,69,26,37.68,43,62.32,50004
50,5,53,42,79.25,11,20.75,50005
50,6,71,38,53.52,33,46.48,50006
50,7,98,48,48.98,50,51.02,50007
50,9,66,42,63.64,24,36.36,50009
50,10,46,35,76.09,11,23.91,50010
50,11,53,33,62.26,20,37.74,50011
50,12,57,45,78.95,12,21.05,50012
50,13,66,29,43.94,37,56.06,50013
50,14,38,30,78.95,8,21.05,50014
50,15,96,42,43.75,54,56.25,50015
50,16,45,32,71.11,13,28.89,50016
50,17,35,32,91.43,3,8.57,50017
50,18,63,37,58.73,26,41.27,50018
50,19,48,33,68.75,15,31.25,50019
50,20,73,40,54.79,33,45.21,50020
50,21,60,36,60.0,24,40.0,50021
50,22,47,18,38.3,29,61.7,50022
50,24,51,22,43.14,29,56.86,50024
50,25,33,24,72.73,9,27.27,50025
50,26,33,20,60.61,13,39.39,50026
50,27,38,25,65.79,13,34.21,50027
50,28,69,37,53.62,32,46.38,50028
50,30,64,51,79.69,13,20.31,50030
50,31,19,17,89.47,2,10.53,50031
50,32,63,22,34.92,41,65.08,50032
50,33,37,24,64.86,13,35.14,50033
50,34,51,27,52.94,24,47.06,50034
50,35,106,36,33.96,70,66.04,50035
50,36,64,31,48.44,33,51.56,50036
50,37,75,33,44.0,42,56.0,50037
50,38,71,56,78.87,15,21.13,50038
50,39,40,28,70.0,12,30.0,50039
50,40,55,44,80.0,11,20.0,50040
50,41,76,59,77.63,17,22.37,50041
50,42,72,36,50.0,36,50.0,50042
50,43,51,25,49.02,26,50.98,50043
50,44,39,33,84.62,6,15.38,50044
50,45,14,10,71.43,4,28.57,50045
