ward,precinct,total,James Cappleman,James Cappleman Percent,precinct_id
46,1,159,159,100.0,46001
46,2,73,73,100.0,46002
46,3,78,78,100.0,46003
46,4,58,58,100.0,46004
46,5,35,35,100.0,46005
46,6,66,66,100.0,46006
46,7,48,48,100.0,46007
46,8,70,70,100.0,46008
46,9,65,65,100.0,46009
46,10,38,38,100.0,46010
46,11,75,75,100.0,46011
46,12,70,70,100.0,46012
46,13,53,53,100.0,46013
46,14,53,53,100.0,46014
46,15,81,81,100.0,46015
46,16,62,62,100.0,46016
46,17,116,116,100.0,46017
46,18,125,125,100.0,46018
46,19,82,82,100.0,46019
46,20,72,72,100.0,46020
46,21,19,19,100.0,46021
46,22,55,55,100.0,46022
46,23,65,65,100.0,46023
46,24,35,35,100.0,46024
46,25,80,80,100.0,46025
46,26,68,68,100.0,46026
46,27,69,69,100.0,46027
46,28,80,80,100.0,46028
46,29,76,76,100.0,46029
46,30,92,92,100.0,46030
46,31,104,104,100.0,46031
46,32,63,63,100.0,46032
46,33,83,83,100.0,46033
46,34,81,81,100.0,46034
46,35,93,93,100.0,46035
46,36,82,82,100.0,46036
46,37,65,65,100.0,46037
46,38,62,62,100.0,46038
46,39,111,111,100.0,46039
46,40,51,51,100.0,46040
46,41,62,62,100.0,46041
46,42,97,97,100.0,46042
46,43,100,100,100.0,46043
46,44,55,55,100.0,46044
46,45,76,76,100.0,46045
