ward,precinct,total,Jesse Ruben Juarez,Jesse Ruben Juarez Percent,Proco ''Joe'' Moreno,Proco ''Joe'' Moreno Percent,Anne Shaw,Anne Shaw Percent,precinct_id
1,1,113,44,38.94,32,28.32,37,32.74,01001
1,2,54,12,22.22,29,53.7,13,24.07,01002
1,3,47,3,6.38,27,57.45,17,36.17,01003
1,4,64,5,7.81,30,46.88,29,45.31,01004
1,5,50,12,24.0,18,36.0,20,40.0,01005
1,6,65,11,16.92,34,52.31,20,30.77,01006
1,7,33,6,18.18,18,54.55,9,27.27,01007
1,8,73,4,5.48,42,57.53,27,36.99,01008
1,9,94,16,17.02,61,64.89,17,18.09,01009
1,10,58,13,22.41,19,32.76,26,44.83,01010
1,11,47,9,19.15,24,51.06,14,29.79,01011
1,12,63,8,12.7,42,66.67,13,20.63,01012
1,13,158,31,19.62,105,66.46,22,13.92,01013
1,14,88,14,15.91,59,67.05,15,17.05,01014
1,15,75,11,14.67,40,53.33,24,32.0,01015
1,16,98,9,9.18,81,82.65,8,8.16,01016
1,17,28,2,7.14,21,75.0,5,17.86,01017
1,18,67,10,14.93,40,59.7,17,25.37,01018
1,19,54,4,7.41,34,62.96,16,29.63,01019
1,20,141,24,17.02,99,70.21,18,12.77,01020
1,21,68,9,13.24,37,54.41,22,32.35,01021
1,22,57,11,19.3,38,66.67,8,14.04,01022
1,23,67,15,22.39,27,40.3,25,37.31,01023
1,24,169,26,15.38,109,64.5,34,20.12,01024
1,25,50,4,8.0,22,44.0,24,48.0,01025
1,26,34,3,8.82,21,61.76,10,29.41,01026
1,27,38,7,18.42,25,65.79,6,15.79,01027
1,28,23,2,8.7,10,43.48,11,47.83,01028
1,29,74,14,18.92,41,55.41,19,25.68,01029
1,30,154,22,14.29,100,64.94,32,20.78,01030
1,31,48,7,14.58,24,50.0,17,35.42,01031
1,32,104,16,15.38,84,80.77,4,3.85,01032
1,33,81,14,17.28,42,51.85,25,30.86,01033
1,34,37,6,16.22,25,67.57,6,16.22,01034
1,35,42,6,14.29,23,54.76,13,30.95,01035
1,36,52,3,5.77,19,36.54,30,57.69,01036
1,37,80,11,13.75,48,60.0,21,26.25,01037
1,38,40,6,15.0,25,62.5,9,22.5,01038
1,39,73,14,19.18,34,46.58,25,34.25,01039
1,40,36,12,33.33,18,50.0,6,16.67,01040
1,41,53,8,15.09,32,60.38,13,24.53,01041
1,42,43,5,11.63,28,65.12,10,23.26,01042
1,43,87,14,16.09,61,70.11,12,13.79,01043
1,44,33,4,12.12,17,51.52,12,36.36,01044
1,45,76,33,43.42,25,32.89,18,23.68,01045
1,46,86,6,6.98,30,34.88,50,58.14,01046
1,47,65,7,10.77,23,35.38,35,53.85,01047
1,48,76,4,5.26,47,61.84,25,32.89,01048
