ward,precinct,total,Emma M. Mitts,Emma M. Mitts Percent,precinct_id
37,1,27,27,100.0,37001
37,2,68,68,100.0,37002
37,3,38,38,100.0,37003
37,4,95,95,100.0,37004
37,5,123,123,100.0,37005
37,6,128,128,100.0,37006
37,7,113,113,100.0,37007
37,8,42,42,100.0,37008
37,9,83,83,100.0,37009
37,10,121,121,100.0,37010
37,11,22,22,100.0,37011
37,12,54,54,100.0,37012
37,13,94,94,100.0,37013
37,14,140,140,100.0,37014
37,15,93,93,100.0,37015
37,16,98,98,100.0,37016
37,17,85,85,100.0,37017
37,18,134,134,100.0,37018
37,19,36,36,100.0,37019
37,20,85,85,100.0,37020
37,21,111,111,100.0,37021
37,22,75,75,100.0,37022
37,23,82,82,100.0,37023
37,24,69,69,100.0,37024
37,25,100,100,100.0,37025
37,26,112,112,100.0,37026
37,27,109,109,100.0,37027
37,28,112,112,100.0,37028
37,29,85,85,100.0,37029
37,30,63,63,100.0,37030
37,31,100,100,100.0,37031
37,32,81,81,100.0,37032
37,33,60,60,100.0,37033
37,34,84,84,100.0,37034
37,35,120,120,100.0,37035
37,36,76,76,100.0,37036
37,37,95,95,100.0,37037
37,38,90,90,100.0,37038
37,39,49,49,100.0,37039
37,40,91,91,100.0,37040
37,41,104,104,100.0,37041
37,42,40,40,100.0,37042
37,43,98,98,100.0,37043
