ward,precinct,total,Maureen Leahy Delehanty,Maureen Leahy Delehanty Percent,Scott Edward Lipinski,Scott Edward Lipinski Percent,precinct_id
13,1,183,137,74.86,46,25.14,13001
13,2,135,100,74.07,35,25.93,13002
13,3,118,64,54.24,54,45.76,13003
13,4,246,167,67.89,79,32.11,13004
13,5,164,113,68.9,51,31.1,13005
13,6,101,54,53.47,47,46.53,13006
13,7,154,102,66.23,52,33.77,13007
13,8,182,139,76.37,43,23.63,13008
13,9,145,99,68.28,46,31.72,13009
13,10,81,48,59.26,33,40.74,13010
13,11,81,45,55.56,36,44.44,13011
13,12,133,80,60.15,53,39.85,13012
13,13,206,165,80.1,41,19.9,13013
13,14,145,88,60.69,57,39.31,13014
13,15,222,153,68.92,69,31.08,13015
13,16,190,128,67.37,62,32.63,13016
13,17,163,106,65.03,57,34.97,13017
13,18,118,77,65.25,41,34.75,13018
13,19,163,126,77.3,37,22.7,13019
13,20,116,52,44.83,64,55.17,13020
13,21,100,58,58.0,42,42.0,13021
13,22,133,97,72.93,36,27.07,13022
13,23,131,77,58.78,54,41.22,13023
13,24,159,108,67.92,51,32.08,13024
13,25,135,87,64.44,48,35.56,13025
13,26,224,177,79.02,47,20.98,13026
13,27,164,109,66.46,55,33.54,13027
13,28,101,61,60.4,40,39.6,13028
13,29,150,111,74.0,39,26.0,13029
13,30,202,143,70.79,59,29.21,13030
13,31,108,48,44.44,60,55.56,13031
13,32,105,74,70.48,31,29.52,13032
13,33,162,114,70.37,48,29.63,13033
13,34,266,238,89.47,28,10.53,13034
13,35,201,158,78.61,43,21.39,13035
13,36,93,58,62.37,35,37.63,13036
13,37,180,133,73.89,47,26.11,13037
13,38,106,74,69.81,32,30.19,13038
13,39,165,108,65.45,57,34.55,13039
13,40,212,144,67.92,68,32.08,13040
13,41,151,108,71.52,43,28.48,13041
13,42,167,121,72.46,46,27.54,13042
13,43,228,172,75.44,56,24.56,13043
13,44,378,350,92.59,28,7.41,13044
13,45,228,161,70.61,67,29.39,13045
13,46,161,103,63.98,58,36.02,13046
13,47,168,100,59.52,68,40.48,13047
14,1,119,61,51.26,58,48.74,14001
14,2,155,76,49.03,79,50.97,14002
14,3,84,50,59.52,34,40.48,14003
14,4,80,43,53.75,37,46.25,14004
14,9,112,64,57.14,48,42.86,14009
14,13,82,60,73.17,22,26.83,14013
14,27,99,57,57.58,42,42.42,14027
14,28,68,36,52.94,32,47.06,14028
15,1,100,57,57.0,43,43.0,15001
15,5,0,0,0.0,0,0.0,15005
15,8,62,41,66.13,21,33.87,15008
15,10,25,10,40.0,15,60.0,15010
15,16,27,14,51.85,13,48.15,15016
15,28,66,26,39.39,40,60.61,15028
15,34,40,23,57.5,17,42.5,15034
15,40,14,8,57.14,6,42.86,15040
15,41,82,56,68.29,26,31.71,15041
16,17,40,19,47.5,21,52.5,16017
16,39,35,17,48.57,18,51.43,16039
17,8,1,0,0.0,1,100.0,17008
17,11,56,40,71.43,16,28.57,17011
17,16,77,52,67.53,25,32.47,17016
17,31,70,54,77.14,16,22.86,17031
17,32,66,48,72.73,18,27.27,17032
