ward,precinct,total,Barbara Flynn Currie,Barbara Flynn Currie Percent,precinct_id
4,1,179,179,100.0,04001
4,5,151,151,100.0,04005
4,7,2,2,100.0,04007
4,9,310,310,100.0,04009
4,10,133,133,100.0,04010
4,15,96,96,100.0,04015
4,16,106,106,100.0,04016
4,17,148,148,100.0,04017
4,21,163,163,100.0,04021
4,22,156,156,100.0,04022
4,28,81,81,100.0,04028
4,29,121,121,100.0,04029
4,31,73,73,100.0,04031
4,32,122,122,100.0,04032
4,34,95,95,100.0,04034
4,36,77,77,100.0,04036
4,38,217,217,100.0,04038
4,41,56,56,100.0,04041
4,43,79,79,100.0,04043
4,44,62,62,100.0,04044
4,45,287,287,100.0,04045
4,47,131,131,100.0,04047
4,48,155,155,100.0,04048
5,1,133,133,100.0,05001
5,3,59,59,100.0,05003
5,8,145,145,100.0,05008
5,11,263,263,100.0,05011
5,14,31,31,100.0,05014
5,24,142,142,100.0,05024
5,25,94,94,100.0,05025
5,26,132,132,100.0,05026
5,27,112,112,100.0,05027
5,28,93,93,100.0,05028
5,29,114,114,100.0,05029
5,30,105,105,100.0,05030
5,31,98,98,100.0,05031
5,32,262,262,100.0,05032
5,33,91,91,100.0,05033
5,34,111,111,100.0,05034
5,35,167,167,100.0,05035
5,37,278,278,100.0,05037
5,39,130,130,100.0,05039
5,40,106,106,100.0,05040
5,41,186,186,100.0,05041
5,43,152,152,100.0,05043
5,44,110,110,100.0,05044
5,45,103,103,100.0,05045
5,46,137,137,100.0,05046
5,47,89,89,100.0,05047
5,48,87,87,100.0,05048
7,1,194,194,100.0,07001
7,3,124,124,100.0,07003
7,9,79,79,100.0,07009
7,10,145,145,100.0,07010
7,11,132,132,100.0,07011
7,12,121,121,100.0,07012
7,13,21,21,100.0,07013
7,14,126,126,100.0,07014
7,15,110,110,100.0,07015
7,16,126,126,100.0,07016
7,17,48,48,100.0,07017
7,18,147,147,100.0,07018
7,20,29,29,100.0,07020
7,23,88,88,100.0,07023
7,28,93,93,100.0,07028
7,29,86,86,100.0,07029
7,30,129,129,100.0,07030
7,31,123,123,100.0,07031
7,32,59,59,100.0,07032
7,33,100,100,100.0,07033
7,34,7,7,100.0,07034
7,35,149,149,100.0,07035
7,40,149,149,100.0,07040
7,41,88,88,100.0,07041
7,44,161,161,100.0,07044
7,45,178,178,100.0,07045
7,46,67,67,100.0,07046
7,47,48,48,100.0,07047
7,49,8,8,100.0,07049
10,1,98,98,100.0,10001
10,4,51,51,100.0,10004
10,7,52,52,100.0,10007
10,10,54,54,100.0,10010
10,11,66,66,100.0,10011
10,12,44,44,100.0,10012
10,13,88,88,100.0,10013
10,14,55,55,100.0,10014
10,19,68,68,100.0,10019
10,20,48,48,100.0,10020
10,23,45,45,100.0,10023
10,25,35,35,100.0,10025
10,26,42,42,100.0,10026
10,27,72,72,100.0,10027
10,30,15,15,100.0,10030
10,31,56,56,100.0,10031
10,32,42,42,100.0,10032
10,33,49,49,100.0,10033
10,34,48,48,100.0,10034
10,35,61,61,100.0,10035
10,37,42,42,100.0,10037
10,38,63,63,100.0,10038
10,39,58,58,100.0,10039
10,41,84,84,100.0,10041
10,44,57,57,100.0,10044
10,45,61,61,100.0,10045
10,46,44,44,100.0,10046
20,24,59,59,100.0,20024
20,26,104,104,100.0,20026
20,34,118,118,100.0,20034
