ward,precinct,total,Jim Ginderske,Jim Ginderske Percent,precinct_id
49,1,99,20,20.2,49001
49,2,123,30,24.39,49002
49,3,93,30,32.26,49003
49,4,61,18,29.51,49004
49,5,124,41,33.06,49005
49,6,106,29,27.36,49006
49,7,176,56,31.82,49007
49,8,111,30,27.03,49008
49,9,83,28,33.73,49009
49,10,93,25,26.88,49010
49,11,76,20,26.32,49011
49,12,121,30,24.79,49012
49,13,151,60,39.74,49013
49,14,91,27,29.67,49014
49,15,81,14,17.28,49015
49,16,98,33,33.67,49016
49,17,13,3,23.08,49017
49,18,72,29,40.28,49018
49,19,165,47,28.48,49019
49,20,139,50,35.97,49020
49,21,87,24,27.59,49021
49,22,110,39,35.45,49022
49,23,84,19,22.62,49023
49,24,185,40,21.62,49024
49,25,117,56,47.86,49025
49,26,116,40,34.48,49026
49,27,113,39,34.51,49027
49,28,63,14,22.22,49028
49,29,111,32,28.83,49029
49,30,128,48,37.5,49030
49,31,105,34,32.38,49031
49,32,103,29,28.16,49032
49,33,86,28,32.56,49033
49,34,111,28,25.23,49034
49,35,118,33,27.97,49035
49,36,132,42,31.82,49036
49,37,137,53,38.69,49037
49,38,81,22,27.16,49038
