ward,precinct,total,Antonio ''Tony Munoz,Antonio ''Tony Munoz Percent,precinct_id
12,1,68,68,100.0,12001
12,2,61,61,100.0,12002
12,3,47,47,100.0,12003
12,4,28,28,100.0,12004
12,5,47,47,100.0,12005
12,6,56,56,100.0,12006
12,7,84,84,100.0,12007
12,8,101,101,100.0,12008
12,9,40,40,100.0,12009
12,10,75,75,100.0,12010
12,11,131,131,100.0,12011
12,12,73,73,100.0,12012
12,13,105,105,100.0,12013
12,14,45,45,100.0,12014
12,15,61,61,100.0,12015
12,16,42,42,100.0,12016
12,17,75,75,100.0,12017
12,18,81,81,100.0,12018
12,19,68,68,100.0,12019
12,20,48,48,100.0,12020
12,21,65,65,100.0,12021
12,22,62,62,100.0,12022
12,23,57,57,100.0,12023
12,24,68,68,100.0,12024
