ward,precinct,total,"Robert F. Martwick, Jr.","Robert F. Martwick, Jr. Percent",Sandra Stoppa,Sandra Stoppa Percent,precinct_id
36,8,91,61,67.03,30,32.97,36008
36,9,149,82,55.03,67,44.97,36009
36,11,122,64,52.46,58,47.54,36011
36,12,78,45,57.69,33,42.31,36012
36,21,154,106,68.83,48,31.17,36021
36,27,66,33,50.0,33,50.0,36027
36,30,109,63,57.8,46,42.2,36030
36,31,102,68,66.67,34,33.33,36031
36,32,74,47,63.51,27,36.49,36032
36,35,95,63,66.32,32,33.68,36035
36,37,91,55,60.44,36,39.56,36037
36,38,53,30,56.6,23,43.4,36038
36,39,74,33,44.59,41,55.41,36039
36,40,106,55,51.89,51,48.11,36040
36,42,62,29,46.77,33,53.23,36042
38,1,79,39,49.37,40,50.63,38001
38,3,46,32,69.57,14,30.43,38003
38,11,124,83,66.94,41,33.06,38011
38,12,69,45,65.22,24,34.78,38012
38,14,67,38,56.72,29,43.28,38014
38,15,98,57,58.16,41,41.84,38015
38,18,87,52,59.77,35,40.23,38018
38,19,90,52,57.78,38,42.22,38019
38,21,56,35,62.5,21,37.5,38021
38,22,72,27,37.5,45,62.5,38022
38,25,55,36,65.45,19,34.55,38025
38,26,58,22,37.93,36,62.07,38026
38,32,82,51,62.2,31,37.8,38032
38,33,70,45,64.29,25,35.71,38033
38,38,66,36,54.55,30,45.45,38038
38,40,51,26,50.98,25,49.02,38040
38,41,122,82,67.21,40,32.79,38041
38,42,85,52,61.18,33,38.82,38042
38,45,75,48,64.0,27,36.0,38045
41,3,10,5,50.0,5,50.0,41003
41,9,67,37,55.22,30,44.78,41009
41,12,88,53,60.23,35,39.77,41012
41,24,90,39,43.33,51,56.67,41024
41,30,87,34,39.08,53,60.92,41030
41,38,103,71,68.93,32,31.07,41038
41,50,91,43,47.25,48,52.75,41050
41,53,89,64,71.91,25,28.09,41053
45,2,109,44,40.37,65,59.63,45002
45,3,143,70,48.95,73,51.05,45003
45,6,94,47,50.0,47,50.0,45006
45,7,77,39,50.65,38,49.35,45007
45,8,81,44,54.32,37,45.68,45008
45,9,122,64,52.46,58,47.54,45009
45,11,88,52,59.09,36,40.91,45011
45,13,129,87,67.44,42,32.56,45013
45,15,94,45,47.87,49,52.13,45015
45,17,65,38,58.46,27,41.54,45017
45,18,125,87,69.6,38,30.4,45018
45,19,117,64,54.7,53,45.3,45019
45,20,95,51,53.68,44,46.32,45020
45,21,93,49,52.69,44,47.31,45021
45,22,70,33,47.14,37,52.86,45022
45,23,118,55,46.61,63,53.39,45023
45,25,106,68,64.15,38,35.85,45025
45,26,115,73,63.48,42,36.52,45026
45,27,81,43,53.09,38,46.91,45027
45,29,101,66,65.35,35,34.65,45029
45,30,97,45,46.39,52,53.61,45030
45,31,12,4,33.33,8,66.67,45031
45,32,48,28,58.33,20,41.67,45032
45,33,85,37,43.53,48,56.47,45033
45,34,86,52,60.47,34,39.53,45034
45,35,114,67,58.77,47,41.23,45035
45,37,106,69,65.09,37,34.91,45037
45,38,104,67,64.42,37,35.58,45038
45,39,125,71,56.8,54,43.2,45039
45,40,131,75,57.25,56,42.75,45040
45,41,71,37,52.11,34,47.89,45041
45,42,93,52,55.91,41,44.09,45042
45,43,66,44,66.67,22,33.33,45043
45,44,98,47,47.96,51,52.04,45044
45,45,81,39,48.15,42,51.85,45045
45,46,129,70,54.26,59,45.74,45046
45,47,77,52,67.53,25,32.47,45047
45,48,116,70,60.34,46,39.66,45048
45,49,109,66,60.55,43,39.45,45049
45,50,82,45,54.88,37,45.12,45050
45,51,95,48,50.53,47,49.47,45051
45,52,94,47,50.0,47,50.0,45052
45,53,62,37,59.68,25,40.32,45053
