ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",Richard A. Wooten,Richard A. Wooten Percent,Kyle Kasperek,Kyle Kasperek Percent,Paul Steven Gregoire,Paul Steven Gregoire Percent,Sandra J. Wortham,Sandra J. Wortham Percent,precinct_id
6,1,225,119,52.89,44,19.56,8,3.56,5,2.22,49,21.78,06001
6,2,184,64,34.78,74,40.22,7,3.8,4,2.17,35,19.02,06002
6,3,172,59,34.3,60,34.88,5,2.91,8,4.65,40,23.26,06003
6,8,198,82,41.41,59,29.8,4,2.02,10,5.05,43,21.72,06008
6,9,152,43,28.29,42,27.63,5,3.29,6,3.95,56,36.84,06009
6,10,273,133,48.72,86,31.5,5,1.83,2,0.73,47,17.22,06010
6,13,121,38,31.4,58,47.93,5,4.13,3,2.48,17,14.05,06013
6,14,126,46,36.51,42,33.33,1,0.79,3,2.38,34,26.98,06014
6,16,186,95,51.08,40,21.51,12,6.45,6,3.23,33,17.74,06016
6,17,178,81,45.51,55,30.9,2,1.12,9,5.06,31,17.42,06017
6,19,88,60,68.18,18,20.45,3,3.41,1,1.14,6,6.82,06019
6,21,190,75,39.47,66,34.74,9,4.74,7,3.68,33,17.37,06021
6,22,159,45,28.3,57,35.85,5,3.14,4,2.52,48,30.19,06022
6,23,121,59,48.76,28,23.14,6,4.96,2,1.65,26,21.49,06023
6,24,154,72,46.75,52,33.77,5,3.25,3,1.95,22,14.29,06024
6,25,97,48,49.48,33,34.02,4,4.12,1,1.03,11,11.34,06025
6,26,160,63,39.38,52,32.5,4,2.5,4,2.5,37,23.13,06026
6,27,211,79,37.44,61,28.91,19,9.0,6,2.84,46,21.8,06027
6,28,298,115,38.59,89,29.87,7,2.35,9,3.02,78,26.17,06028
6,29,207,50,24.15,27,13.04,4,1.93,54,26.09,72,34.78,06029
6,31,185,53,28.65,43,23.24,6,3.24,7,3.78,76,41.08,06031
6,34,114,47,41.23,37,32.46,3,2.63,0,0.0,27,23.68,06034
6,35,147,58,39.46,34,23.13,18,12.24,11,7.48,26,17.69,06035
6,37,213,75,35.21,41,19.25,2,0.94,32,15.02,63,29.58,06037
6,38,160,66,41.25,56,35.0,6,3.75,6,3.75,26,16.25,06038
6,39,82,35,42.68,19,23.17,7,8.54,3,3.66,18,21.95,06039
6,40,213,82,38.5,75,35.21,12,5.63,3,1.41,41,19.25,06040
6,41,188,85,45.21,42,22.34,15,7.98,3,1.6,43,22.87,06041
6,43,158,63,39.87,51,32.28,13,8.23,5,3.16,26,16.46,06043
6,44,180,77,42.78,66,36.67,13,7.22,5,2.78,19,10.56,06044
6,45,228,97,42.54,62,27.19,9,3.95,4,1.75,56,24.56,06045
6,46,145,64,44.14,37,25.52,5,3.45,8,5.52,31,21.38,06046
6,47,175,72,41.14,35,20.0,0,0.0,1,0.57,67,38.29,06047
6,50,205,79,38.54,51,24.88,6,2.93,10,4.88,59,28.78,06050
6,51,151,59,39.07,38,25.17,7,4.64,4,2.65,43,28.48,06051
6,52,100,44,44.0,24,24.0,1,1.0,5,5.0,26,26.0,06052
6,53,137,52,37.96,39,28.47,10,7.3,1,0.73,35,25.55,06053
6,54,141,56,39.72,33,23.4,7,4.96,2,1.42,43,30.5,06054
6,57,147,72,48.98,37,25.17,6,4.08,2,1.36,30,20.41,06057
6,58,202,54,26.73,23,11.39,7,3.47,26,12.87,92,45.54,06058
6,59,146,63,43.15,39,26.71,6,4.11,7,4.79,31,21.23,06059
8,32,220,100,45.45,59,26.82,11,5.0,1,0.45,49,22.27,08032
8,34,172,91,52.91,40,23.26,7,4.07,3,1.74,31,18.02,08034
8,39,153,64,41.83,51,33.33,5,3.27,4,2.61,29,18.95,08039
8,43,6,4,66.67,2,33.33,0,0.0,0,0.0,0,0.0,08043
8,47,176,95,53.98,45,25.57,5,2.84,3,1.7,28,15.91,08047
8,62,221,117,52.94,56,25.34,14,6.33,2,0.9,32,14.48,08062
9,8,132,52,39.39,44,33.33,5,3.79,1,0.76,30,22.73,09008
9,9,192,83,43.23,56,29.17,10,5.21,1,0.52,42,21.88,09009
9,13,163,57,34.97,47,28.83,9,5.52,4,2.45,46,28.22,09013
9,23,102,47,46.08,36,35.29,6,5.88,1,0.98,12,11.76,09023
9,25,95,36,37.89,13,13.68,35,36.84,1,1.05,10,10.53,09025
9,28,38,19,50.0,4,10.53,5,13.16,1,2.63,9,23.68,09028
9,36,171,77,45.03,42,24.56,9,5.26,5,2.92,38,22.22,09036
9,37,118,42,35.59,27,22.88,33,27.97,3,2.54,13,11.02,09037
9,38,125,59,47.2,39,31.2,10,8.0,1,0.8,16,12.8,09038
9,42,65,19,29.23,24,36.92,3,4.62,4,6.15,15,23.08,09042
9,46,71,27,38.03,22,30.99,4,5.63,6,8.45,12,16.9,09046
9,47,180,72,40.0,55,30.56,3,1.67,4,2.22,46,25.56,09047
10,16,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,10016
10,42,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,10042
17,21,153,69,45.1,49,32.03,5,3.27,3,1.96,27,17.65,17021
17,54,35,17,48.57,9,25.71,1,2.86,2,5.71,6,17.14,17054
21,2,45,21,46.67,11,24.44,1,2.22,2,4.44,10,22.22,21002
21,37,8,5,62.5,0,0.0,0,0.0,2,25.0,1,12.5,21037
21,65,219,104,47.49,54,24.66,10,4.57,7,3.2,44,20.09,21065
