ward,precinct,total,Deborah Jean Gubin,Deborah Jean Gubin Percent,Sharon Finegan Patterson,Sharon Finegan Patterson Percent,Nicholas Geanopoulos,Nicholas Geanopoulos Percent,precinct_id
2,1,112,45,40.18,43,38.39,24,21.43,02001
2,7,151,57,37.75,76,50.33,18,11.92,02007
2,8,115,53,46.09,44,38.26,18,15.65,02008
2,11,149,84,56.38,37,24.83,28,18.79,02011
2,12,1,0,0.0,0,0.0,1,100.0,02012
2,18,85,34,40.0,31,36.47,20,23.53,02018
2,19,103,53,51.46,32,31.07,18,17.48,02019
2,20,63,24,38.1,32,50.79,7,11.11,02020
2,21,139,46,33.09,82,58.99,11,7.91,02021
2,22,157,61,38.85,44,28.03,52,33.12,02022
2,24,51,28,54.9,16,31.37,7,13.73,02024
2,26,85,27,31.76,45,52.94,13,15.29,02026
2,30,64,25,39.06,28,43.75,11,17.19,02030
2,35,76,31,40.79,29,38.16,16,21.05,02035
2,36,131,43,32.82,66,50.38,22,16.79,02036
2,37,73,43,58.9,19,26.03,11,15.07,02037
2,38,134,64,47.76,47,35.07,23,17.16,02038
2,40,145,60,41.38,58,40.0,27,18.62,02040
2,43,118,53,44.92,45,38.14,20,16.95,02043
2,49,72,43,59.72,21,29.17,8,11.11,02049
2,53,54,20,37.04,25,46.3,9,16.67,02053
2,54,35,19,54.29,9,25.71,7,20.0,02054
3,3,76,25,32.89,36,47.37,15,19.74,03003
3,6,6,2,33.33,3,50.0,1,16.67,03006
3,28,100,47,47.0,33,33.0,20,20.0,03028
3,45,131,53,40.46,54,41.22,24,18.32,03045
11,14,49,14,28.57,17,34.69,18,36.73,11014
11,27,10,4,40.0,4,40.0,2,20.0,11027
11,36,17,3,17.65,7,41.18,7,41.18,11036
25,14,40,20,50.0,13,32.5,7,17.5,25014
25,16,29,18,62.07,11,37.93,0,0.0,25016
25,18,68,31,45.59,28,41.18,9,13.24,25018
27,5,20,9,45.0,11,55.0,0,0.0,27005
27,6,34,29,85.29,3,8.82,2,5.88,27006
27,9,118,60,50.85,51,43.22,7,5.93,27009
27,11,18,10,55.56,3,16.67,5,27.78,27011
27,12,50,29,58.0,19,38.0,2,4.0,27012
27,20,91,54,59.34,30,32.97,7,7.69,27020
27,21,90,58,64.44,24,26.67,8,8.89,27021
27,28,76,48,63.16,22,28.95,6,7.89,27028
27,35,55,30,54.55,17,30.91,8,14.55,27035
27,37,129,96,74.42,28,21.71,5,3.88,27037
27,42,27,15,55.56,9,33.33,3,11.11,27042
32,7,35,19,54.29,12,34.29,4,11.43,32007
32,8,72,44,61.11,20,27.78,8,11.11,32008
32,10,55,26,47.27,17,30.91,12,21.82,32010
32,13,16,10,62.5,4,25.0,2,12.5,32013
32,18,34,17,50.0,13,38.24,4,11.76,32018
32,20,5,2,40.0,1,20.0,2,40.0,32020
32,23,57,27,47.37,15,26.32,15,26.32,32023
32,27,41,20,48.78,15,36.59,6,14.63,32027
32,32,43,26,60.47,13,30.23,4,9.3,32032
32,37,42,19,45.24,18,42.86,5,11.9,32037
32,38,44,27,61.36,10,22.73,7,15.91,32038
32,39,61,33,54.1,15,24.59,13,21.31,32039
32,43,53,31,58.49,15,28.3,7,13.21,32043
32,44,56,23,41.07,20,35.71,13,23.21,32044
32,46,0,0,0.0,0,0.0,0,0.0,32046
32,47,58,30,51.72,19,32.76,9,15.52,32047
32,48,86,40,46.51,20,23.26,26,30.23,32048
32,49,32,15,46.88,12,37.5,5,15.63,32049
32,50,69,46,66.67,6,8.7,17,24.64,32050
32,51,58,43,74.14,6,10.34,9,15.52,32051
40,3,63,38,60.32,13,20.63,12,19.05,40003
40,4,81,58,71.6,15,18.52,8,9.88,40004
40,7,66,41,62.12,19,28.79,6,9.09,40007
40,11,52,26,50.0,14,26.92,12,23.08,40011
40,13,2,1,50.0,1,50.0,0,0.0,40013
40,16,89,36,40.45,39,43.82,14,15.73,40016
40,22,22,14,63.64,5,22.73,3,13.64,40022
40,23,59,35,59.32,14,23.73,10,16.95,40023
40,31,54,27,50.0,16,29.63,11,20.37,40031
40,32,91,42,46.15,37,40.66,12,13.19,40032
40,33,64,29,45.31,25,39.06,10,15.63,40033
40,36,71,39,54.93,23,32.39,9,12.68,40036
40,40,34,21,61.76,9,26.47,4,11.76,40040
40,41,149,87,58.39,42,28.19,20,13.42,40041
42,1,87,62,71.26,21,24.14,4,4.6,42001
42,2,47,24,51.06,12,25.53,11,23.4,42002
42,3,48,23,47.92,14,29.17,11,22.92,42003
42,4,77,43,55.84,17,22.08,17,22.08,42004
42,5,64,41,64.06,12,18.75,11,17.19,42005
42,6,162,81,50.0,55,33.95,26,16.05,42006
42,7,62,32,51.61,24,38.71,6,9.68,42007
42,8,82,51,62.2,23,28.05,8,9.76,42008
42,9,142,83,58.45,28,19.72,31,21.83,42009
42,10,121,72,59.5,29,23.97,20,16.53,42010
42,11,90,55,61.11,24,26.67,11,12.22,42011
42,12,50,26,52.0,19,38.0,5,10.0,42012
42,13,148,81,54.73,43,29.05,24,16.22,42013
42,14,48,24,50.0,17,35.42,7,14.58,42014
42,15,58,28,48.28,22,37.93,8,13.79,42015
42,16,38,20,52.63,12,31.58,6,15.79,42016
42,17,147,65,44.22,57,38.78,25,17.01,42017
42,19,13,11,84.62,2,15.38,0,0.0,42019
42,20,32,11,34.38,15,46.88,6,18.75,42020
42,22,30,18,60.0,5,16.67,7,23.33,42022
42,23,90,70,77.78,11,12.22,9,10.0,42023
42,24,59,27,45.76,18,30.51,14,23.73,42024
42,25,61,30,49.18,17,27.87,14,22.95,42025
42,26,105,49,46.67,41,39.05,15,14.29,42026
42,27,71,30,42.25,26,36.62,15,21.13,42027
42,28,69,36,52.17,18,26.09,15,21.74,42028
42,29,74,51,68.92,13,17.57,10,13.51,42029
42,30,41,15,36.59,15,36.59,11,26.83,42030
42,31,47,29,61.7,13,27.66,5,10.64,42031
42,32,59,34,57.63,17,28.81,8,13.56,42032
42,33,113,63,55.75,27,23.89,23,20.35,42033
42,34,49,32,65.31,15,30.61,2,4.08,42034
42,35,70,49,70.0,10,14.29,11,15.71,42035
42,36,40,27,67.5,9,22.5,4,10.0,42036
42,37,55,38,69.09,7,12.73,10,18.18,42037
42,38,40,23,57.5,12,30.0,5,12.5,42038
42,39,44,18,40.91,18,40.91,8,18.18,42039
42,40,70,38,54.29,22,31.43,10,14.29,42040
42,41,72,41,56.94,17,23.61,14,19.44,42041
42,42,82,52,63.41,18,21.95,12,14.63,42042
42,43,75,45,60.0,20,26.67,10,13.33,42043
42,44,54,30,55.56,11,20.37,13,24.07,42044
42,45,60,46,76.67,6,10.0,8,13.33,42045
42,46,38,18,47.37,11,28.95,9,23.68,42046
42,47,46,31,67.39,11,23.91,4,8.7,42047
42,48,46,32,69.57,11,23.91,3,6.52,42048
42,49,16,6,37.5,9,56.25,1,6.25,42049
42,50,97,71,73.2,16,16.49,10,10.31,42050
42,51,128,80,62.5,24,18.75,24,18.75,42051
42,52,51,20,39.22,21,41.18,10,19.61,42052
42,53,107,66,61.68,24,22.43,17,15.89,42053
42,54,46,12,26.09,28,60.87,6,13.04,42054
42,55,57,33,57.89,14,24.56,10,17.54,42055
42,56,56,39,69.64,12,21.43,5,8.93,42056
42,57,46,23,50.0,17,36.96,6,13.04,42057
42,58,22,15,68.18,5,22.73,2,9.09,42058
42,59,45,28,62.22,9,20.0,8,17.78,42059
42,60,35,14,40.0,16,45.71,5,14.29,42060
42,62,37,23,62.16,8,21.62,6,16.22,42062
42,63,88,58,65.91,17,19.32,13,14.77,42063
42,64,22,11,50.0,8,36.36,3,13.64,42064
42,65,72,45,62.5,21,29.17,6,8.33,42065
42,66,50,19,38.0,19,38.0,12,24.0,42066
42,67,65,36,55.38,14,21.54,15,23.08,42067
43,1,90,44,48.89,25,27.78,21,23.33,43001
43,2,51,36,70.59,7,13.73,8,15.69,43002
43,3,77,55,71.43,14,18.18,8,10.39,43003
43,4,79,39,49.37,25,31.65,15,18.99,43004
43,5,49,28,57.14,12,24.49,9,18.37,43005
43,6,94,50,53.19,29,30.85,15,15.96,43006
43,7,87,50,57.47,22,25.29,15,17.24,43007
43,8,97,45,46.39,33,34.02,19,19.59,43008
43,9,57,39,68.42,12,21.05,6,10.53,43009
43,10,60,38,63.33,14,23.33,8,13.33,43010
43,11,48,28,58.33,12,25.0,8,16.67,43011
43,12,74,51,68.92,18,24.32,5,6.76,43012
43,13,52,22,42.31,19,36.54,11,21.15,43013
43,14,74,48,64.86,16,21.62,10,13.51,43014
43,15,58,38,65.52,14,24.14,6,10.34,43015
43,16,53,38,71.7,9,16.98,6,11.32,43016
43,17,106,77,72.64,15,14.15,14,13.21,43017
43,18,81,57,70.37,11,13.58,13,16.05,43018
43,19,72,30,41.67,31,43.06,11,15.28,43019
43,20,87,54,62.07,19,21.84,14,16.09,43020
43,21,73,58,79.45,10,13.7,5,6.85,43021
43,22,42,25,59.52,8,19.05,9,21.43,43022
43,23,56,36,64.29,10,17.86,10,17.86,43023
43,24,65,27,41.54,24,36.92,14,21.54,43024
43,25,69,28,40.58,27,39.13,14,20.29,43025
43,26,54,30,55.56,20,37.04,4,7.41,43026
43,27,50,26,52.0,13,26.0,11,22.0,43027
43,28,74,43,58.11,19,25.68,12,16.22,43028
43,29,51,32,62.75,6,11.76,13,25.49,43029
43,30,64,38,59.38,13,20.31,13,20.31,43030
43,31,37,18,48.65,13,35.14,6,16.22,43031
43,32,69,53,76.81,10,14.49,6,8.7,43032
43,33,34,23,67.65,5,14.71,6,17.65,43033
43,34,23,10,43.48,6,26.09,7,30.43,43034
43,35,79,48,60.76,19,24.05,12,15.19,43035
43,36,51,30,58.82,12,23.53,9,17.65,43036
43,37,64,32,50.0,25,39.06,7,10.94,43037
43,38,29,20,68.97,5,17.24,4,13.79,43038
43,39,90,55,61.11,20,22.22,15,16.67,43039
43,40,68,51,75.0,7,10.29,10,14.71,43040
43,41,35,26,74.29,5,14.29,4,11.43,43041
43,42,23,11,47.83,11,47.83,1,4.35,43042
43,43,38,15,39.47,18,47.37,5,13.16,43043
43,44,56,31,55.36,14,25.0,11,19.64,43044
43,45,64,33,51.56,18,28.13,13,20.31,43045
43,46,74,51,68.92,16,21.62,7,9.46,43046
43,47,102,55,53.92,29,28.43,18,17.65,43047
