ward,precinct,total,Richard F. Mell,Richard F. Mell Percent,precinct_id
33,1,62,62,100.0,33001
33,2,98,98,100.0,33002
33,3,60,60,100.0,33003
33,4,60,60,100.0,33004
33,5,56,56,100.0,33005
33,6,106,106,100.0,33006
33,7,125,125,100.0,33007
33,8,47,47,100.0,33008
33,9,60,60,100.0,33009
33,10,100,100,100.0,33010
33,11,64,64,100.0,33011
33,12,74,74,100.0,33012
33,13,72,72,100.0,33013
33,14,48,48,100.0,33014
33,15,70,70,100.0,33015
33,16,46,46,100.0,33016
33,17,81,81,100.0,33017
33,18,12,12,100.0,33018
33,19,64,64,100.0,33019
33,20,72,72,100.0,33020
33,21,72,72,100.0,33021
33,22,140,140,100.0,33022
33,23,73,73,100.0,33023
33,24,100,100,100.0,33024
33,25,80,80,100.0,33025
33,26,61,61,100.0,33026
33,27,55,55,100.0,33027
