ward,precinct,total,John A. Pope,John A. Pope Percent,William H. Balasa,William H. Balasa Percent,precinct_id
10,1,111,89,80.18,22,19.82,10001
10,2,56,44,78.57,12,21.43,10002
10,3,105,80,76.19,25,23.81,10003
10,4,55,43,78.18,12,21.82,10004
10,5,76,59,77.63,17,22.37,10005
10,6,121,102,84.3,19,15.7,10006
10,7,70,50,71.43,20,28.57,10007
10,8,67,56,83.58,11,16.42,10008
10,9,80,59,73.75,21,26.25,10009
10,10,70,54,77.14,16,22.86,10010
10,11,76,50,65.79,26,34.21,10011
10,12,56,40,71.43,16,28.57,10012
10,13,120,85,70.83,35,29.17,10013
10,14,79,60,75.95,19,24.05,10014
10,15,28,19,67.86,9,32.14,10015
10,16,80,56,70.0,24,30.0,10016
10,17,79,62,78.48,17,21.52,10017
10,18,38,30,78.95,8,21.05,10018
10,19,89,68,76.4,21,23.6,10019
10,20,59,39,66.1,20,33.9,10020
10,21,77,68,88.31,9,11.69,10021
10,22,58,39,67.24,19,32.76,10022
10,23,50,42,84.0,8,16.0,10023
10,24,74,62,83.78,12,16.22,10024
10,25,75,52,69.33,23,30.67,10025
10,26,47,35,74.47,12,25.53,10026
10,27,87,70,80.46,17,19.54,10027
10,28,99,84,84.85,15,15.15,10028
10,29,94,73,77.66,21,22.34,10029
10,30,58,39,67.24,19,32.76,10030
10,31,67,51,76.12,16,23.88,10031
10,32,56,35,62.5,21,37.5,10032
10,33,63,49,77.78,14,22.22,10033
10,34,59,42,71.19,17,28.81,10034
10,35,74,58,78.38,16,21.62,10035
10,36,83,67,80.72,16,19.28,10036
10,37,53,33,62.26,20,37.74,10037
10,38,76,57,75.0,19,25.0,10038
10,39,72,57,79.17,15,20.83,10039
10,40,78,67,85.9,11,14.1,10040
10,41,106,86,81.13,20,18.87,10041
10,42,74,52,70.27,22,29.73,10042
10,43,35,22,62.86,13,37.14,10043
10,44,63,45,71.43,18,28.57,10044
10,45,70,59,84.29,11,15.71,10045
10,46,60,52,86.67,8,13.33,10046
