ward,precinct,total,Carlos Ramirez-Rosa,Carlos Ramirez-Rosa Percent,precinct_id
35,1,266,266,100.0,35001
35,2,301,301,100.0,35002
35,3,296,296,100.0,35003
35,4,267,267,100.0,35004
35,5,265,265,100.0,35005
35,6,248,248,100.0,35006
35,7,300,300,100.0,35007
35,8,300,300,100.0,35008
35,9,276,276,100.0,35009
35,10,370,370,100.0,35010
35,11,295,295,100.0,35011
35,12,207,207,100.0,35012
35,13,209,209,100.0,35013
35,14,253,253,100.0,35014
35,15,326,326,100.0,35015
35,16,191,191,100.0,35016
35,17,269,269,100.0,35017
35,18,269,269,100.0,35018
35,19,184,184,100.0,35019
35,20,250,250,100.0,35020
35,21,267,267,100.0,35021
35,22,319,319,100.0,35022
35,23,276,276,100.0,35023
35,24,274,274,100.0,35024
35,25,312,312,100.0,35025
35,26,233,233,100.0,35026
35,27,264,264,100.0,35027
35,28,250,250,100.0,35028
35,29,238,238,100.0,35029
35,30,295,295,100.0,35030
35,31,319,319,100.0,35031
