ward,precinct,total,"Walter Burnett, Jr.","Walter Burnett, Jr. Percent",precinct_id
27,1,175,175,100.0,27001
27,2,222,222,100.0,27002
27,3,169,169,100.0,27003
27,4,150,150,100.0,27004
27,5,184,184,100.0,27005
27,6,173,173,100.0,27006
27,7,277,277,100.0,27007
27,8,234,234,100.0,27008
27,9,70,70,100.0,27009
27,10,311,311,100.0,27010
27,11,151,151,100.0,27011
27,12,110,110,100.0,27012
27,13,390,390,100.0,27013
27,14,156,156,100.0,27014
27,15,184,184,100.0,27015
27,16,145,145,100.0,27016
27,17,286,286,100.0,27017
27,18,226,226,100.0,27018
27,19,171,171,100.0,27019
27,20,240,240,100.0,27020
27,21,143,143,100.0,27021
27,22,165,165,100.0,27022
27,23,232,232,100.0,27023
27,24,214,214,100.0,27024
27,25,213,213,100.0,27025
27,26,227,227,100.0,27026
27,27,319,319,100.0,27027
27,28,120,120,100.0,27028
27,29,208,208,100.0,27029
27,30,169,169,100.0,27030
27,31,219,219,100.0,27031
27,32,205,205,100.0,27032
27,33,188,188,100.0,27033
27,34,277,277,100.0,27034
27,35,159,159,100.0,27035
27,36,211,211,100.0,27036
27,37,231,231,100.0,27037
27,38,327,327,100.0,27038
27,39,226,226,100.0,27039
27,40,263,263,100.0,27040
27,41,247,247,100.0,27041
27,42,143,143,100.0,27042
27,43,232,232,100.0,27043
27,44,242,242,100.0,27044
27,45,217,217,100.0,27045
27,46,99,99,100.0,27046
27,47,203,203,100.0,27047
27,48,310,310,100.0,27048
27,49,197,197,100.0,27049
27,50,244,244,100.0,27050
