ward,precinct,total,Patrick J. O'Connor,Patrick J. O'Connor Percent,precinct_id
40,1,239,159,66.53,40001
40,2,273,180,65.93,40002
40,3,375,187,49.87,40003
40,4,166,102,61.45,40004
40,5,320,173,54.06,40005
40,6,351,156,44.44,40006
40,7,342,191,55.85,40007
40,8,398,174,43.72,40008
40,9,210,134,63.81,40009
40,10,285,193,67.72,40010
40,11,311,189,60.77,40011
40,12,223,110,49.33,40012
40,13,440,219,49.77,40013
40,14,241,174,72.2,40014
40,15,272,184,67.65,40015
40,16,379,176,46.44,40016
40,17,267,158,59.18,40017
40,18,231,135,58.44,40018
40,19,380,248,65.26,40019
40,20,272,161,59.19,40020
40,21,365,169,46.3,40021
40,22,322,155,48.14,40022
40,23,400,205,51.25,40023
40,24,237,170,71.73,40024
40,25,378,167,44.18,40025
40,26,334,152,45.51,40026
40,27,433,244,56.35,40027
40,28,391,190,48.59,40028
40,29,291,184,63.23,40029
40,30,294,196,66.67,40030
40,31,351,147,41.88,40031
40,32,357,174,48.74,40032
40,33,327,145,44.34,40033
40,34,257,183,71.21,40034
40,35,198,116,58.59,40035
40,36,284,158,55.63,40036
40,37,306,170,55.56,40037
40,38,380,158,41.58,40038
40,39,83,46,55.42,40039
