ward,precinct,total,Patricia Van Pelt,Patricia Van Pelt Percent,Robert ''Bob'' Fioretti,Robert ''Bob'' Fioretti Percent,precinct_id
1,8,196,126,64.29,70,35.71,01008
1,11,53,42,79.25,11,20.75,01011
1,12,324,179,55.25,145,44.75,01012
1,21,9,4,44.44,5,55.56,01021
1,32,78,45,57.69,33,42.31,01032
1,33,24,11,45.83,13,54.17,01033
1,37,69,37,53.62,32,46.38,01037
2,1,211,141,66.82,70,33.18,02001
2,6,319,188,58.93,131,41.07,02006
2,7,273,158,57.88,115,42.12,02007
2,8,315,193,61.27,122,38.73,02008
2,9,188,121,64.36,67,35.64,02009
2,12,293,177,60.41,116,39.59,02012
2,15,250,146,58.4,104,41.6,02015
2,17,174,112,64.37,62,35.63,02017
2,20,192,139,72.4,53,27.6,02020
2,25,286,167,58.39,119,41.61,02025
2,41,16,10,62.5,6,37.5,02041
2,46,145,85,58.62,60,41.38,02046
11,2,50,22,44.0,28,56.0,11002
11,6,352,171,48.58,181,51.42,11006
11,7,501,274,54.69,227,45.31,11007
11,33,286,140,48.95,146,51.05,11033
12,10,69,42,60.87,27,39.13,12010
22,19,155,128,82.58,27,17.42,22019
22,21,377,300,79.58,77,20.42,22021
24,1,279,221,79.21,58,20.79,24001
24,2,296,240,81.08,56,18.92,24002
24,3,284,230,80.99,54,19.01,24003
24,4,296,238,80.41,58,19.59,24004
24,5,176,140,79.55,36,20.45,24005
24,6,311,242,77.81,69,22.19,24006
24,7,167,104,62.28,63,37.72,24007
24,8,153,110,71.9,43,28.1,24008
24,9,312,231,74.04,81,25.96,24009
24,10,172,136,79.07,36,20.93,24010
24,11,340,259,76.18,81,23.82,24011
24,12,201,160,79.6,41,20.4,24012
24,13,170,135,79.41,35,20.59,24013
24,14,280,223,79.64,57,20.36,24014
24,15,174,130,74.71,44,25.29,24015
24,16,43,30,69.77,13,30.23,24016
24,17,264,212,80.3,52,19.7,24017
24,18,340,261,76.76,79,23.24,24018
24,19,350,278,79.43,72,20.57,24019
24,20,232,183,78.88,49,21.12,24020
24,21,165,138,83.64,27,16.36,24021
