ward,precinct,total,Tom Tunney,Tom Tunney Percent,precinct_id
44,1,408,408,100.0,44001
44,2,220,220,100.0,44002
44,3,212,212,100.0,44003
44,4,224,224,100.0,44004
44,5,283,283,100.0,44005
44,6,313,313,100.0,44006
44,7,189,189,100.0,44007
44,8,306,306,100.0,44008
44,9,169,169,100.0,44009
44,10,231,231,100.0,44010
44,11,211,211,100.0,44011
44,12,282,282,100.0,44012
44,13,148,148,100.0,44013
44,14,193,193,100.0,44014
44,15,262,262,100.0,44015
44,16,231,231,100.0,44016
44,17,364,364,100.0,44017
44,18,234,234,100.0,44018
44,19,349,349,100.0,44019
44,20,232,232,100.0,44020
44,21,314,314,100.0,44021
44,22,313,313,100.0,44022
44,23,201,201,100.0,44023
44,24,176,176,100.0,44024
44,25,206,206,100.0,44025
44,26,294,294,100.0,44026
44,27,257,257,100.0,44027
44,28,307,307,100.0,44028
44,29,238,238,100.0,44029
44,30,257,257,100.0,44030
44,31,242,242,100.0,44031
44,32,269,269,100.0,44032
44,33,311,311,100.0,44033
44,34,260,260,100.0,44034
44,35,327,327,100.0,44035
44,36,267,267,100.0,44036
44,37,309,309,100.0,44037
44,38,202,202,100.0,44038
44,39,221,221,100.0,44039
44,40,216,216,100.0,44040
44,41,314,314,100.0,44041
