ward,precinct,total,Angelica Alfaro,Angelica Alfaro Percent,Omar Aquino,Omar Aquino Percent,precinct_id
1,1,370,205,55.41,165,44.59,01001
1,2,234,118,50.43,116,49.57,01002
1,3,331,194,58.61,137,41.39,01003
1,4,302,166,54.97,136,45.03,01004
1,5,297,177,59.6,120,40.4,01005
1,6,315,173,54.92,142,45.08,01006
1,8,64,40,62.5,24,37.5,01008
1,10,301,161,53.49,140,46.51,01010
1,11,250,159,63.6,91,36.4,01011
1,14,337,201,59.64,136,40.36,01014
1,15,315,145,46.03,170,53.97,01015
1,17,314,171,54.46,143,45.54,01017
1,18,358,169,47.21,189,52.79,01018
1,20,281,132,46.98,149,53.02,01020
1,21,288,155,53.82,133,46.18,01021
1,22,238,140,58.82,98,41.18,01022
1,24,333,163,48.95,170,51.05,01024
1,25,340,184,54.12,156,45.88,01025
1,26,293,127,43.34,166,56.66,01026
1,27,321,176,54.83,145,45.17,01027
1,29,293,176,60.07,117,39.93,01029
1,30,384,196,51.04,188,48.96,01030
1,31,347,194,55.91,153,44.09,01031
1,32,235,137,58.3,98,41.7,01032
1,33,300,152,50.67,148,49.33,01033
1,35,353,214,60.62,139,39.38,01035
1,36,270,156,57.78,114,42.22,01036
1,37,229,128,55.9,101,44.1,01037
1,38,317,183,57.73,134,42.27,01038
1,39,272,156,57.35,116,42.65,01039
1,40,298,174,58.39,124,41.61,01040
1,44,295,164,55.59,131,44.41,01044
2,1,86,49,56.98,37,43.02,02001
2,3,321,205,63.86,116,36.14,02003
2,4,292,144,49.32,148,50.68,02004
2,5,322,203,63.04,119,36.96,02005
2,14,359,159,44.29,200,55.71,02014
2,15,37,16,43.24,21,56.76,02015
2,16,252,145,57.54,107,42.46,02016
2,17,174,113,64.94,61,35.06,02017
2,21,327,152,46.48,175,53.52,02021
26,1,264,107,40.53,157,59.47,26001
26,2,231,108,46.75,123,53.25,26002
26,3,267,131,49.06,136,50.94,26003
26,4,142,61,42.96,81,57.04,26004
26,5,268,130,48.51,138,51.49,26005
26,6,256,136,53.13,120,46.88,26006
26,8,150,73,48.67,77,51.33,26008
