ward,precinct,total,Kenneth ''Ken'' Dunkin,Kenneth ''Ken'' Dunkin Percent,Juliana Stratton,Juliana Stratton Percent,precinct_id
2,27,64,24,37.5,40,62.5,02027
2,29,76,20,26.32,56,73.68,02029
2,32,204,68,33.33,136,66.67,02032
2,36,212,66,31.13,146,68.87,02036
2,38,151,51,33.77,100,66.23,02038
2,39,173,58,33.53,115,66.47,02039
2,40,223,70,31.39,153,68.61,02040
2,41,173,53,30.64,120,69.36,02041
2,42,144,55,38.19,89,61.81,02042
2,43,272,93,34.19,179,65.81,02043
2,45,293,94,32.08,199,67.92,02045
3,1,438,179,40.87,259,59.13,03001
3,2,536,143,26.68,393,73.32,03002
3,3,22,15,68.18,7,31.82,03003
3,6,346,82,23.7,264,76.3,03006
3,7,324,111,34.26,213,65.74,03007
3,8,438,204,46.58,234,53.42,03008
3,9,446,147,32.96,299,67.04,03009
3,11,259,89,34.36,170,65.64,03011
3,12,304,106,34.87,198,65.13,03012
3,14,362,93,25.69,269,74.31,03014
3,15,467,184,39.4,283,60.6,03015
3,16,436,120,27.52,316,72.48,03016
3,17,416,155,37.26,261,62.74,03017
3,18,242,76,31.4,166,68.6,03018
3,20,468,166,35.47,302,64.53,03020
3,21,311,65,20.9,246,79.1,03021
3,22,426,93,21.83,333,78.17,03022
3,23,413,193,46.73,220,53.27,03023
3,24,393,161,40.97,232,59.03,03024
3,25,433,105,24.25,328,75.75,03025
3,27,150,30,20.0,120,80.0,03027
3,28,303,105,34.65,198,65.35,03028
3,29,382,155,40.58,227,59.42,03029
3,31,240,73,30.42,167,69.58,03031
3,32,369,93,25.2,276,74.8,03032
3,33,367,79,21.53,288,78.47,03033
3,34,436,117,26.83,319,73.17,03034
3,35,207,63,30.43,144,69.57,03035
3,36,229,84,36.68,145,63.32,03036
3,37,387,154,39.79,233,60.21,03037
3,38,374,107,28.61,267,71.39,03038
3,39,376,80,21.28,296,78.72,03039
3,40,435,152,34.94,283,65.06,03040
3,41,213,62,29.11,151,70.89,03041
4,2,381,89,23.36,292,76.64,04002
4,6,395,108,27.34,287,72.66,04006
4,11,105,22,20.95,83,79.05,04011
4,14,446,126,28.25,320,71.75,04014
4,16,320,77,24.06,243,75.94,04016
4,21,201,61,30.35,140,69.65,04021
4,25,377,94,24.93,283,75.07,04025
4,36,256,76,29.69,180,70.31,04036
4,38,152,41,26.97,111,73.03,04038
5,2,372,115,30.91,257,69.09,05002
5,12,341,117,34.31,224,65.69,05012
5,13,166,79,47.59,87,52.41,05013
5,30,180,57,31.67,123,68.33,05030
6,7,30,16,53.33,14,46.67,06007
7,1,27,5,18.52,22,81.48,07001
7,3,103,46,44.66,57,55.34,07003
8,1,286,99,34.62,187,65.38,08001
8,2,334,108,32.34,226,67.66,08002
8,9,264,69,26.14,195,73.86,08009
8,13,426,137,32.16,289,67.84,08013
8,16,152,67,44.08,85,55.92,08016
8,20,405,112,27.65,293,72.35,08020
8,21,467,111,23.77,356,76.23,08021
8,26,217,59,27.19,158,72.81,08026
8,28,378,105,27.78,273,72.22,08028
8,43,47,25,53.19,22,46.81,08043
8,54,158,52,32.91,106,67.09,08054
8,55,294,86,29.25,208,70.75,08055
20,1,334,121,36.23,213,63.77,20001
20,3,284,114,40.14,170,59.86,20003
20,7,363,129,35.54,234,64.46,20007
20,8,293,102,34.81,191,65.19,20008
20,10,291,86,29.55,205,70.45,20010
20,11,459,184,40.09,275,59.91,20011
20,12,253,110,43.48,143,56.52,20012
20,14,211,75,35.55,136,64.45,20014
20,18,289,99,34.26,190,65.74,20018
20,19,395,151,38.23,244,61.77,20019
20,23,377,160,42.44,217,57.56,20023
20,27,5,1,20.0,4,80.0,20027
20,30,180,46,25.56,134,74.44,20030
20,31,452,177,39.16,275,60.84,20031
20,33,214,82,38.32,132,61.68,20033
20,35,350,143,40.86,207,59.14,20035
20,37,140,56,40.0,84,60.0,20037
20,39,9,1,11.11,8,88.89,20039
27,38,207,46,22.22,161,77.78,27038
42,10,224,51,22.77,173,77.23,42010
42,14,157,56,35.67,101,64.33,42014
42,15,39,10,25.64,29,74.36,42015
42,19,175,45,25.71,130,74.29,42019
42,20,202,74,36.63,128,63.37,42020
42,22,132,34,25.76,98,74.24,42022
42,23,202,59,29.21,143,70.79,42023
42,25,233,65,27.9,168,72.1,42025
42,27,245,69,28.16,176,71.84,42027
42,32,201,55,27.36,146,72.64,42032
42,33,332,88,26.51,244,73.49,42033
42,39,229,67,29.26,162,70.74,42039
42,40,77,15,19.48,62,80.52,42040
42,42,323,77,23.84,246,76.16,42042
