ward,precinct,total,Patricia ''Pat'' S. Spratt,Patricia ''Pat'' S. Spratt Percent,Christopher J. Stuart,Christopher J. Stuart Percent,Jennifer Ballard,Jennifer Ballard Percent,Mable Taylor,Mable Taylor Percent,Patrick D. John,Patrick D. John Percent,Rosa Silva,Rosa Silva Percent,precinct_id
11,6,282,73,25.89,9,3.19,39,13.83,25,8.87,10,3.55,126,44.68,11006
11,7,175,30,17.14,19,10.86,28,16.0,31,17.71,17,9.71,50,28.57,11007
22,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22019
22,21,285,73,25.61,25,8.77,69,24.21,67,23.51,20,7.02,31,10.88,22021
24,1,259,68,26.25,21,8.11,83,32.05,34,13.13,15,5.79,38,14.67,24001
24,2,236,84,35.59,17,7.2,63,26.69,40,16.95,10,4.24,22,9.32,24002
24,3,233,62,26.61,16,6.87,69,29.61,44,18.88,13,5.58,29,12.45,24003
24,4,245,72,29.39,17,6.94,71,28.98,40,16.33,12,4.9,33,13.47,24004
24,5,131,23,17.56,13,9.92,39,29.77,27,20.61,12,9.16,17,12.98,24005
24,6,253,65,25.69,19,7.51,73,28.85,54,21.34,11,4.35,31,12.25,24006
24,8,111,35,31.53,9,8.11,22,19.82,26,23.42,8,7.21,11,9.91,24008
24,9,260,74,28.46,18,6.92,49,18.85,54,20.77,19,7.31,46,17.69,24009
24,10,110,22,20.0,9,8.18,38,34.55,18,16.36,6,5.45,17,15.45,24010
24,11,266,64,24.06,23,8.65,88,33.08,42,15.79,18,6.77,31,11.65,24011
24,12,156,44,28.21,14,8.97,39,25.0,28,17.95,13,8.33,18,11.54,24012
24,13,124,38,30.65,9,7.26,42,33.87,17,13.71,7,5.65,11,8.87,24013
24,14,211,60,28.44,19,9.0,58,27.49,38,18.01,16,7.58,20,9.48,24014
24,15,144,37,25.69,11,7.64,40,27.78,28,19.44,10,6.94,18,12.5,24015
24,17,198,46,23.23,17,8.59,66,33.33,34,17.17,13,6.57,22,11.11,24017
24,18,284,73,25.7,14,4.93,80,28.17,52,18.31,22,7.75,43,15.14,24018
24,19,308,90,29.22,17,5.52,90,29.22,38,12.34,20,6.49,53,17.21,24019
24,20,183,51,27.87,12,6.56,57,31.15,27,14.75,12,6.56,24,13.11,24020
24,21,146,30,20.55,14,9.59,52,35.62,26,17.81,11,7.53,13,8.9,24021
24,22,331,81,24.47,29,8.76,95,28.7,56,16.92,24,7.25,46,13.9,24022
24,23,229,58,25.33,14,6.11,71,31.0,30,13.1,9,3.93,47,20.52,24023
24,24,300,82,27.33,23,7.67,73,24.33,60,20.0,27,9.0,35,11.67,24024
24,25,211,64,30.33,12,5.69,52,24.64,47,22.27,16,7.58,20,9.48,24025
24,26,316,81,25.63,16,5.06,120,37.97,42,13.29,16,5.06,41,12.97,24026
24,27,258,55,21.32,13,5.04,59,22.87,43,16.67,57,22.09,31,12.02,24027
24,28,191,49,25.65,13,6.81,68,35.6,32,16.75,11,5.76,18,9.42,24028
24,29,183,47,25.68,14,7.65,52,28.42,37,20.22,9,4.92,24,13.11,24029
24,30,132,35,26.52,11,8.33,44,33.33,18,13.64,12,9.09,12,9.09,24030
24,31,294,61,20.75,21,7.14,115,39.12,32,10.88,17,5.78,48,16.33,24031
24,32,136,27,19.85,10,7.35,37,27.21,23,16.91,16,11.76,23,16.91,24032
24,33,150,34,22.67,18,12.0,48,32.0,25,16.67,7,4.67,18,12.0,24033
24,34,205,63,30.73,17,8.29,53,25.85,33,16.1,20,9.76,19,9.27,24034
