ward,precinct,total,Darryl D. Smith,Darryl D. Smith Percent,Kenyatta Nicole Vaughn,Kenyatta Nicole Vaughn Percent,Genita C. Robinson,Genita C. Robinson Percent,Sonya Marie Harper,Sonya Marie Harper Percent,precinct_id
3,1,101,31,30.69,41,40.59,13,12.87,16,15.84,03001
3,3,290,76,26.21,60,20.69,77,26.55,77,26.55,03003
3,5,301,85,28.24,56,18.6,66,21.93,94,31.23,03005
3,10,212,60,28.3,57,26.89,23,10.85,72,33.96,03010
3,13,346,46,13.29,42,12.14,158,45.66,100,28.9,03013
3,18,349,140,40.11,89,25.5,55,15.76,65,18.62,03018
3,26,407,42,10.32,44,10.81,251,61.67,70,17.2,03026
3,29,69,13,18.84,16,23.19,18,26.09,22,31.88,03029
3,36,24,6,25.0,2,8.33,5,20.83,11,45.83,03036
3,41,127,36,28.35,27,21.26,23,18.11,41,32.28,03041
4,13,277,52,18.77,55,19.86,80,28.88,90,32.49,04013
4,16,102,17,16.67,5,4.9,54,52.94,26,25.49,04016
4,17,381,48,12.6,52,13.65,170,44.62,111,29.13,04017
4,20,307,31,10.1,45,14.66,172,56.03,59,19.22,04020
4,21,203,29,14.29,30,14.78,71,34.98,73,35.96,04021
4,37,367,32,8.72,42,11.44,198,53.95,95,25.89,04037
6,15,112,38,33.93,37,33.04,11,9.82,26,23.21,06015
6,18,29,6,20.69,15,51.72,5,17.24,3,10.34,06018
6,28,70,32,45.71,20,28.57,6,8.57,12,17.14,06028
11,12,430,45,10.47,17,3.95,111,25.81,257,59.77,11012
11,13,369,29,7.86,27,7.32,81,21.95,232,62.87,11013
11,21,421,41,9.74,22,5.23,91,21.62,267,63.42,11021
11,24,405,44,10.86,30,7.41,43,10.62,288,71.11,11024
11,28,152,33,21.71,5,3.29,16,10.53,98,64.47,11028
11,29,328,31,9.45,21,6.4,56,17.07,220,67.07,11029
11,31,274,40,14.6,16,5.84,66,24.09,152,55.47,11031
11,32,143,6,4.2,14,9.79,28,19.58,95,66.43,11032
11,34,86,21,24.42,14,16.28,7,8.14,44,51.16,11034
11,35,82,14,17.07,8,9.76,15,18.29,45,54.88,11035
15,1,273,67,24.54,26,9.52,91,33.33,89,32.6,15001
15,2,221,63,28.51,69,31.22,36,16.29,53,23.98,15002
15,3,187,51,27.27,30,16.04,34,18.18,72,38.5,15003
15,5,59,10,16.95,4,6.78,24,40.68,21,35.59,15005
15,7,175,38,21.71,45,25.71,36,20.57,56,32.0,15007
15,13,154,44,28.57,21,13.64,41,26.62,48,31.17,15013
15,14,37,9,24.32,4,10.81,7,18.92,17,45.95,15014
15,17,221,71,32.13,41,18.55,45,20.36,64,28.96,15017
15,18,263,82,31.18,79,30.04,41,15.59,61,23.19,15018
15,20,218,51,23.39,47,21.56,37,16.97,83,38.07,15020
15,21,255,66,25.88,45,17.65,23,9.02,121,47.45,15021
15,22,26,6,23.08,11,42.31,5,19.23,4,15.38,15022
15,23,264,54,20.45,50,18.94,42,15.91,118,44.7,15023
15,24,245,73,29.8,48,19.59,30,12.24,94,38.37,15024
16,2,231,70,30.3,57,24.68,33,14.29,71,30.74,16002
16,3,262,93,35.5,50,19.08,46,17.56,73,27.86,16003
16,4,222,76,34.23,63,28.38,39,17.57,44,19.82,16004
16,5,263,102,38.78,68,25.86,33,12.55,60,22.81,16005
16,6,118,39,33.05,35,29.66,24,20.34,20,16.95,16006
16,8,205,66,32.2,59,28.78,36,17.56,44,21.46,16008
16,9,310,96,30.97,92,29.68,40,12.9,82,26.45,16009
16,10,261,76,29.12,48,18.39,45,17.24,92,35.25,16010
16,12,262,82,31.3,55,20.99,27,10.31,98,37.4,16012
16,14,240,89,37.08,81,33.75,37,15.42,33,13.75,16014
16,15,308,110,35.71,93,30.19,49,15.91,56,18.18,16015
16,17,107,35,32.71,16,14.95,13,12.15,43,40.19,16017
16,18,277,70,25.27,62,22.38,67,24.19,78,28.16,16018
16,19,287,89,31.01,72,25.09,56,19.51,70,24.39,16019
16,20,237,71,29.96,63,26.58,37,15.61,66,27.85,16020
16,21,226,68,30.09,65,28.76,46,20.35,47,20.8,16021
16,22,262,85,32.44,74,28.24,46,17.56,57,21.76,16022
16,25,298,107,35.91,93,31.21,45,15.1,53,17.79,16025
16,26,248,75,30.24,64,25.81,57,22.98,52,20.97,16026
16,27,269,137,50.93,73,27.14,26,9.67,33,12.27,16027
16,28,277,134,48.38,61,22.02,33,11.91,49,17.69,16028
16,30,154,65,42.21,39,25.32,14,9.09,36,23.38,16030
16,31,304,106,34.87,74,24.34,17,5.59,107,35.2,16031
16,33,169,43,25.44,59,34.91,36,21.3,31,18.34,16033
16,34,274,94,34.31,97,35.4,33,12.04,50,18.25,16034
16,36,210,70,33.33,65,30.95,33,15.71,42,20.0,16036
17,1,1,1,100.0,0,0.0,0,0.0,0,0.0,17001
17,6,308,50,16.23,83,26.95,53,17.21,122,39.61,17006
17,8,293,71,24.23,99,33.79,38,12.97,85,29.01,17008
17,16,94,15,15.96,20,21.28,18,19.15,41,43.62,17016
17,17,78,22,28.21,33,42.31,7,8.97,16,20.51,17017
17,25,272,58,21.32,61,22.43,48,17.65,105,38.6,17025
18,50,88,13,14.77,17,19.32,20,22.73,38,43.18,18050
