ward,precinct,total,Marc Martin,Marc Martin Percent,James DiChristofano,James DiChristofano Percent,precinct_id
29,1,314,129,41.08,78,24.84,29001
29,7,263,108,41.06,54,20.53,29007
29,9,279,107,38.35,74,26.52,29009
29,10,339,128,37.76,85,25.07,29010
29,12,340,175,51.47,60,17.65,29012
29,15,329,177,53.8,60,18.24,29015
29,17,299,160,53.51,44,14.72,29017
29,23,264,98,37.12,76,28.79,29023
29,24,266,136,51.13,39,14.66,29024
29,29,200,59,29.5,78,39.0,29029
29,30,297,114,38.38,69,23.23,29030
29,31,178,41,23.03,82,46.07,29031
29,32,183,55,30.05,66,36.07,29032
29,36,249,150,60.24,36,14.46,29036
29,38,208,76,36.54,61,29.33,29038
29,39,217,69,31.8,92,42.4,29039
29,43,309,135,43.69,73,23.62,29043
30,1,285,100,35.09,66,23.16,30001
30,2,221,101,45.7,48,21.72,30002
30,3,91,30,32.97,14,15.38,30003
30,4,250,95,38.0,63,25.2,30004
30,5,175,81,46.29,38,21.71,30005
30,6,229,108,47.16,51,22.27,30006
30,7,269,116,43.12,48,17.84,30007
30,8,280,87,31.07,67,23.93,30008
30,9,209,97,46.41,55,26.32,30009
30,10,280,125,44.64,60,21.43,30010
30,11,252,127,50.4,49,19.44,30011
30,12,203,95,46.8,49,24.14,30012
30,13,206,72,34.95,59,28.64,30013
30,16,129,52,40.31,30,23.26,30016
30,17,225,85,37.78,61,27.11,30017
30,18,271,108,39.85,35,12.92,30018
30,20,190,66,34.74,43,22.63,30020
30,21,161,51,31.68,39,24.22,30021
30,22,322,132,40.99,68,21.12,30022
30,23,272,107,39.34,61,22.43,30023
30,24,240,95,39.58,47,19.58,30024
30,25,276,105,38.04,54,19.57,30025
30,26,131,59,45.04,25,19.08,30026
30,27,145,61,42.07,36,24.83,30027
30,28,263,90,34.22,44,16.73,30028
30,29,155,70,45.16,34,21.94,30029
30,30,104,41,39.42,20,19.23,30030
30,31,149,61,40.94,34,22.82,30031
31,3,162,60,37.04,41,25.31,31003
31,8,120,54,45.0,28,23.33,31008
31,9,198,76,38.38,48,24.24,31009
31,11,131,55,41.98,26,19.85,31011
31,12,149,42,28.19,33,22.15,31012
31,14,148,57,38.51,31,20.95,31014
31,15,126,42,33.33,28,22.22,31015
31,17,45,18,40.0,10,22.22,31017
31,19,147,60,40.82,35,23.81,31019
31,25,151,66,43.71,33,21.85,31025
31,31,170,56,32.94,45,26.47,31031
31,33,147,47,31.97,33,22.45,31033
31,34,149,54,36.24,36,24.16,31034
31,35,59,19,32.2,11,18.64,31035
36,1,267,94,35.21,79,29.59,36001
36,2,223,89,39.91,71,31.84,36002
36,3,213,82,38.5,58,27.23,36003
36,4,261,92,35.25,77,29.5,36004
36,5,258,107,41.47,68,26.36,36005
36,7,238,116,48.74,63,26.47,36007
36,10,266,104,39.1,70,26.32,36010
36,14,196,47,23.98,51,26.02,36014
36,15,238,90,37.82,71,29.83,36015
36,16,204,68,33.33,41,20.1,36016
36,17,269,110,40.89,60,22.3,36017
36,18,197,63,31.98,58,29.44,36018
36,19,283,98,34.63,90,31.8,36019
