ward,precinct,total,John S. Arena,John S. Arena Percent,precinct_id
45,1,223,223,100.0,45001
45,2,259,259,100.0,45002
45,3,257,257,100.0,45003
45,4,319,319,100.0,45004
45,5,251,251,100.0,45005
45,6,304,304,100.0,45006
45,7,363,363,100.0,45007
45,8,256,256,100.0,45008
45,9,283,283,100.0,45009
45,10,268,268,100.0,45010
45,11,231,231,100.0,45011
45,12,241,241,100.0,45012
45,13,252,252,100.0,45013
45,14,338,338,100.0,45014
45,15,350,350,100.0,45015
45,16,209,209,100.0,45016
45,17,268,268,100.0,45017
45,18,241,241,100.0,45018
45,19,120,120,100.0,45019
45,20,153,153,100.0,45020
45,21,207,207,100.0,45021
45,22,204,204,100.0,45022
45,23,205,205,100.0,45023
45,24,168,168,100.0,45024
45,25,155,155,100.0,45025
45,26,118,118,100.0,45026
45,27,208,208,100.0,45027
45,28,176,176,100.0,45028
45,29,129,129,100.0,45029
45,30,235,235,100.0,45030
45,31,201,201,100.0,45031
45,32,196,196,100.0,45032
45,33,171,171,100.0,45033
45,34,256,256,100.0,45034
45,35,247,247,100.0,45035
45,36,258,258,100.0,45036
45,37,216,216,100.0,45037
45,38,196,196,100.0,45038
45,39,207,207,100.0,45039
45,40,217,217,100.0,45040
45,41,193,193,100.0,45041
45,42,195,195,100.0,45042
45,43,204,204,100.0,45043
45,44,192,192,100.0,45044
45,45,127,127,100.0,45045
45,46,147,147,100.0,45046
45,47,150,150,100.0,45047
45,48,117,117,100.0,45048
