ward,precinct,total,Mary Kathleen McHugh,Mary Kathleen McHugh Percent,Devlin J. Schoop,Devlin J. Schoop Percent,Brian J O'Hara,Brian J O'Hara Percent,precinct_id
1,1,276,134,48.55,85,30.8,57,20.65,01001
1,2,277,121,43.68,86,31.05,70,25.27,01002
1,3,247,140,56.68,79,31.98,28,11.34,01003
1,4,226,124,54.87,73,32.3,29,12.83,01004
1,5,220,133,60.45,56,25.45,31,14.09,01005
1,6,240,118,49.17,75,31.25,47,19.58,01006
1,7,207,105,50.72,69,33.33,33,15.94,01007
1,8,198,103,52.02,62,31.31,33,16.67,01008
1,9,208,97,46.63,50,24.04,61,29.33,01009
1,10,220,111,50.45,74,33.64,35,15.91,01010
1,11,237,114,48.1,92,38.82,31,13.08,01011
1,12,253,132,52.17,84,33.2,37,14.62,01012
1,13,117,53,45.3,36,30.77,28,23.93,01013
1,14,244,114,46.72,89,36.48,41,16.8,01014
1,15,247,114,46.15,79,31.98,54,21.86,01015
1,16,241,123,51.04,67,27.8,51,21.16,01016
1,17,268,126,47.01,93,34.7,49,18.28,01017
1,18,281,142,50.53,91,32.38,48,17.08,01018
1,19,330,154,46.67,110,33.33,66,20.0,01019
1,20,230,117,50.87,80,34.78,33,14.35,01020
1,21,225,120,53.33,77,34.22,28,12.44,01021
1,22,176,81,46.02,61,34.66,34,19.32,01022
1,23,403,183,45.41,160,39.7,60,14.89,01023
1,24,240,129,53.75,63,26.25,48,20.0,01024
1,25,258,131,50.78,77,29.84,50,19.38,01025
1,26,217,89,41.01,63,29.03,65,29.95,01026
1,27,257,138,53.7,72,28.02,47,18.29,01027
1,28,88,42,47.73,20,22.73,26,29.55,01028
1,29,229,114,49.78,77,33.62,38,16.59,01029
1,30,293,144,49.15,85,29.01,64,21.84,01030
1,31,267,141,52.81,69,25.84,57,21.35,01031
1,32,227,110,48.46,75,33.04,42,18.5,01032
1,33,241,138,57.26,60,24.9,43,17.84,01033
1,34,233,130,55.79,63,27.04,40,17.17,01034
1,35,261,143,54.79,69,26.44,49,18.77,01035
1,36,214,120,56.07,69,32.24,25,11.68,01036
1,37,240,129,53.75,67,27.92,44,18.33,01037
1,38,231,112,48.48,76,32.9,43,18.61,01038
1,39,209,96,45.93,68,32.54,45,21.53,01039
1,40,239,127,53.14,62,25.94,50,20.92,01040
1,41,181,84,46.41,67,37.02,30,16.57,01041
1,42,80,36,45.0,26,32.5,18,22.5,01042
1,43,195,99,50.77,64,32.82,32,16.41,01043
1,44,240,117,48.75,91,37.92,32,13.33,01044
2,1,225,114,50.67,74,32.89,37,16.44,02001
2,2,115,50,43.48,52,45.22,13,11.3,02002
2,3,244,131,53.69,76,31.15,37,15.16,02003
2,4,207,98,47.34,74,35.75,35,16.91,02004
2,5,269,132,49.07,97,36.06,40,14.87,02005
2,6,257,122,47.47,93,36.19,42,16.34,02006
2,7,205,97,47.32,57,27.8,51,24.88,02007
2,8,223,123,55.16,73,32.74,27,12.11,02008
2,9,120,69,57.5,29,24.17,22,18.33,02009
2,10,149,66,44.3,60,40.27,23,15.44,02010
2,11,140,73,52.14,53,37.86,14,10.0,02011
2,12,235,129,54.89,81,34.47,25,10.64,02012
2,13,190,92,48.42,73,38.42,25,13.16,02013
2,14,264,126,47.73,101,38.26,37,14.02,02014
2,15,217,108,49.77,81,37.33,28,12.9,02015
2,16,189,104,55.03,49,25.93,36,19.05,02016
2,17,272,130,47.79,99,36.4,43,15.81,02017
2,18,182,99,54.4,48,26.37,35,19.23,02018
2,19,130,57,43.85,63,48.46,10,7.69,02019
2,20,166,90,54.22,56,33.73,20,12.05,02020
2,21,245,133,54.29,81,33.06,31,12.65,02021
2,22,182,96,52.75,65,35.71,21,11.54,02022
2,23,111,51,45.95,49,44.14,11,9.91,02023
2,24,147,83,56.46,41,27.89,23,15.65,02024
2,25,214,119,55.61,63,29.44,32,14.95,02025
2,26,172,92,53.49,48,27.91,32,18.6,02026
2,27,147,72,48.98,61,41.5,14,9.52,02027
2,28,186,89,47.85,74,39.78,23,12.37,02028
2,29,178,91,51.12,57,32.02,30,16.85,02029
2,30,154,79,51.3,59,38.31,16,10.39,02030
2,31,225,115,51.11,75,33.33,35,15.56,02031
2,32,140,71,50.71,46,32.86,23,16.43,02032
2,33,278,141,50.72,105,37.77,32,11.51,02033
2,34,160,73,45.63,72,45.0,15,9.38,02034
2,35,178,103,57.87,56,31.46,19,10.67,02035
2,36,132,78,59.09,33,25.0,21,15.91,02036
2,37,185,97,52.43,60,32.43,28,15.14,02037
2,38,157,77,49.04,56,35.67,24,15.29,02038
2,39,120,63,52.5,32,26.67,25,20.83,02039
2,40,155,92,59.35,47,30.32,16,10.32,02040
2,41,133,75,56.39,40,30.08,18,13.53,02041
2,42,179,97,54.19,52,29.05,30,16.76,02042
2,43,191,98,51.31,65,34.03,28,14.66,02043
2,44,98,48,48.98,36,36.73,14,14.29,02044
2,45,218,120,55.05,69,31.65,29,13.3,02045
2,46,99,54,54.55,34,34.34,11,11.11,02046
3,1,410,192,46.83,168,40.98,50,12.2,03001
3,2,401,181,45.14,169,42.14,51,12.72,03002
3,3,238,126,52.94,74,31.09,38,15.97,03003
3,4,360,173,48.06,149,41.39,38,10.56,03004
3,5,234,134,57.26,81,34.62,19,8.12,03005
3,6,238,122,51.26,81,34.03,35,14.71,03006
3,7,206,86,41.75,94,45.63,26,12.62,03007
3,8,303,146,48.18,107,35.31,50,16.5,03008
3,9,342,174,50.88,131,38.3,37,10.82,03009
3,10,168,84,50.0,57,33.93,27,16.07,03010
3,11,333,149,44.74,143,42.94,41,12.31,03011
3,12,340,167,49.12,130,38.24,43,12.65,03012
3,13,303,161,53.14,117,38.61,25,8.25,03013
3,14,256,127,49.61,100,39.06,29,11.33,03014
3,15,311,149,47.91,110,35.37,52,16.72,03015
3,16,313,161,51.44,112,35.78,40,12.78,03016
3,17,289,141,48.79,119,41.18,29,10.03,03017
3,18,474,238,50.21,174,36.71,62,13.08,03018
3,19,248,131,52.82,86,34.68,31,12.5,03019
3,20,347,183,52.74,114,32.85,50,14.41,03020
3,21,252,144,57.14,76,30.16,32,12.7,03021
3,22,295,159,53.9,98,33.22,38,12.88,03022
3,23,302,161,53.31,96,31.79,45,14.9,03023
3,24,275,149,54.18,95,34.55,31,11.27,03024
3,25,306,156,50.98,117,38.24,33,10.78,03025
3,26,310,129,41.61,146,47.1,35,11.29,03026
3,27,238,137,57.56,79,33.19,22,9.24,03027
3,28,216,114,52.78,83,38.43,19,8.8,03028
3,29,333,169,50.75,111,33.33,53,15.92,03029
3,30,296,140,47.3,118,39.86,38,12.84,03030
3,31,406,200,49.26,151,37.19,55,13.55,03031
3,32,250,130,52.0,95,38.0,25,10.0,03032
3,33,283,152,53.71,98,34.63,33,11.66,03033
3,34,298,177,59.4,87,29.19,34,11.41,03034
3,35,149,81,54.36,55,36.91,13,8.72,03035
3,36,190,89,46.84,74,38.95,27,14.21,03036
3,37,268,139,51.87,94,35.07,35,13.06,03037
3,38,279,138,49.46,104,37.28,37,13.26,03038
3,39,266,144,54.14,91,34.21,31,11.65,03039
3,40,303,152,50.17,119,39.27,32,10.56,03040
3,41,237,109,45.99,93,39.24,35,14.77,03041
4,1,373,175,46.92,177,47.45,21,5.63,04001
4,2,272,156,57.35,97,35.66,19,6.99,04002
4,3,312,150,48.08,120,38.46,42,13.46,04003
4,4,451,215,47.67,177,39.25,59,13.08,04004
4,5,322,144,44.72,148,45.96,30,9.32,04005
4,6,409,189,46.21,166,40.59,54,13.2,04006
4,7,390,190,48.72,164,42.05,36,9.23,04007
4,8,395,159,40.25,184,46.58,52,13.16,04008
4,9,395,199,50.38,158,40.0,38,9.62,04009
4,10,400,182,45.5,183,45.75,35,8.75,04010
4,11,362,168,46.41,141,38.95,53,14.64,04011
4,12,401,182,45.39,179,44.64,40,9.98,04012
4,13,222,110,49.55,80,36.04,32,14.41,04013
4,14,330,163,49.39,123,37.27,44,13.33,04014
4,15,418,215,51.44,157,37.56,46,11.0,04015
4,16,325,172,52.92,108,33.23,45,13.85,04016
4,17,310,168,54.19,105,33.87,37,11.94,04017
4,18,304,151,49.67,105,34.54,48,15.79,04018
4,19,308,146,47.4,116,37.66,46,14.94,04019
4,20,239,121,50.63,94,39.33,24,10.04,04020
4,21,318,167,52.52,104,32.7,47,14.78,04021
4,22,325,159,48.92,139,42.77,27,8.31,04022
4,23,411,178,43.31,199,48.42,34,8.27,04023
4,24,304,120,39.47,157,51.64,27,8.88,04024
4,25,274,156,56.93,92,33.58,26,9.49,04025
4,26,338,152,44.97,139,41.12,47,13.91,04026
4,27,363,162,44.63,162,44.63,39,10.74,04027
4,28,313,158,50.48,118,37.7,37,11.82,04028
4,29,326,163,50.0,127,38.96,36,11.04,04029
4,30,443,199,44.92,166,37.47,78,17.61,04030
4,31,340,144,42.35,173,50.88,23,6.76,04031
4,32,358,189,52.79,130,36.31,39,10.89,04032
4,33,359,193,53.76,137,38.16,29,8.08,04033
4,34,284,120,42.25,131,46.13,33,11.62,04034
4,35,417,186,44.6,189,45.32,42,10.07,04035
4,36,365,165,45.21,166,45.48,34,9.32,04036
4,37,291,128,43.99,124,42.61,39,13.4,04037
4,38,375,171,45.6,172,45.87,32,8.53,04038
5,1,278,141,50.72,101,36.33,36,12.95,05001
5,2,300,147,49.0,114,38.0,39,13.0,05002
5,3,301,152,50.5,126,41.86,23,7.64,05003
5,4,365,178,48.77,145,39.73,42,11.51,05004
5,5,285,137,48.07,106,37.19,42,14.74,05005
5,6,280,128,45.71,102,36.43,50,17.86,05006
5,7,319,167,52.35,120,37.62,32,10.03,05007
5,8,284,140,49.3,130,45.77,14,4.93,05008
5,9,360,184,51.11,150,41.67,26,7.22,05009
5,10,261,117,44.83,106,40.61,38,14.56,05010
5,11,299,127,42.47,150,50.17,22,7.36,05011
5,12,248,125,50.4,84,33.87,39,15.73,05012
5,13,269,147,54.65,81,30.11,41,15.24,05013
5,14,296,146,49.32,122,41.22,28,9.46,05014
5,15,301,150,49.83,118,39.2,33,10.96,05015
5,16,305,156,51.15,113,37.05,36,11.8,05016
5,17,283,136,48.06,96,33.92,51,18.02,05017
5,18,273,126,46.15,129,47.25,18,6.59,05018
5,19,277,136,49.1,122,44.04,19,6.86,05019
5,20,319,158,49.53,137,42.95,24,7.52,05020
5,21,290,141,48.62,125,43.1,24,8.28,05021
5,22,325,163,50.15,140,43.08,22,6.77,05022
5,23,450,197,43.78,217,48.22,36,8.0,05023
5,24,322,147,45.65,138,42.86,37,11.49,05024
5,25,296,126,42.57,129,43.58,41,13.85,05025
5,26,311,154,49.52,123,39.55,34,10.93,05026
5,27,219,82,37.44,116,52.97,21,9.59,05027
5,28,339,166,48.97,147,43.36,26,7.67,05028
5,29,373,178,47.72,153,41.02,42,11.26,05029
5,30,247,140,56.68,69,27.94,38,15.38,05030
5,31,271,129,47.6,109,40.22,33,12.18,05031
5,32,354,172,48.59,153,43.22,29,8.19,05032
5,33,332,152,45.78,121,36.45,59,17.77,05033
5,34,289,121,41.87,146,50.52,22,7.61,05034
5,35,314,138,43.95,160,50.96,16,5.1,05035
5,36,234,113,48.29,78,33.33,43,18.38,05036
5,37,281,141,50.18,121,43.06,19,6.76,05037
5,38,330,156,47.27,131,39.7,43,13.03,05038
5,39,228,94,41.23,123,53.95,11,4.82,05039
5,40,250,111,44.4,108,43.2,31,12.4,05040
5,41,151,68,45.03,76,50.33,7,4.64,05041
6,1,317,137,43.22,151,47.63,29,9.15,06001
6,2,303,144,47.52,127,41.91,32,10.56,06002
6,3,319,134,42.01,148,46.39,37,11.6,06003
6,4,211,116,54.98,68,32.23,27,12.8,06004
6,5,203,92,45.32,78,38.42,33,16.26,06005
6,6,284,121,42.61,136,47.89,27,9.51,06006
6,7,307,131,42.67,143,46.58,33,10.75,06007
6,8,326,124,38.04,168,51.53,34,10.43,06008
6,9,289,155,53.63,92,31.83,42,14.53,06009
6,10,220,98,44.55,91,41.36,31,14.09,06010
6,11,305,143,46.89,115,37.7,47,15.41,06011
6,12,244,117,47.95,92,37.7,35,14.34,06012
6,13,232,96,41.38,113,48.71,23,9.91,06013
6,14,267,118,44.19,108,40.45,41,15.36,06014
6,15,230,107,46.52,92,40.0,31,13.48,06015
6,16,299,116,38.8,162,54.18,21,7.02,06016
6,17,202,90,44.55,79,39.11,33,16.34,06017
6,18,180,83,46.11,66,36.67,31,17.22,06018
6,19,263,115,43.73,114,43.35,34,12.93,06019
6,20,177,76,42.94,71,40.11,30,16.95,06020
6,21,176,87,49.43,62,35.23,27,15.34,06021
6,22,195,101,51.79,67,34.36,27,13.85,06022
6,23,164,64,39.02,73,44.51,27,16.46,06023
6,24,191,91,47.64,68,35.6,32,16.75,06024
6,25,179,89,49.72,68,37.99,22,12.29,06025
6,26,240,111,46.25,98,40.83,31,12.92,06026
6,27,186,99,53.23,60,32.26,27,14.52,06027
6,28,145,63,43.45,52,35.86,30,20.69,06028
6,29,303,98,32.34,183,60.4,22,7.26,06029
6,30,251,115,45.82,101,40.24,35,13.94,06030
6,31,324,97,29.94,205,63.27,22,6.79,06031
6,32,256,135,52.73,98,38.28,23,8.98,06032
6,33,302,165,54.64,103,34.11,34,11.26,06033
6,34,301,148,49.17,120,39.87,33,10.96,06034
6,35,280,125,44.64,132,47.14,23,8.21,06035
6,36,335,136,40.6,159,47.46,40,11.94,06036
6,37,324,122,37.65,166,51.23,36,11.11,06037
6,38,315,134,42.54,152,48.25,29,9.21,06038
6,39,273,113,41.39,106,38.83,54,19.78,06039
6,40,259,114,44.02,116,44.79,29,11.2,06040
6,41,327,153,46.79,141,43.12,33,10.09,06041
6,42,302,127,42.05,138,45.7,37,12.25,06042
6,43,248,102,41.13,121,48.79,25,10.08,06043
6,44,284,138,48.59,117,41.2,29,10.21,06044
6,45,318,138,43.4,161,50.63,19,5.97,06045
6,46,198,97,48.99,71,35.86,30,15.15,06046
6,47,228,117,51.32,77,33.77,34,14.91,06047
6,48,299,133,44.48,124,41.47,42,14.05,06048
7,1,256,137,53.52,82,32.03,37,14.45,07001
7,2,264,118,44.7,107,40.53,39,14.77,07002
7,3,265,133,50.19,106,40.0,26,9.81,07003
7,4,287,144,50.17,110,38.33,33,11.5,07004
7,5,198,86,43.43,79,39.9,33,16.67,07005
7,6,324,149,45.99,140,43.21,35,10.8,07006
7,7,241,134,55.6,70,29.05,37,15.35,07007
7,8,208,103,49.52,77,37.02,28,13.46,07008
7,9,397,192,48.36,166,41.81,39,9.82,07009
7,10,316,144,45.57,130,41.14,42,13.29,07010
7,11,322,162,50.31,109,33.85,51,15.84,07011
7,12,245,114,46.53,88,35.92,43,17.55,07012
7,13,147,72,48.98,56,38.1,19,12.93,07013
7,14,281,138,49.11,101,35.94,42,14.95,07014
7,15,280,116,41.43,143,51.07,21,7.5,07015
7,16,249,111,44.58,102,40.96,36,14.46,07016
7,17,246,113,45.93,102,41.46,31,12.6,07017
7,18,209,114,54.55,63,30.14,32,15.31,07018
7,19,277,139,50.18,100,36.1,38,13.72,07019
7,20,211,100,47.39,76,36.02,35,16.59,07020
7,21,202,88,43.56,79,39.11,35,17.33,07021
7,22,216,94,43.52,84,38.89,38,17.59,07022
7,23,287,132,45.99,125,43.55,30,10.45,07023
7,24,243,130,53.5,80,32.92,33,13.58,07024
7,25,254,120,47.24,88,34.65,46,18.11,07025
7,26,250,120,48.0,99,39.6,31,12.4,07026
7,27,234,103,44.02,97,41.45,34,14.53,07027
7,28,190,89,46.84,71,37.37,30,15.79,07028
7,29,241,96,39.83,108,44.81,37,15.35,07029
7,30,202,104,51.49,66,32.67,32,15.84,07030
7,31,166,74,44.58,59,35.54,33,19.88,07031
7,32,400,148,37.0,222,55.5,30,7.5,07032
7,33,363,148,40.77,184,50.69,31,8.54,07033
7,34,320,148,46.25,139,43.44,33,10.31,07034
7,35,252,127,50.4,97,38.49,28,11.11,07035
7,36,357,156,43.7,165,46.22,36,10.08,07036
7,37,301,144,47.84,125,41.53,32,10.63,07037
7,38,250,112,44.8,98,39.2,40,16.0,07038
7,39,262,134,51.15,91,34.73,37,14.12,07039
7,40,246,116,47.15,107,43.5,23,9.35,07040
7,41,269,125,46.47,102,37.92,42,15.61,07041
7,42,266,139,52.26,103,38.72,24,9.02,07042
7,43,240,115,47.92,93,38.75,32,13.33,07043
7,44,266,136,51.13,84,31.58,46,17.29,07044
7,45,279,123,44.09,101,36.2,55,19.71,07045
7,46,119,57,47.9,42,35.29,20,16.81,07046
8,1,226,96,42.48,93,41.15,37,16.37,08001
8,2,314,136,43.31,141,44.9,37,11.78,08002
8,3,334,105,31.44,199,59.58,30,8.98,08003
8,4,336,131,38.99,174,51.79,31,9.23,08004
8,5,317,139,43.85,154,48.58,24,7.57,08005
8,6,326,115,35.28,172,52.76,39,11.96,08006
8,7,339,133,39.23,169,49.85,37,10.91,08007
8,8,289,96,33.22,177,61.25,16,5.54,08008
8,9,213,81,38.03,110,51.64,22,10.33,08009
8,10,370,144,38.92,199,53.78,27,7.3,08010
8,11,273,90,32.97,154,56.41,29,10.62,08011
8,12,277,112,40.43,140,50.54,25,9.03,08012
8,13,329,154,46.81,131,39.82,44,13.37,08013
8,14,249,107,42.97,106,42.57,36,14.46,08014
8,15,279,108,38.71,142,50.9,29,10.39,08015
8,16,126,62,49.21,47,37.3,17,13.49,08016
8,17,263,95,36.12,133,50.57,35,13.31,08017
8,18,283,130,45.94,117,41.34,36,12.72,08018
8,19,355,167,47.04,162,45.63,26,7.32,08019
8,20,341,136,39.88,175,51.32,30,8.8,08020
8,21,370,128,34.59,205,55.41,37,10.0,08021
8,22,271,120,44.28,121,44.65,30,11.07,08022
8,23,242,91,37.6,122,50.41,29,11.98,08023
8,24,176,78,44.32,85,48.3,13,7.39,08024
8,25,292,128,43.84,125,42.81,39,13.36,08025
8,26,288,128,44.44,118,40.97,42,14.58,08026
8,27,329,111,33.74,197,59.88,21,6.38,08027
8,28,305,141,46.23,135,44.26,29,9.51,08028
8,29,361,147,40.72,173,47.92,41,11.36,08029
8,30,313,139,44.41,134,42.81,40,12.78,08030
8,31,231,95,41.13,100,43.29,36,15.58,08031
8,32,234,109,46.58,93,39.74,32,13.68,08032
8,33,288,146,50.69,98,34.03,44,15.28,08033
8,34,276,122,44.2,127,46.01,27,9.78,08034
8,35,305,149,48.85,129,42.3,27,8.85,08035
8,36,308,134,43.51,148,48.05,26,8.44,08036
8,37,266,111,41.73,134,50.38,21,7.89,08037
8,38,192,82,42.71,84,43.75,26,13.54,08038
8,39,294,110,37.41,152,51.7,32,10.88,08039
8,40,238,100,42.02,114,47.9,24,10.08,08040
8,41,292,126,43.15,137,46.92,29,9.93,08041
8,42,368,165,44.84,163,44.29,40,10.87,08042
8,43,141,74,52.48,51,36.17,16,11.35,08043
8,44,209,92,44.02,98,46.89,19,9.09,08044
8,45,299,151,50.5,104,34.78,44,14.72,08045
8,46,224,86,38.39,121,54.02,17,7.59,08046
8,47,229,90,39.3,100,43.67,39,17.03,08047
8,48,294,125,42.52,127,43.2,42,14.29,08048
8,49,286,106,37.06,150,52.45,30,10.49,08049
