ward,precinct,total,Patrick Joseph Powers,Patrick Joseph Powers Percent,Fredrick H. Bates,Fredrick H. Bates Percent,precinct_id
1,1,265,143,53.96,122,46.04,01001
1,2,275,135,49.09,140,50.91,01002
1,3,237,111,46.84,126,53.16,01003
1,4,216,125,57.87,91,42.13,01004
1,5,210,111,52.86,99,47.14,01005
1,6,236,119,50.42,117,49.58,01006
1,7,195,77,39.49,118,60.51,01007
1,8,186,86,46.24,100,53.76,01008
1,9,203,107,52.71,96,47.29,01009
1,10,212,104,49.06,108,50.94,01010
1,11,225,103,45.78,122,54.22,01011
1,12,239,127,53.14,112,46.86,01012
1,13,106,60,56.6,46,43.4,01013
1,14,247,108,43.72,139,56.28,01014
1,15,241,111,46.06,130,53.94,01015
1,16,234,129,55.13,105,44.87,01016
1,17,264,128,48.48,136,51.52,01017
1,18,271,119,43.91,152,56.09,01018
1,19,335,168,50.15,167,49.85,01019
1,20,215,95,44.19,120,55.81,01020
1,21,226,114,50.44,112,49.56,01021
1,22,177,88,49.72,89,50.28,01022
1,23,373,184,49.33,189,50.67,01023
1,24,228,119,52.19,109,47.81,01024
1,25,249,135,54.22,114,45.78,01025
1,26,217,118,54.38,99,45.62,01026
1,27,246,125,50.81,121,49.19,01027
1,28,81,46,56.79,35,43.21,01028
1,29,215,97,45.12,118,54.88,01029
1,30,284,149,52.46,135,47.54,01030
1,31,267,141,52.81,126,47.19,01031
1,32,225,102,45.33,123,54.67,01032
1,33,217,120,55.3,97,44.7,01033
1,34,218,107,49.08,111,50.92,01034
1,35,245,128,52.24,117,47.76,01035
1,36,204,115,56.37,89,43.63,01036
1,37,226,128,56.64,98,43.36,01037
1,38,226,122,53.98,104,46.02,01038
1,39,199,101,50.75,98,49.25,01039
1,40,235,135,57.45,100,42.55,01040
1,41,168,79,47.02,89,52.98,01041
1,42,79,38,48.1,41,51.9,01042
1,43,200,106,53.0,94,47.0,01043
1,44,233,105,45.06,128,54.94,01044
2,1,212,111,52.36,101,47.64,02001
2,2,106,52,49.06,54,50.94,02002
2,3,222,113,50.9,109,49.1,02003
2,4,201,95,47.26,106,52.74,02004
2,5,253,122,48.22,131,51.78,02005
2,6,242,125,51.65,117,48.35,02006
2,7,184,100,54.35,84,45.65,02007
2,8,207,104,50.24,103,49.76,02008
2,9,123,71,57.72,52,42.28,02009
2,10,141,75,53.19,66,46.81,02010
2,11,135,66,48.89,69,51.11,02011
2,12,224,119,53.13,105,46.88,02012
2,13,180,85,47.22,95,52.78,02013
2,14,238,118,49.58,120,50.42,02014
2,15,207,102,49.28,105,50.72,02015
2,16,184,97,52.72,87,47.28,02016
2,17,258,133,51.55,125,48.45,02017
2,18,172,88,51.16,84,48.84,02018
2,19,128,49,38.28,79,61.72,02019
2,20,153,74,48.37,79,51.63,02020
2,21,223,100,44.84,123,55.16,02021
2,22,174,88,50.57,86,49.43,02022
2,23,109,57,52.29,52,47.71,02023
2,24,143,79,55.24,64,44.76,02024
2,25,206,105,50.97,101,49.03,02025
2,26,159,86,54.09,73,45.91,02026
2,27,148,75,50.68,73,49.32,02027
2,28,177,79,44.63,98,55.37,02028
2,29,171,79,46.2,92,53.8,02029
2,30,151,76,50.33,75,49.67,02030
2,31,221,120,54.3,101,45.7,02031
2,32,134,69,51.49,65,48.51,02032
2,33,278,136,48.92,142,51.08,02033
2,34,163,72,44.17,91,55.83,02034
2,35,156,85,54.49,71,45.51,02035
2,36,127,74,58.27,53,41.73,02036
2,37,180,91,50.56,89,49.44,02037
2,38,154,84,54.55,70,45.45,02038
2,39,115,59,51.3,56,48.7,02039
2,40,146,80,54.79,66,45.21,02040
2,41,130,74,56.92,56,43.08,02041
2,42,171,97,56.73,74,43.27,02042
2,43,192,89,46.35,103,53.65,02043
2,44,96,47,48.96,49,51.04,02044
2,45,217,117,53.92,100,46.08,02045
2,46,102,54,52.94,48,47.06,02046
3,1,408,199,48.77,209,51.23,03001
3,2,395,165,41.77,230,58.23,03002
3,3,231,113,48.92,118,51.08,03003
3,4,366,153,41.8,213,58.2,03004
3,5,231,133,57.58,98,42.42,03005
3,6,235,122,51.91,113,48.09,03006
3,7,207,96,46.38,111,53.62,03007
3,8,305,155,50.82,150,49.18,03008
3,9,347,148,42.65,199,57.35,03009
3,10,173,91,52.6,82,47.4,03010
3,11,339,163,48.08,176,51.92,03011
3,12,331,147,44.41,184,55.59,03012
3,13,304,147,48.36,157,51.64,03013
3,14,248,130,52.42,118,47.58,03014
3,15,305,152,49.84,153,50.16,03015
3,16,313,139,44.41,174,55.59,03016
3,17,281,135,48.04,146,51.96,03017
3,18,464,233,50.22,231,49.78,03018
3,19,240,124,51.67,116,48.33,03019
3,20,341,161,47.21,180,52.79,03020
3,21,249,123,49.4,126,50.6,03021
3,22,280,131,46.79,149,53.21,03022
3,23,299,146,48.83,153,51.17,03023
3,24,264,132,50.0,132,50.0,03024
3,25,292,123,42.12,169,57.88,03025
3,26,301,125,41.53,176,58.47,03026
3,27,230,120,52.17,110,47.83,03027
3,28,207,95,45.89,112,54.11,03028
3,29,331,165,49.85,166,50.15,03029
3,30,288,128,44.44,160,55.56,03030
3,31,401,177,44.14,224,55.86,03031
3,32,250,111,44.4,139,55.6,03032
3,33,263,121,46.01,142,53.99,03033
3,34,295,141,47.8,154,52.2,03034
3,35,150,76,50.67,74,49.33,03035
3,36,188,87,46.28,101,53.72,03036
3,37,263,123,46.77,140,53.23,03037
3,38,273,114,41.76,159,58.24,03038
3,39,252,135,53.57,117,46.43,03039
3,40,302,135,44.7,167,55.3,03040
3,41,238,110,46.22,128,53.78,03041
4,1,360,129,35.83,231,64.17,04001
4,2,260,111,42.69,149,57.31,04002
4,3,304,142,46.71,162,53.29,04003
4,4,455,206,45.27,249,54.73,04004
4,5,320,122,38.13,198,61.88,04005
4,6,400,171,42.75,229,57.25,04006
4,7,388,160,41.24,228,58.76,04007
4,8,388,147,37.89,241,62.11,04008
4,9,396,143,36.11,253,63.89,04009
4,10,400,159,39.75,241,60.25,04010
4,11,355,159,44.79,196,55.21,04011
4,12,399,186,46.62,213,53.38,04012
4,13,219,115,52.51,104,47.49,04013
4,14,319,146,45.77,173,54.23,04014
4,15,414,183,44.2,231,55.8,04015
4,16,318,140,44.03,178,55.97,04016
4,17,301,151,50.17,150,49.83,04017
4,18,300,149,49.67,151,50.33,04018
4,19,305,148,48.52,157,51.48,04019
4,20,240,113,47.08,127,52.92,04020
4,21,305,152,49.84,153,50.16,04021
4,22,311,117,37.62,194,62.38,04022
4,23,407,150,36.86,257,63.14,04023
4,24,303,119,39.27,184,60.73,04024
4,25,264,122,46.21,142,53.79,04025
4,26,340,136,40.0,204,60.0,04026
4,27,353,140,39.66,213,60.34,04027
4,28,309,124,40.13,185,59.87,04028
4,29,324,130,40.12,194,59.88,04029
4,30,442,207,46.83,235,53.17,04030
4,31,338,117,34.62,221,65.38,04031
4,32,355,158,44.51,197,55.49,04032
4,33,353,145,41.08,208,58.92,04033
4,34,285,134,47.02,151,52.98,04034
4,35,411,151,36.74,260,63.26,04035
4,36,363,162,44.63,201,55.37,04036
4,37,286,127,44.41,159,55.59,04037
4,38,375,128,34.13,247,65.87,04038
5,1,277,140,50.54,137,49.46,05001
5,2,302,140,46.36,162,53.64,05002
5,3,287,112,39.02,175,60.98,05003
5,4,354,155,43.79,199,56.21,05004
5,5,285,139,48.77,146,51.23,05005
5,6,270,118,43.7,152,56.3,05006
5,7,310,124,40.0,186,60.0,05007
5,8,278,102,36.69,176,63.31,05008
5,9,346,127,36.71,219,63.29,05009
5,10,263,104,39.54,159,60.46,05010
5,11,298,102,34.23,196,65.77,05011
5,12,252,132,52.38,120,47.62,05012
5,13,270,133,49.26,137,50.74,05013
5,14,285,121,42.46,164,57.54,05014
5,15,298,121,40.6,177,59.4,05015
5,16,303,157,51.82,146,48.18,05016
5,17,278,160,57.55,118,42.45,05017
5,18,279,110,39.43,169,60.57,05018
5,19,263,94,35.74,169,64.26,05019
5,20,306,114,37.25,192,62.75,05020
5,21,285,103,36.14,182,63.86,05021
5,22,317,109,34.38,208,65.62,05022
5,23,447,152,34.0,295,66.0,05023
5,24,305,126,41.31,179,58.69,05024
5,25,290,129,44.48,161,55.52,05025
5,26,303,143,47.19,160,52.81,05026
5,27,213,68,31.92,145,68.08,05027
5,28,338,130,38.46,208,61.54,05028
5,29,364,164,45.05,200,54.95,05029
5,30,238,119,50.0,119,50.0,05030
5,31,269,138,51.3,131,48.7,05031
5,32,349,125,35.82,224,64.18,05032
5,33,325,158,48.62,167,51.38,05033
5,34,278,95,34.17,183,65.83,05034
5,35,311,108,34.73,203,65.27,05035
5,36,228,113,49.56,115,50.44,05036
5,37,273,109,39.93,164,60.07,05037
5,38,332,146,43.98,186,56.02,05038
5,39,221,66,29.86,155,70.14,05039
5,40,252,102,40.48,150,59.52,05040
5,41,156,51,32.69,105,67.31,05041
6,1,320,106,33.13,214,66.88,06001
6,2,305,116,38.03,189,61.97,06002
6,3,313,101,32.27,212,67.73,06003
6,4,217,107,49.31,110,50.69,06004
6,5,198,78,39.39,120,60.61,06005
6,6,276,86,31.16,190,68.84,06006
