ward,precinct,total,John P. Daley,John P. Daley Percent,precinct_id
11,1,261,261,100.0,11001
11,2,36,36,100.0,11002
11,3,207,207,100.0,11003
11,4,258,258,100.0,11004
11,5,321,321,100.0,11005
11,6,262,262,100.0,11006
11,7,406,406,100.0,11007
11,8,267,267,100.0,11008
11,9,245,245,100.0,11009
11,10,246,246,100.0,11010
11,11,241,241,100.0,11011
11,12,405,405,100.0,11012
11,13,351,351,100.0,11013
11,14,129,129,100.0,11014
11,15,105,105,100.0,11015
11,16,188,188,100.0,11016
11,17,305,305,100.0,11017
11,18,250,250,100.0,11018
11,19,351,351,100.0,11019
11,20,202,202,100.0,11020
11,21,434,434,100.0,11021
11,22,360,360,100.0,11022
11,23,176,176,100.0,11023
11,24,423,423,100.0,11024
11,25,324,324,100.0,11025
11,26,342,342,100.0,11026
11,27,100,100,100.0,11027
11,28,144,144,100.0,11028
11,29,321,321,100.0,11029
11,30,128,128,100.0,11030
11,31,261,261,100.0,11031
11,32,141,141,100.0,11032
11,33,217,217,100.0,11033
11,34,83,83,100.0,11034
11,35,74,74,100.0,11035
11,36,110,110,100.0,11036
11,37,67,67,100.0,11037
11,38,129,129,100.0,11038
