ward,precinct,total,Elizabeth ''Lisa'' Hernandez,Elizabeth ''Lisa'' Hernandez Percent,precinct_id
12,16,0,0,0.0,12016
22,3,381,381,100.0,22003
22,4,127,127,100.0,22004
22,5,254,254,100.0,22005
22,6,259,259,100.0,22006
22,7,158,158,100.0,22007
22,9,231,231,100.0,22009
22,10,10,10,100.0,22010
22,11,204,204,100.0,22011
22,13,77,77,100.0,22013
22,15,8,8,100.0,22015
22,16,18,18,100.0,22016
22,17,246,246,100.0,22017
22,18,107,107,100.0,22018
22,20,296,296,100.0,22020
22,24,342,342,100.0,22024
22,25,279,279,100.0,22025
