ward,precinct,total,Monique D. Davis,Monique D. Davis Percent,precinct_id
9,2,44,44,100.0,09002
9,10,280,280,100.0,09010
9,17,14,14,100.0,09017
9,20,345,345,100.0,09020
9,21,260,260,100.0,09021
9,27,293,293,100.0,09027
9,30,274,274,100.0,09030
19,14,300,300,100.0,19014
19,20,282,282,100.0,19020
19,31,199,199,100.0,19031
19,40,278,278,100.0,19040
19,42,223,223,100.0,19042
19,43,456,456,100.0,19043
19,47,468,468,100.0,19047
19,48,394,394,100.0,19048
19,49,410,410,100.0,19049
21,2,141,141,100.0,21002
21,5,356,356,100.0,21005
21,6,270,270,100.0,21006
21,10,292,292,100.0,21010
21,11,317,317,100.0,21011
21,12,306,306,100.0,21012
21,17,261,261,100.0,21017
21,19,345,345,100.0,21019
21,20,86,86,100.0,21020
21,21,296,296,100.0,21021
21,22,199,199,100.0,21022
21,23,290,290,100.0,21023
21,24,306,306,100.0,21024
21,25,292,292,100.0,21025
21,27,329,329,100.0,21027
21,33,318,318,100.0,21033
21,34,135,135,100.0,21034
21,35,343,343,100.0,21035
21,36,259,259,100.0,21036
21,37,256,256,100.0,21037
21,38,329,329,100.0,21038
21,39,262,262,100.0,21039
21,40,274,274,100.0,21040
21,41,322,322,100.0,21041
21,42,186,186,100.0,21042
21,43,3,3,100.0,21043
21,44,205,205,100.0,21044
21,45,296,296,100.0,21045
21,46,338,338,100.0,21046
21,48,196,196,100.0,21048
21,49,342,342,100.0,21049
21,50,284,284,100.0,21050
21,52,35,35,100.0,21052
34,1,364,364,100.0,34001
34,2,121,121,100.0,34002
34,5,277,277,100.0,34005
34,7,336,336,100.0,34007
34,8,290,290,100.0,34008
34,10,325,325,100.0,34010
34,12,345,345,100.0,34012
34,13,314,314,100.0,34013
34,15,245,245,100.0,34015
34,17,387,387,100.0,34017
34,19,362,362,100.0,34019
34,20,220,220,100.0,34020
34,21,400,400,100.0,34021
34,25,372,372,100.0,34025
34,29,261,261,100.0,34029
34,31,62,62,100.0,34031
34,32,316,316,100.0,34032
34,34,367,367,100.0,34034
34,35,346,346,100.0,34035
34,40,346,346,100.0,34040
34,43,300,300,100.0,34043
34,44,343,343,100.0,34044
34,45,350,350,100.0,34045
34,46,223,223,100.0,34046
34,47,309,309,100.0,34047
34,48,335,335,100.0,34048
34,49,395,395,100.0,34049
34,51,52,52,100.0,34051
34,52,270,270,100.0,34052
