ward,precinct,total,Daniel ''Danny'' Solis,Daniel ''Danny'' Solis Percent,precinct_id
25,1,260,260,100.0,25001
25,2,280,280,100.0,25002
25,3,232,232,100.0,25003
25,4,248,248,100.0,25004
25,5,286,286,100.0,25005
25,6,66,66,100.0,25006
25,7,252,252,100.0,25007
25,8,302,302,100.0,25008
25,9,304,304,100.0,25009
25,10,221,221,100.0,25010
25,11,299,299,100.0,25011
25,12,242,242,100.0,25012
25,13,280,280,100.0,25013
25,14,153,153,100.0,25014
25,15,272,272,100.0,25015
25,16,184,184,100.0,25016
25,17,263,263,100.0,25017
25,18,146,146,100.0,25018
25,19,265,265,100.0,25019
25,20,220,220,100.0,25020
25,21,297,297,100.0,25021
25,22,268,268,100.0,25022
25,23,327,327,100.0,25023
25,24,272,272,100.0,25024
25,25,223,223,100.0,25025
25,26,300,300,100.0,25026
25,27,204,204,100.0,25027
25,28,309,309,100.0,25028
25,29,220,220,100.0,25029
25,30,276,276,100.0,25030
25,31,209,209,100.0,25031
25,32,242,242,100.0,25032
