ward,precinct,total,Arthur Turner,Arthur Turner Percent,precinct_id
2,9,146,146,100.0,02009
2,12,230,230,100.0,02012
2,20,5,5,100.0,02020
2,41,14,14,100.0,02041
2,46,117,117,100.0,02046
11,2,37,37,100.0,11002
11,6,296,296,100.0,11006
11,7,471,471,100.0,11007
11,33,235,235,100.0,11033
12,10,50,50,100.0,12010
22,19,146,146,100.0,22019
22,21,360,360,100.0,22021
24,1,272,272,100.0,24001
24,2,276,276,100.0,24002
24,3,258,258,100.0,24003
24,4,245,245,100.0,24004
24,5,158,158,100.0,24005
24,6,295,295,100.0,24006
24,7,143,143,100.0,24007
24,8,134,134,100.0,24008
24,9,283,283,100.0,24009
24,10,162,162,100.0,24010
24,11,281,281,100.0,24011
24,12,176,176,100.0,24012
24,13,137,137,100.0,24013
24,14,228,228,100.0,24014
24,15,171,171,100.0,24015
24,16,35,35,100.0,24016
24,17,154,154,100.0,24017
24,18,290,290,100.0,24018
24,20,43,43,100.0,24020
24,21,147,147,100.0,24021
24,22,349,349,100.0,24022
24,23,233,233,100.0,24023
24,24,336,336,100.0,24024
24,25,234,234,100.0,24025
24,26,350,350,100.0,24026
24,27,281,281,100.0,24027
24,28,197,197,100.0,24028
24,29,212,212,100.0,24029
24,30,132,132,100.0,24030
24,31,337,337,100.0,24031
24,33,158,158,100.0,24033
24,34,231,231,100.0,24034
24,35,259,259,100.0,24035
24,36,356,356,100.0,24036
24,37,161,161,100.0,24037
24,38,205,205,100.0,24038
24,39,287,287,100.0,24039
24,40,245,245,100.0,24040
25,3,257,257,100.0,25003
25,4,251,251,100.0,25004
25,10,247,247,100.0,25010
25,16,209,209,100.0,25016
25,20,201,201,100.0,25020
25,25,228,228,100.0,25025
25,27,124,124,100.0,25027
25,29,205,205,100.0,25029
25,31,235,235,100.0,25031
27,2,240,240,100.0,27002
27,6,174,174,100.0,27006
27,9,80,80,100.0,27009
27,10,131,131,100.0,27010
27,11,55,55,100.0,27011
27,14,35,35,100.0,27014
27,16,103,103,100.0,27016
27,18,210,210,100.0,27018
27,20,231,231,100.0,27020
27,21,152,152,100.0,27021
27,25,57,57,100.0,27025
27,28,116,116,100.0,27028
27,33,65,65,100.0,27033
27,37,207,207,100.0,27037
27,38,153,153,100.0,27038
27,41,243,243,100.0,27041
27,42,126,126,100.0,27042
27,45,264,264,100.0,27045
27,47,172,172,100.0,27047
27,48,243,243,100.0,27048
28,4,158,158,100.0,28004
28,5,154,154,100.0,28005
28,6,119,119,100.0,28006
28,8,126,126,100.0,28008
28,10,258,258,100.0,28010
28,11,400,400,100.0,28011
28,18,196,196,100.0,28018
28,19,183,183,100.0,28019
28,27,215,215,100.0,28027
28,28,238,238,100.0,28028
28,29,107,107,100.0,28029
28,32,0,0,0.0,28032
28,34,457,457,100.0,28034
28,35,284,284,100.0,28035
28,45,157,157,100.0,28045
28,46,353,353,100.0,28046
42,3,253,253,100.0,42003
42,9,1,1,100.0,42009
42,12,64,64,100.0,42012
42,16,223,223,100.0,42016
42,18,0,0,0.0,42018
42,21,54,54,100.0,42021
42,36,74,74,100.0,42036
42,41,67,67,100.0,42041
43,1,127,127,100.0,43001
43,3,209,209,100.0,43003
43,5,87,87,100.0,43005
43,45,137,137,100.0,43045
