ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",precinct_id
6,1,340,340,100.0,06001
6,2,313,313,100.0,06002
6,3,316,316,100.0,06003
6,8,324,324,100.0,06008
6,13,236,236,100.0,06013
6,14,271,271,100.0,06014
6,16,319,319,100.0,06016
6,19,45,45,100.0,06019
6,29,325,325,100.0,06029
6,31,314,314,100.0,06031
6,34,311,311,100.0,06034
6,35,275,275,100.0,06035
6,36,344,344,100.0,06036
6,37,327,327,100.0,06037
6,38,332,332,100.0,06038
6,39,274,274,100.0,06039
6,41,328,328,100.0,06041
6,42,310,310,100.0,06042
6,43,242,242,100.0,06043
6,44,289,289,100.0,06044
6,45,328,328,100.0,06045
6,46,204,204,100.0,06046
8,15,36,36,100.0,08015
8,22,260,260,100.0,08022
8,26,140,140,100.0,08026
8,31,243,243,100.0,08031
8,32,228,228,100.0,08032
8,34,271,271,100.0,08034
8,39,306,306,100.0,08039
8,43,112,112,100.0,08043
8,45,106,106,100.0,08045
8,47,249,249,100.0,08047
8,54,31,31,100.0,08054
9,1,36,36,100.0,09001
9,7,12,12,100.0,09007
9,8,297,297,100.0,09008
9,9,246,246,100.0,09009
9,12,305,305,100.0,09012
9,13,230,230,100.0,09013
9,23,305,305,100.0,09023
9,24,305,305,100.0,09024
9,25,275,275,100.0,09025
9,28,65,65,100.0,09028
9,31,28,28,100.0,09031
9,36,276,276,100.0,09036
9,37,312,312,100.0,09037
9,38,195,195,100.0,09038
9,42,322,322,100.0,09042
9,43,93,93,100.0,09043
9,46,281,281,100.0,09046
9,47,316,316,100.0,09047
9,48,333,333,100.0,09048
9,49,324,324,100.0,09049
9,50,387,387,100.0,09050
9,51,307,307,100.0,09051
10,13,12,12,100.0,10013
10,16,0,0,0.0,10016
17,21,287,287,100.0,17021
21,31,210,210,100.0,21031
21,53,96,96,100.0,21053
