ward,precinct,total,Frances Ann Hurley,Frances Ann Hurley Percent,precinct_id
19,1,246,246,100.0,19001
19,2,376,376,100.0,19002
19,4,251,251,100.0,19004
19,6,234,234,100.0,19006
19,7,244,244,100.0,19007
19,8,241,241,100.0,19008
19,10,331,331,100.0,19010
19,11,216,216,100.0,19011
19,13,360,360,100.0,19013
19,15,254,254,100.0,19015
19,16,208,208,100.0,19016
19,17,221,221,100.0,19017
19,18,211,211,100.0,19018
19,19,339,339,100.0,19019
19,21,184,184,100.0,19021
19,22,254,254,100.0,19022
19,23,256,256,100.0,19023
19,24,10,10,100.0,19024
19,25,253,253,100.0,19025
19,26,237,237,100.0,19026
19,27,305,305,100.0,19027
19,28,347,347,100.0,19028
19,29,199,199,100.0,19029
19,30,191,191,100.0,19030
19,32,221,221,100.0,19032
19,33,175,175,100.0,19033
19,34,250,250,100.0,19034
19,35,247,247,100.0,19035
19,36,354,354,100.0,19036
19,37,311,311,100.0,19037
19,38,262,262,100.0,19038
19,39,120,120,100.0,19039
19,41,209,209,100.0,19041
19,44,266,266,100.0,19044
19,45,252,252,100.0,19045
19,46,252,252,100.0,19046
19,50,210,210,100.0,19050
19,51,328,328,100.0,19051
19,52,243,243,100.0,19052
19,53,223,223,100.0,19053
19,54,157,157,100.0,19054
19,56,72,72,100.0,19056
19,57,230,230,100.0,19057
21,1,271,271,100.0,21001
21,3,272,272,100.0,21003
21,8,253,253,100.0,21008
21,14,313,313,100.0,21014
21,16,239,239,100.0,21016
21,18,307,307,100.0,21018
21,22,78,78,100.0,21022
21,29,61,61,100.0,21029
21,32,243,243,100.0,21032
21,36,51,51,100.0,21036
21,42,115,115,100.0,21042
21,48,70,70,100.0,21048
34,49,5,5,100.0,34049
