ward,precinct,total,Michael I. O'Malley,Michael I. O'Malley Percent,Alison C. Conlon,Alison C. Conlon Percent,precinct_id
1,1,288,100,34.72,188,65.28,01001
1,2,282,113,40.07,169,59.93,01002
1,3,251,81,32.27,170,67.73,01003
1,4,240,86,35.83,154,64.17,01004
1,5,226,65,28.76,161,71.24,01005
1,6,254,95,37.4,159,62.6,01006
1,7,213,77,36.15,136,63.85,01007
1,8,208,80,38.46,128,61.54,01008
1,9,216,92,42.59,124,57.41,01009
1,10,228,66,28.95,162,71.05,01010
1,11,244,58,23.77,186,76.23,01011
1,12,260,87,33.46,173,66.54,01012
1,13,125,58,46.4,67,53.6,01013
1,14,261,74,28.35,187,71.65,01014
1,15,258,75,29.07,183,70.93,01015
1,16,248,82,33.06,166,66.94,01016
1,17,270,82,30.37,188,69.63,01017
1,18,290,91,31.38,199,68.62,01018
1,19,353,115,32.58,238,67.42,01019
1,20,236,76,32.2,160,67.8,01020
1,21,235,82,34.89,153,65.11,01021
1,22,182,64,35.16,118,64.84,01022
1,23,404,106,26.24,298,73.76,01023
1,24,248,99,39.92,149,60.08,01024
1,25,265,94,35.47,171,64.53,01025
1,26,223,83,37.22,140,62.78,01026
1,27,263,87,33.08,176,66.92,01027
1,28,85,52,61.18,33,38.82,01028
1,29,241,64,26.56,177,73.44,01029
1,30,304,119,39.14,185,60.86,01030
1,31,270,108,40.0,162,60.0,01031
1,32,236,71,30.08,165,69.92,01032
1,33,253,86,33.99,167,66.01,01033
1,34,246,76,30.89,170,69.11,01034
1,35,281,102,36.3,179,63.7,01035
1,36,221,60,27.15,161,72.85,01036
1,37,248,80,32.26,168,67.74,01037
1,38,234,87,37.18,147,62.82,01038
1,39,213,80,37.56,133,62.44,01039
1,40,249,118,47.39,131,52.61,01040
1,41,184,48,26.09,136,73.91,01041
1,42,83,35,42.17,48,57.83,01042
1,43,202,69,34.16,133,65.84,01043
1,44,245,68,27.76,177,72.24,01044
2,1,235,71,30.21,164,69.79,02001
2,2,126,43,34.13,83,65.87,02002
2,3,252,75,29.76,177,70.24,02003
2,4,220,63,28.64,157,71.36,02004
2,5,277,78,28.16,199,71.84,02005
2,6,266,90,33.83,176,66.17,02006
2,7,208,84,40.38,124,59.62,02007
2,8,225,65,28.89,160,71.11,02008
2,9,126,50,39.68,76,60.32,02009
2,10,152,40,26.32,112,73.68,02010
2,11,158,49,31.01,109,68.99,02011
2,12,241,90,37.34,151,62.66,02012
2,13,197,62,31.47,135,68.53,02013
2,14,268,88,32.84,180,67.16,02014
2,15,228,54,23.68,174,76.32,02015
2,16,200,67,33.5,133,66.5,02016
2,17,284,81,28.52,203,71.48,02017
2,18,182,58,31.87,124,68.13,02018
2,19,128,33,25.78,95,74.22,02019
2,20,170,45,26.47,125,73.53,02020
2,21,265,62,23.4,203,76.6,02021
2,22,189,60,31.75,129,68.25,02022
2,23,116,42,36.21,74,63.79,02023
2,24,156,39,25.0,117,75.0,02024
2,25,223,59,26.46,164,73.54,02025
2,26,180,65,36.11,115,63.89,02026
2,27,156,51,32.69,105,67.31,02027
2,28,189,57,30.16,132,69.84,02028
2,29,184,58,31.52,126,68.48,02029
2,30,163,46,28.22,117,71.78,02030
2,31,230,82,35.65,148,64.35,02031
2,32,141,49,34.75,92,65.25,02032
2,33,287,73,25.44,214,74.56,02033
2,34,167,50,29.94,117,70.06,02034
2,35,186,45,24.19,141,75.81,02035
2,36,141,46,32.62,95,67.38,02036
2,37,194,55,28.35,139,71.65,02037
2,38,158,43,27.22,115,72.78,02038
2,39,118,42,35.59,76,64.41,02039
2,40,160,54,33.75,106,66.25,02040
2,41,141,44,31.21,97,68.79,02041
2,42,182,63,34.62,119,65.38,02042
2,43,202,57,28.22,145,71.78,02043
2,44,105,32,30.48,73,69.52,02044
2,45,221,85,38.46,136,61.54,02045
2,46,107,38,35.51,69,64.49,02046
3,1,421,213,50.59,208,49.41,03001
3,2,406,198,48.77,208,51.23,03002
3,3,241,105,43.57,136,56.43,03003
3,4,362,148,40.88,214,59.12,03004
3,5,248,128,51.61,120,48.39,03005
3,6,248,82,33.06,166,66.94,03006
3,7,201,99,49.25,102,50.75,03007
3,8,307,159,51.79,148,48.21,03008
3,9,351,156,44.44,195,55.56,03009
3,10,180,95,52.78,85,47.22,03010
3,11,344,152,44.19,192,55.81,03011
3,12,343,124,36.15,219,63.85,03012
3,13,307,86,28.01,221,71.99,03013
3,14,261,92,35.25,169,64.75,03014
3,15,324,166,51.23,158,48.77,03015
3,16,325,146,44.92,179,55.08,03016
3,17,291,98,33.68,193,66.32,03017
3,18,482,211,43.78,271,56.22,03018
3,19,260,71,27.31,189,72.69,03019
3,20,352,191,54.26,161,45.74,03020
3,21,260,96,36.92,164,63.08,03021
3,22,302,100,33.11,202,66.89,03022
3,23,309,157,50.81,152,49.19,03023
3,24,285,141,49.47,144,50.53,03024
3,25,314,83,26.43,231,73.57,03025
3,26,324,84,25.93,240,74.07,03026
3,27,248,78,31.45,170,68.55,03027
3,28,215,101,46.98,114,53.02,03028
