ward,precinct,total,Robert Murphy,Robert Murphy Percent,Patrick Molloy,Patrick Molloy Percent,precinct_id
39,1,262,147,56.11,115,43.89,39001
39,2,232,63,27.16,169,72.84,39002
39,3,297,145,48.82,152,51.18,39003
39,4,233,121,51.93,112,48.07,39004
39,5,291,179,61.51,112,38.49,39005
39,6,273,141,51.65,132,48.35,39006
39,7,254,179,70.47,75,29.53,39007
39,8,361,119,32.96,242,67.04,39008
39,9,269,151,56.13,118,43.87,39009
39,10,149,107,71.81,42,28.19,39010
39,11,286,149,52.1,137,47.9,39011
39,12,339,218,64.31,121,35.69,39012
39,13,210,153,72.86,57,27.14,39013
39,14,219,123,56.16,96,43.84,39014
39,15,304,112,36.84,192,63.16,39015
39,16,200,88,44.0,112,56.0,39016
39,17,305,195,63.93,110,36.07,39017
39,18,278,176,63.31,102,36.69,39018
39,19,248,141,56.85,107,43.15,39019
39,20,260,130,50.0,130,50.0,39020
39,21,206,116,56.31,90,43.69,39021
39,22,224,128,57.14,96,42.86,39022
39,23,257,134,52.14,123,47.86,39023
39,24,303,145,47.85,158,52.15,39024
39,25,226,102,45.13,124,54.87,39025
39,26,225,119,52.89,106,47.11,39026
39,27,57,46,80.7,11,19.3,39027
39,28,351,223,63.53,128,36.47,39028
39,29,131,70,53.44,61,46.56,39029
39,30,326,233,71.47,93,28.53,39030
39,31,277,129,46.57,148,53.43,39031
39,32,197,92,46.7,105,53.3,39032
39,33,270,154,57.04,116,42.96,39033
39,34,253,121,47.83,132,52.17,39034
39,35,271,204,75.28,67,24.72,39035
39,36,83,41,49.4,42,50.6,39036
39,37,282,164,58.16,118,41.84,39037
39,38,147,70,47.62,77,52.38,39038
39,39,169,103,60.95,66,39.05,39039
39,40,217,79,36.41,138,63.59,39040
39,41,302,204,67.55,98,32.45,39041
39,42,317,136,42.9,181,57.1,39042
39,43,254,152,59.84,102,40.16,39043
39,44,225,134,59.56,91,40.44,39044
39,45,269,139,51.67,130,48.33,39045
