ward,precinct,total,Sara Feigenholtz,Sara Feigenholtz Percent,precinct_id
2,28,231,231,100.0,02028
2,30,194,194,100.0,02030
2,31,270,270,100.0,02031
2,33,326,326,100.0,02033
2,35,208,208,100.0,02035
2,37,230,230,100.0,02037
2,38,69,69,100.0,02038
2,44,141,141,100.0,02044
27,9,0,0,0.0,27009
27,12,134,134,100.0,27012
27,46,120,120,100.0,27046
43,4,226,226,100.0,43004
43,8,186,186,100.0,43008
43,12,145,145,100.0,43012
43,13,254,254,100.0,43013
43,14,228,228,100.0,43014
43,15,225,225,100.0,43015
43,19,267,267,100.0,43019
43,25,227,227,100.0,43025
43,26,167,167,100.0,43026
43,27,216,216,100.0,43027
43,28,285,285,100.0,43028
43,32,264,264,100.0,43032
43,33,232,232,100.0,43033
43,34,198,198,100.0,43034
43,36,131,131,100.0,43036
43,38,149,149,100.0,43038
43,42,184,184,100.0,43042
43,43,220,220,100.0,43043
44,1,490,490,100.0,44001
44,3,212,212,100.0,44003
44,4,267,267,100.0,44004
44,5,321,321,100.0,44005
44,6,359,359,100.0,44006
44,7,212,212,100.0,44007
44,8,332,332,100.0,44008
44,10,257,257,100.0,44010
44,11,77,77,100.0,44011
44,12,308,308,100.0,44012
44,13,182,182,100.0,44013
44,14,223,223,100.0,44014
44,15,291,291,100.0,44015
44,17,396,396,100.0,44017
44,18,249,249,100.0,44018
44,19,379,379,100.0,44019
44,20,276,276,100.0,44020
44,21,335,335,100.0,44021
44,22,350,350,100.0,44022
44,23,257,257,100.0,44023
44,24,214,214,100.0,44024
44,25,6,6,100.0,44025
44,26,337,337,100.0,44026
44,27,296,296,100.0,44027
44,28,337,337,100.0,44028
44,29,276,276,100.0,44029
44,31,275,275,100.0,44031
44,32,300,300,100.0,44032
44,33,338,338,100.0,44033
44,34,297,297,100.0,44034
44,35,331,331,100.0,44035
44,36,304,304,100.0,44036
44,37,345,345,100.0,44037
44,38,232,232,100.0,44038
44,39,249,249,100.0,44039
44,40,254,254,100.0,44040
44,41,342,342,100.0,44041
46,3,380,380,100.0,46003
46,5,310,310,100.0,46005
46,7,347,347,100.0,46007
46,9,337,337,100.0,46009
46,10,423,423,100.0,46010
46,11,257,257,100.0,46011
46,13,304,304,100.0,46013
46,15,273,273,100.0,46015
46,17,323,323,100.0,46017
46,18,309,309,100.0,46018
46,19,206,206,100.0,46019
46,24,343,343,100.0,46024
46,26,155,155,100.0,46026
46,27,337,337,100.0,46027
46,28,329,329,100.0,46028
46,29,53,53,100.0,46029
46,30,328,328,100.0,46030
46,31,315,315,100.0,46031
46,33,357,357,100.0,46033
46,34,315,315,100.0,46034
46,35,347,347,100.0,46035
46,36,278,278,100.0,46036
46,38,254,254,100.0,46038
46,39,315,315,100.0,46039
