ward,precinct,total,Cynthia Soto,Cynthia Soto Percent,Robert Zwolinski (Bob Z),Robert Zwolinski (Bob Z) Percent,precinct_id
1,1,366,296,80.87,70,19.13,01001
1,3,337,234,69.44,103,30.56,01003
1,4,309,207,66.99,102,33.01,01004
1,5,286,216,75.52,70,24.48,01005
1,6,334,256,76.65,78,23.35,01006
1,8,61,52,85.25,9,14.75,01008
1,10,295,219,74.24,76,25.76,01010
1,11,264,194,73.48,70,26.52,01011
1,14,330,249,75.45,81,24.55,01014
1,15,315,237,75.24,78,24.76,01015
1,17,305,256,83.93,49,16.07,01017
1,18,367,280,76.29,87,23.71,01018
1,20,272,225,82.72,47,17.28,01020
1,21,287,224,78.05,63,21.95,01021
1,22,243,206,84.77,37,15.23,01022
1,24,331,263,79.46,68,20.54,01024
1,25,339,273,80.53,66,19.47,01025
1,26,233,200,85.84,33,14.16,01026
1,27,316,266,84.18,50,15.82,01027
1,29,292,226,77.4,66,22.6,01029
1,30,376,300,79.79,76,20.21,01030
1,31,345,275,79.71,70,20.29,01031
1,32,231,166,71.86,65,28.14,01032
1,33,324,223,68.83,101,31.17,01033
1,35,389,243,62.47,146,37.53,01035
1,36,292,190,65.07,102,34.93,01036
1,37,250,178,71.2,72,28.8,01037
1,38,316,240,75.95,76,24.05,01038
1,39,282,218,77.3,64,22.7,01039
1,40,322,197,61.18,125,38.82,01040
1,44,290,218,75.17,72,24.83,01044
2,1,85,58,68.24,27,31.76,02001
2,3,326,219,67.18,107,32.82,02003
2,4,286,183,63.99,103,36.01,02004
2,5,334,248,74.25,86,25.75,02005
2,14,354,246,69.49,108,30.51,02014
2,15,33,24,72.73,9,27.27,02015
2,16,265,181,68.3,84,31.7,02016
2,17,183,126,68.85,57,31.15,02017
2,21,310,207,66.77,103,33.23,02021
26,1,263,204,77.57,59,22.43,26001
26,2,238,201,84.45,37,15.55,26002
26,3,263,204,77.57,59,22.43,26003
26,4,145,127,87.59,18,12.41,26004
26,5,261,226,86.59,35,13.41,26005
26,6,254,223,87.8,31,12.2,26006
26,8,148,131,88.51,17,11.49,26008
26,9,246,212,86.18,34,13.82,26009
26,10,271,221,81.55,50,18.45,26010
26,11,259,219,84.56,40,15.44,26011
26,12,273,241,88.28,32,11.72,26012
26,13,191,168,87.96,23,12.04,26013
26,14,218,191,87.61,27,12.39,26014
26,15,149,142,95.3,7,4.7,26015
26,16,165,146,88.48,19,11.52,26016
26,18,239,203,84.94,36,15.06,26018
26,19,95,84,88.42,11,11.58,26019
26,20,245,201,82.04,44,17.96,26020
26,21,337,267,79.23,70,20.77,26021
26,22,167,156,93.41,11,6.59,26022
26,23,179,160,89.39,19,10.61,26023
26,24,218,187,85.78,31,14.22,26024
26,25,228,190,83.33,38,16.67,26025
26,26,180,146,81.11,34,18.89,26026
26,27,288,235,81.6,53,18.4,26027
26,28,30,24,80.0,6,20.0,26028
26,29,159,138,86.79,21,13.21,26029
26,30,207,187,90.34,20,9.66,26030
26,31,135,119,88.15,16,11.85,26031
26,32,264,214,81.06,50,18.94,26032
26,33,268,219,81.72,49,18.28,26033
26,34,20,16,80.0,4,20.0,26034
26,35,234,202,86.32,32,13.68,26035
26,36,242,182,75.21,60,24.79,26036
26,38,142,132,92.96,10,7.04,26038
26,39,245,183,74.69,62,25.31,26039
26,40,162,139,85.8,23,14.2,26040
26,41,282,252,89.36,30,10.64,26041
26,42,200,180,90.0,20,10.0,26042
26,43,159,138,86.79,21,13.21,26043
26,44,170,159,93.53,11,6.47,26044
26,45,122,107,87.7,15,12.3,26045
26,47,169,149,88.17,20,11.83,26047
26,48,242,184,76.03,58,23.97,26048
26,49,165,143,86.67,22,13.33,26049
27,5,12,9,75.0,3,25.0,27005
27,7,377,289,76.66,88,23.34,27007
27,13,157,123,78.34,34,21.66,27013
27,24,37,35,94.59,2,5.41,27024
27,27,26,21,80.77,5,19.23,27027
27,40,136,117,86.03,19,13.97,27040
27,43,4,4,100.0,0,0.0,27043
31,4,100,87,87.0,13,13.0,31004
31,16,134,114,85.07,20,14.93,31016
35,3,235,197,83.83,38,16.17,35003
35,12,242,210,86.78,32,13.22,35012
35,13,244,221,90.57,23,9.43,35013
35,16,245,220,89.8,25,10.2,35016
35,19,73,64,87.67,9,12.33,35019
35,21,236,197,83.47,39,16.53,35021
36,12,38,37,97.37,1,2.63,36012
37,12,80,74,92.5,6,7.5,37012
37,22,43,36,83.72,7,16.28,37022
