ward,precinct,total,Joseph Berrios,Joseph Berrios Percent,precinct_id
31,1,146,146,100.0,31001
31,2,153,153,100.0,31002
31,3,165,165,100.0,31003
31,4,219,219,100.0,31004
31,5,185,185,100.0,31005
31,6,150,150,100.0,31006
31,7,245,245,100.0,31007
31,8,122,122,100.0,31008
31,9,195,195,100.0,31009
31,10,155,155,100.0,31010
31,11,133,133,100.0,31011
31,12,144,144,100.0,31012
31,13,185,185,100.0,31013
31,14,149,149,100.0,31014
31,15,126,126,100.0,31015
31,16,194,194,100.0,31016
31,17,143,143,100.0,31017
31,18,143,143,100.0,31018
31,19,147,147,100.0,31019
31,20,148,148,100.0,31020
31,21,176,176,100.0,31021
31,22,153,153,100.0,31022
31,23,138,138,100.0,31023
31,24,193,193,100.0,31024
31,25,151,151,100.0,31025
31,26,181,181,100.0,31026
31,27,157,157,100.0,31027
31,28,163,163,100.0,31028
31,29,188,188,100.0,31029
31,30,135,135,100.0,31030
31,31,158,158,100.0,31031
31,32,146,146,100.0,31032
31,33,145,145,100.0,31033
31,34,130,130,100.0,31034
31,35,172,172,100.0,31035
31,36,177,177,100.0,31036
31,37,157,157,100.0,31037
31,38,184,184,100.0,31038
31,39,178,178,100.0,31039
31,40,164,164,100.0,31040
31,41,177,177,100.0,31041
