ward,precinct,total,Timothy ''Tim'' Bradford (Clinton),Timothy ''Tim'' Bradford (Clinton) Percent,Lisa Dugan (Clinton),Lisa Dugan (Clinton) Percent,Jaylin Davon McClinton (Clinton),Jaylin Davon McClinton (Clinton) Percent,Leslie Hairston (Clinton),Leslie Hairston (Clinton) Percent,Al Riley (Clinton),Al Riley (Clinton) Percent,Toi W. Hutchinson (Clinton),Toi W. Hutchinson (Clinton) Percent,Frank M. Zuccarelli (Clinton),Frank M. Zuccarelli (Clinton) Percent,Donna Miller (Clinton),Donna Miller (Clinton) Percent,Michael Holmes (O'Malley),Michael Holmes (O'Malley) Percent,James Patton (O'Malley),James Patton (O'Malley) Percent,Gregory Washington (O'Malley),Gregory Washington (O'Malley) Percent,Kenneth Franklin (Sanders),Kenneth Franklin (Sanders) Percent,Linda Jennings (Sanders),Linda Jennings (Sanders) Percent,Tanya Watkins (Sanders),Tanya Watkins (Sanders) Percent,John A. Willard (Sanders),John A. Willard (Sanders) Percent,Carl Camacho (Sanders),Carl Camacho (Sanders) Percent,Laura M. Ortega (Sanders),Laura M. Ortega (Sanders) Percent,Susan Sadlowski Garza (Sanders),Susan Sadlowski Garza (Sanders) Percent,precinct_id
5,1,2092,155,7.41,170,8.13,129,6.17,192,9.18,140,6.69,153,7.31,119,5.69,162,7.74,18,0.86,17,0.81,18,0.86,117,5.59,114,5.45,133,6.36,103,4.92,84,4.02,99,4.73,78,3.73,05001
5,6,2078,161,7.75,161,7.75,143,6.88,183,8.81,141,6.79,142,6.83,126,6.06,161,7.75,21,1.01,18,0.87,15,0.72,113,5.44,119,5.73,123,5.92,96,4.62,92,4.43,90,4.33,84,4.04,05006
5,10,880,67,7.61,72,8.18,50,5.68,84,9.55,56,6.36,61,6.93,46,5.23,69,7.84,11,1.25,4,0.45,11,1.25,47,5.34,47,5.34,62,7.05,39,4.43,39,4.43,40,4.55,33,3.75,05010
5,11,1816,114,6.28,120,6.61,111,6.11,142,7.82,114,6.28,115,6.33,109,6.0,122,6.72,2,0.11,2,0.11,4,0.22,112,6.17,114,6.28,119,6.55,102,5.62,101,5.56,110,6.06,98,5.4,05011
5,14,2355,161,6.84,182,7.73,156,6.62,202,8.58,149,6.33,172,7.3,137,5.82,170,7.22,14,0.59,11,0.47,9,0.38,133,5.65,144,6.11,141,5.99,121,5.14,114,4.84,119,5.05,99,4.2,05014
5,18,953,53,5.56,56,5.88,51,5.35,60,6.3,53,5.56,56,5.88,51,5.35,60,6.3,3,0.31,3,0.31,0,0.0,61,6.4,66,6.93,71,7.45,60,6.3,60,6.3,65,6.82,61,6.4,05018
5,23,4666,280,6.0,281,6.02,273,5.85,329,7.05,270,5.79,289,6.19,263,5.64,294,6.3,15,0.32,8,0.17,12,0.26,304,6.52,301,6.45,318,6.82,289,6.19,282,6.04,298,6.39,260,5.57,05023
5,25,1887,161,8.53,157,8.32,149,7.9,186,9.86,149,7.9,166,8.8,139,7.37,168,8.9,21,1.11,12,0.64,4,0.21,76,4.03,79,4.19,85,4.5,70,3.71,67,3.55,68,3.6,60,3.18,05025
5,26,2282,182,7.98,174,7.62,145,6.35,207,9.07,159,6.97,176,7.71,149,6.53,190,8.33,18,0.79,15,0.66,23,1.01,108,4.73,125,5.48,139,6.09,93,4.08,87,3.81,103,4.51,87,3.81,05026
5,28,2926,224,7.66,227,7.76,218,7.45,280,9.57,212,7.25,232,7.93,191,6.53,233,7.96,17,0.58,15,0.51,13,0.44,142,4.85,152,5.19,158,5.4,127,4.34,118,4.03,124,4.24,108,3.69,05028
5,29,2812,206,7.33,220,7.82,194,6.9,242,8.61,189,6.72,212,7.54,171,6.08,212,7.54,16,0.57,16,0.57,13,0.46,149,5.3,154,5.48,164,5.83,130,4.62,126,4.48,140,4.98,117,4.16,05029
5,31,1975,153,7.75,155,7.85,139,7.04,178,9.01,133,6.73,144,7.29,125,6.33,160,8.1,21,1.06,14,0.71,13,0.66,104,5.27,103,5.22,129,6.53,91,4.61,77,3.9,79,4.0,74,3.75,05031
5,32,2868,229,7.98,249,8.68,211,7.36,284,9.9,211,7.36,248,8.65,200,6.97,240,8.37,25,0.87,23,0.8,14,0.49,128,4.46,137,4.78,140,4.88,111,3.87,100,3.49,111,3.87,98,3.42,05032
5,35,332,19,5.72,19,5.72,19,5.72,21,6.33,19,5.72,20,6.02,18,5.42,19,5.72,0,0.0,0,0.0,1,0.3,21,6.33,22,6.63,23,6.93,21,6.33,22,6.63,23,6.93,22,6.63,05035
5,36,1637,134,8.19,143,8.74,112,6.84,163,9.96,120,7.33,119,7.27,113,6.9,135,8.25,20,1.22,14,0.86,7,0.43,80,4.89,85,5.19,80,4.89,68,4.15,61,3.73,69,4.22,52,3.18,05036
5,37,2740,204,7.45,212,7.74,206,7.52,242,8.83,198,7.23,210,7.66,191,6.97,201,7.34,6,0.22,5,0.18,3,0.11,131,4.78,145,5.29,146,5.33,126,4.6,127,4.64,131,4.78,120,4.38,05037
5,38,2232,159,7.12,182,8.15,141,6.32,204,9.14,146,6.54,162,7.26,139,6.23,173,7.75,13,0.58,17,0.76,12,0.54,122,5.47,124,5.56,139,6.23,103,4.61,97,4.35,104,4.66,87,3.9,05038
5,40,1827,149,8.16,140,7.66,121,6.62,160,8.76,125,6.84,137,7.5,110,6.02,146,7.99,9,0.49,10,0.55,10,0.55,96,5.25,105,5.75,110,6.02,86,4.71,82,4.49,80,4.38,66,3.61,05040
5,41,1690,138,8.17,148,8.76,137,8.11,166,9.82,139,8.22,150,8.88,137,8.11,148,8.76,6,0.36,6,0.36,3,0.18,66,3.91,69,4.08,70,4.14,64,3.79,61,3.61,65,3.85,54,3.2,05041
