ward,precinct,total,Camille Lilly,Camille Lilly Percent,precinct_id
29,1,325,325,100.0,29001
29,4,337,337,100.0,29004
29,5,247,247,100.0,29005
29,7,270,270,100.0,29007
29,9,278,278,100.0,29009
29,10,333,333,100.0,29010
29,12,338,338,100.0,29012
29,13,326,326,100.0,29013
29,15,303,303,100.0,29015
29,17,308,308,100.0,29017
29,23,211,211,100.0,29023
29,24,225,225,100.0,29024
29,25,311,311,100.0,29025
29,26,281,281,100.0,29026
29,27,241,241,100.0,29027
29,30,40,40,100.0,29030
29,33,214,214,100.0,29033
29,35,223,223,100.0,29035
29,36,46,46,100.0,29036
29,37,255,255,100.0,29037
29,40,336,336,100.0,29040
29,41,238,238,100.0,29041
29,43,326,326,100.0,29043
29,44,368,368,100.0,29044
37,18,252,252,100.0,37018
37,29,157,157,100.0,37029
37,35,232,232,100.0,37035
37,37,281,281,100.0,37037
