ward,precinct,total,Kimberly A. Lightford,Kimberly A. Lightford Percent,precinct_id
28,1,251,251,100.0,28001
28,12,272,272,100.0,28012
28,14,248,248,100.0,28014
28,31,338,338,100.0,28031
28,39,207,207,100.0,28039
28,41,204,204,100.0,28041
28,42,180,180,100.0,28042
28,43,341,341,100.0,28043
29,2,453,453,100.0,29002
29,3,343,343,100.0,29003
29,6,251,251,100.0,29006
29,8,265,265,100.0,29008
29,11,173,173,100.0,29011
29,14,316,316,100.0,29014
29,16,363,363,100.0,29016
29,18,333,333,100.0,29018
29,19,321,321,100.0,29019
29,20,384,384,100.0,29020
29,21,393,393,100.0,29021
29,22,251,251,100.0,29022
29,28,388,388,100.0,29028
29,34,172,172,100.0,29034
29,42,324,324,100.0,29042
37,1,223,223,100.0,37001
37,5,309,309,100.0,37005
37,6,279,279,100.0,37006
37,9,283,283,100.0,37009
37,10,288,288,100.0,37010
37,11,218,218,100.0,37011
37,14,257,257,100.0,37014
37,15,304,304,100.0,37015
37,16,282,282,100.0,37016
37,17,269,269,100.0,37017
37,20,236,236,100.0,37020
37,22,55,55,100.0,37022
37,23,290,290,100.0,37023
37,24,281,281,100.0,37024
37,25,262,262,100.0,37025
37,26,320,320,100.0,37026
37,27,236,236,100.0,37027
37,29,114,114,100.0,37029
37,30,174,174,100.0,37030
37,31,293,293,100.0,37031
37,32,234,234,100.0,37032
37,33,271,271,100.0,37033
37,34,259,259,100.0,37034
37,36,265,265,100.0,37036
37,38,330,330,100.0,37038
37,39,238,238,100.0,37039
37,40,313,313,100.0,37040
37,41,267,267,100.0,37041
