ward,precinct,total,Andrew Devito,Andrew Devito Percent,Tim Heneghan,Tim Heneghan Percent,precinct_id
41,1,230,73,31.74,139,60.43,41001
41,2,274,67,24.45,201,73.36,41002
41,3,230,85,36.96,120,52.17,41003
41,4,295,53,17.97,234,79.32,41004
41,5,298,65,21.81,211,70.81,41005
41,6,351,92,26.21,233,66.38,41006
41,7,283,71,25.09,202,71.38,41007
41,8,228,60,26.32,160,70.18,41008
41,9,248,120,48.39,104,41.94,41009
41,10,295,44,14.92,241,81.69,41010
41,11,279,74,26.52,182,65.23,41011
41,12,255,107,41.96,112,43.92,41012
41,13,254,88,34.65,147,57.87,41013
41,14,321,96,29.91,187,58.26,41014
41,15,332,81,24.4,235,70.78,41015
41,16,218,65,29.82,140,64.22,41016
41,17,228,71,31.14,143,62.72,41017
41,18,235,92,39.15,131,55.74,41018
41,19,284,85,29.93,157,55.28,41019
41,20,171,43,25.15,112,65.5,41020
41,21,230,76,33.04,140,60.87,41021
41,22,258,67,25.97,172,66.67,41022
41,23,214,132,61.68,72,33.64,41023
41,24,209,85,40.67,100,47.85,41024
41,25,144,71,49.31,52,36.11,41025
41,26,269,90,33.46,153,56.88,41026
41,27,171,114,66.67,44,25.73,41027
41,28,185,91,49.19,64,34.59,41028
41,29,135,77,57.04,41,30.37,41029
41,30,259,107,41.31,125,48.26,41030
41,31,247,70,28.34,164,66.4,41031
41,32,202,65,32.18,116,57.43,41032
41,33,240,119,49.58,105,43.75,41033
41,34,204,92,45.1,103,50.49,41034
41,35,292,92,31.51,187,64.04,41035
41,36,230,73,31.74,144,62.61,41036
41,37,271,81,29.89,177,65.31,41037
41,38,223,97,43.5,107,47.98,41038
41,39,269,91,33.83,140,52.04,41039
41,40,258,66,25.58,179,69.38,41040
41,41,231,123,53.25,97,41.99,41041
41,42,237,51,21.52,175,73.84,41042
41,43,259,138,53.28,107,41.31,41043
41,44,266,73,27.44,185,69.55,41044
41,45,219,83,37.9,121,55.25,41045
41,46,285,98,34.39,162,56.84,41046
41,47,257,67,26.07,164,63.81,41047
