ward,precinct,total,Celeste K. Jones,Celeste K. Jones Percent,Chelsey R. Robinson,Chelsey R. Robinson Percent,D. Renee Jackson,D. Renee Jackson Percent,Travis Richardson,Travis Richardson Percent,precinct_id
9,1,331,94,28.4,81,24.47,106,32.02,50,15.11,09001
9,2,276,61,22.1,69,25.0,84,30.43,62,22.46,09002
9,3,240,69,28.75,67,27.92,69,28.75,35,14.58,09003
9,4,257,46,17.9,41,15.95,105,40.86,65,25.29,09004
9,5,266,57,21.43,58,21.8,95,35.71,56,21.05,09005
9,6,290,74,25.52,58,20.0,116,40.0,42,14.48,09006
9,7,199,32,16.08,62,31.16,61,30.65,44,22.11,09007
9,8,325,73,22.46,96,29.54,108,33.23,48,14.77,09008
9,9,330,73,22.12,91,27.58,96,29.09,70,21.21,09009
9,10,273,57,20.88,57,20.88,100,36.63,59,21.61,09010
9,11,221,46,20.81,85,38.46,45,20.36,45,20.36,09011
9,13,17,2,11.76,4,23.53,9,52.94,2,11.76,09013
9,14,57,16,28.07,17,29.82,16,28.07,8,14.04,09014
9,15,281,77,27.4,65,23.13,88,31.32,51,18.15,09015
9,16,287,68,23.69,68,23.69,103,35.89,48,16.72,09016
9,17,231,49,21.21,45,19.48,82,35.5,55,23.81,09017
9,18,211,51,24.17,57,27.01,64,30.33,39,18.48,09018
9,19,303,71,23.43,62,20.46,123,40.59,47,15.51,09019
9,20,337,51,15.13,77,22.85,166,49.26,43,12.76,09020
9,21,253,52,20.55,64,25.3,79,31.23,58,22.92,09021
9,22,321,58,18.07,101,31.46,104,32.4,58,18.07,09022
9,26,266,42,15.79,73,27.44,94,35.34,57,21.43,09026
9,27,259,60,23.17,78,30.12,82,31.66,39,15.06,09027
9,28,180,45,25.0,47,26.11,58,32.22,30,16.67,09028
9,29,238,61,25.63,60,25.21,69,28.99,48,20.17,09029
9,30,265,46,17.36,84,31.7,81,30.57,54,20.38,09030
9,31,227,53,23.35,58,25.55,69,30.4,47,20.7,09031
9,32,260,52,20.0,70,26.92,96,36.92,42,16.15,09032
9,33,224,45,20.09,51,22.77,84,37.5,44,19.64,09033
9,34,233,45,19.31,66,28.33,76,32.62,46,19.74,09034
