ward,precinct,total,Anthony E. Simpkins,Anthony E. Simpkins Percent,Rhonda Crawford,Rhonda Crawford Percent,Lisa A. Copland,Lisa A. Copland Percent,precinct_id
5,12,183,48,26.23,98,53.55,37,20.22,05012
6,1,335,94,28.06,136,40.6,105,31.34,06001
6,2,316,81,25.63,157,49.68,78,24.68,06002
6,3,324,99,30.56,131,40.43,94,29.01,06003
6,4,214,43,20.09,115,53.74,56,26.17,06004
6,5,205,49,23.9,110,53.66,46,22.44,06005
6,6,293,88,30.03,141,48.12,64,21.84,06006
6,8,329,118,35.87,149,45.29,62,18.84,06008
6,10,225,52,23.11,122,54.22,51,22.67,06010
6,12,246,56,22.76,131,53.25,59,23.98,06012
6,13,241,59,24.48,125,51.87,57,23.65,06013
6,14,260,69,26.54,140,53.85,51,19.62,06014
6,15,58,16,27.59,29,50.0,13,22.41,06015
6,16,313,111,35.46,134,42.81,68,21.73,06016
6,17,208,68,32.69,110,52.88,30,14.42,06017
6,18,161,48,29.81,72,44.72,41,25.47,06018
6,19,271,84,31.0,126,46.49,61,22.51,06019
6,20,182,45,24.73,100,54.95,37,20.33,06020
6,21,68,14,20.59,38,55.88,16,23.53,06021
6,22,198,50,25.25,98,49.49,50,25.25,06022
6,25,185,57,30.81,93,50.27,35,18.92,06025
6,26,66,10,15.15,42,63.64,14,21.21,06026
6,27,182,46,25.27,88,48.35,48,26.37,06027
6,29,318,117,36.79,122,38.36,79,24.84,06029
6,30,25,6,24.0,14,56.0,5,20.0,06030
6,31,322,137,42.55,106,32.92,79,24.53,06031
6,33,317,103,32.49,160,50.47,54,17.03,06033
6,34,305,106,34.75,133,43.61,66,21.64,06034
6,35,285,87,30.53,124,43.51,74,25.96,06035
6,36,347,102,29.39,149,42.94,96,27.67,06036
6,37,333,105,31.53,137,41.14,91,27.33,06037
6,38,334,95,28.44,141,42.22,98,29.34,06038
6,39,287,77,26.83,145,50.52,65,22.65,06039
6,40,235,76,32.34,118,50.21,41,17.45,06040
6,41,348,89,25.57,179,51.44,80,22.99,06041
6,42,321,81,25.23,164,51.09,76,23.68,06042
6,43,255,84,32.94,113,44.31,58,22.75,06043
6,44,293,79,26.96,145,49.49,69,23.55,06044
6,45,339,90,26.55,149,43.95,100,29.5,06045
6,46,203,52,25.62,102,50.25,49,24.14,06046
6,47,228,55,24.12,115,50.44,58,25.44,06047
7,7,257,46,17.9,139,54.09,72,28.02,07007
7,10,316,88,27.85,169,53.48,59,18.67,07010
7,11,331,84,25.38,173,52.27,74,22.36,07011
7,12,251,52,20.72,132,52.59,67,26.69,07012
7,13,141,38,26.95,71,50.35,32,22.7,07013
7,14,300,86,28.67,147,49.0,67,22.33,07014
7,15,288,88,30.56,147,51.04,53,18.4,07015
7,16,253,73,28.85,115,45.45,65,25.69,07016
7,17,251,67,26.69,123,49.0,61,24.3,07017
7,18,220,63,28.64,105,47.73,52,23.64,07018
7,19,302,79,26.16,160,52.98,63,20.86,07019
7,20,202,55,27.23,101,50.0,46,22.77,07020
7,21,201,58,28.86,94,46.77,49,24.38,07021
7,22,215,58,26.98,90,41.86,67,31.16,07022
7,23,304,78,25.66,165,54.28,61,20.07,07023
7,24,252,59,23.41,133,52.78,60,23.81,07024
7,25,261,67,25.67,122,46.74,72,27.59,07025
7,26,257,73,28.4,150,58.37,34,13.23,07026
7,27,236,74,31.36,118,50.0,44,18.64,07027
7,28,197,46,23.35,102,51.78,49,24.87,07028
7,29,243,70,28.81,119,48.97,54,22.22,07029
7,30,207,52,25.12,92,44.44,63,30.43,07030
7,31,172,47,27.33,82,47.67,43,25.0,07031
7,32,404,143,35.4,191,47.28,70,17.33,07032
7,33,380,83,21.84,171,45.0,126,33.16,07033
7,34,340,99,29.12,166,48.82,75,22.06,07034
7,35,264,62,23.48,118,44.7,84,31.82,07035
7,36,367,90,24.52,184,50.14,93,25.34,07036
7,37,311,66,21.22,159,51.13,86,27.65,07037
7,38,263,54,20.53,136,51.71,73,27.76,07038
7,39,276,57,20.65,153,55.43,66,23.91,07039
7,40,261,69,26.44,124,47.51,68,26.05,07040
7,41,277,76,27.44,148,53.43,53,19.13,07041
7,42,277,82,29.6,137,49.46,58,20.94,07042
7,43,249,41,16.47,149,59.84,59,23.69,07043
7,44,281,74,26.33,134,47.69,73,25.98,07044
7,45,289,92,31.83,127,43.94,70,24.22,07045
7,46,115,31,26.96,60,52.17,24,20.87,07046
8,2,120,37,30.83,62,51.67,21,17.5,08002
8,3,345,135,39.13,109,31.59,101,29.28,08003
8,4,347,92,26.51,139,40.06,116,33.43,08004
8,5,331,133,40.18,103,31.12,95,28.7,08005
8,6,326,117,35.89,155,47.55,54,16.56,08006
8,7,342,99,28.95,176,51.46,67,19.59,08007
8,8,299,109,36.45,140,46.82,50,16.72,08008
8,9,204,56,27.45,106,51.96,42,20.59,08009
8,10,386,119,30.83,144,37.31,123,31.87,08010
8,11,266,111,41.73,102,38.35,53,19.92,08011
8,12,281,101,35.94,104,37.01,76,27.05,08012
8,13,340,85,25.0,182,53.53,73,21.47,08013
8,14,246,70,28.46,108,43.9,68,27.64,08014
8,15,286,102,35.66,115,40.21,69,24.13,08015
8,16,126,26,20.63,74,58.73,26,20.63,08016
8,17,258,102,39.53,114,44.19,42,16.28,08017
8,18,283,96,33.92,127,44.88,60,21.2,08018
8,19,369,116,31.44,143,38.75,110,29.81,08019
8,20,348,125,35.92,154,44.25,69,19.83,08020
8,21,375,128,34.13,164,43.73,83,22.13,08021
8,22,273,84,30.77,132,48.35,57,20.88,08022
8,23,247,70,28.34,122,49.39,55,22.27,08023
8,24,182,61,33.52,83,45.6,38,20.88,08024
8,25,290,95,32.76,126,43.45,69,23.79,08025
8,26,185,47,25.41,106,57.3,32,17.3,08026
8,27,344,125,36.34,136,39.53,83,24.13,08027
8,28,306,92,30.07,156,50.98,58,18.95,08028
8,29,358,128,35.75,168,46.93,62,17.32,08029
8,30,322,111,34.47,142,44.1,69,21.43,08030
8,31,241,88,36.51,112,46.47,41,17.01,08031
8,32,239,44,18.41,118,49.37,77,32.22,08032
8,33,287,77,26.83,149,51.92,61,21.25,08033
