ward,precinct,total,Gregory I. Mitchell,Gregory I. Mitchell Percent,precinct_id
7,1,264,264,100.0,07001
7,2,264,264,100.0,07002
7,3,276,276,100.0,07003
7,4,295,295,100.0,07004
7,5,208,208,100.0,07005
7,6,333,333,100.0,07006
7,7,244,244,100.0,07007
7,8,206,206,100.0,07008
7,9,401,401,100.0,07009
7,10,325,325,100.0,07010
7,11,316,316,100.0,07011
7,12,251,251,100.0,07012
7,13,163,163,100.0,07013
7,14,286,286,100.0,07014
7,15,292,292,100.0,07015
7,16,255,255,100.0,07016
7,17,245,245,100.0,07017
7,18,217,217,100.0,07018
7,19,278,278,100.0,07019
7,20,211,211,100.0,07020
7,21,202,202,100.0,07021
7,22,215,215,100.0,07022
7,23,308,308,100.0,07023
7,24,250,250,100.0,07024
7,25,257,257,100.0,07025
7,26,255,255,100.0,07026
7,27,237,237,100.0,07027
7,28,192,192,100.0,07028
7,29,240,240,100.0,07029
7,30,212,212,100.0,07030
7,31,167,167,100.0,07031
7,32,416,416,100.0,07032
7,33,392,392,100.0,07033
7,34,347,347,100.0,07034
7,35,265,265,100.0,07035
7,36,367,367,100.0,07036
7,37,332,332,100.0,07037
7,38,235,235,100.0,07038
7,39,252,252,100.0,07039
7,40,268,268,100.0,07040
7,41,284,284,100.0,07041
7,42,277,277,100.0,07042
7,43,246,246,100.0,07043
7,44,274,274,100.0,07044
7,45,292,292,100.0,07045
7,46,114,114,100.0,07046
