ward,precinct,total,Pat Dowell,Pat Dowell Percent,precinct_id
3,1,417,417,100.0,03001
3,2,436,436,100.0,03002
3,3,261,261,100.0,03003
3,4,389,389,100.0,03004
3,5,265,265,100.0,03005
3,6,245,245,100.0,03006
3,7,268,268,100.0,03007
3,8,313,313,100.0,03008
3,9,371,371,100.0,03009
3,10,181,181,100.0,03010
3,11,343,343,100.0,03011
3,12,387,387,100.0,03012
3,13,332,332,100.0,03013
3,14,260,260,100.0,03014
3,15,337,337,100.0,03015
3,16,341,341,100.0,03016
3,17,303,303,100.0,03017
3,18,496,496,100.0,03018
3,19,260,260,100.0,03019
3,20,391,391,100.0,03020
3,21,255,255,100.0,03021
3,22,313,313,100.0,03022
3,23,334,334,100.0,03023
3,24,285,285,100.0,03024
3,25,307,307,100.0,03025
3,26,329,329,100.0,03026
3,27,263,263,100.0,03027
3,28,236,236,100.0,03028
3,29,353,353,100.0,03029
3,30,327,327,100.0,03030
3,31,415,415,100.0,03031
3,32,263,263,100.0,03032
3,33,282,282,100.0,03033
3,34,317,317,100.0,03034
3,35,160,160,100.0,03035
3,36,182,182,100.0,03036
3,37,287,287,100.0,03037
3,38,308,308,100.0,03038
3,39,273,273,100.0,03039
3,40,304,304,100.0,03040
3,41,283,283,100.0,03041
