ward,precinct,total,Fred Carrizales,Fred Carrizales Percent,Susan Sadlowski Garza,Susan Sadlowski Garza Percent,precinct_id
10,1,266,103,38.72,163,61.28,10001
10,2,204,58,28.43,146,71.57,10002
10,3,232,70,30.17,162,69.83,10003
10,4,248,83,33.47,165,66.53,10004
10,5,178,52,29.21,126,70.79,10005
10,6,232,78,33.62,154,66.38,10006
10,7,192,51,26.56,141,73.44,10007
10,8,206,55,26.7,151,73.3,10008
10,9,223,66,29.6,157,70.4,10009
10,10,298,53,17.79,245,82.21,10010
10,11,347,69,19.88,278,80.12,10011
10,12,200,32,16.0,168,84.0,10012
10,13,330,121,36.67,209,63.33,10013
10,14,354,93,26.27,261,73.73,10014
10,15,563,167,29.66,396,70.34,10015
10,16,202,56,27.72,146,72.28,10016
10,17,275,75,27.27,200,72.73,10017
10,18,193,46,23.83,147,76.17,10018
10,19,267,53,19.85,214,80.15,10019
10,20,301,70,23.26,231,76.74,10020
10,21,311,87,27.97,224,72.03,10021
10,22,169,40,23.67,129,76.33,10022
10,23,306,61,19.93,245,80.07,10023
10,24,214,61,28.5,153,71.5,10024
10,25,95,35,36.84,60,63.16,10025
10,26,237,64,27.0,173,73.0,10026
10,27,264,79,29.92,185,70.08,10027
10,28,332,50,15.06,282,84.94,10028
10,29,273,56,20.51,217,79.49,10029
10,30,293,60,20.48,233,79.52,10030
10,31,226,45,19.91,181,80.09,10031
10,32,293,50,17.06,243,82.94,10032
10,33,192,37,19.27,155,80.73,10033
10,34,190,65,34.21,125,65.79,10034
10,35,278,58,20.86,220,79.14,10035
10,36,73,35,47.95,38,52.05,10036
