ward,precinct,total,Edward M. Burke,Edward M. Burke Percent,precinct_id
14,1,253,253,100.0,14001
14,2,385,385,100.0,14002
14,3,335,335,100.0,14003
14,4,195,195,100.0,14004
14,5,423,423,100.0,14005
14,6,151,151,100.0,14006
14,7,293,293,100.0,14007
14,8,281,281,100.0,14008
14,9,282,282,100.0,14009
14,10,196,196,100.0,14010
14,11,207,207,100.0,14011
14,12,252,252,100.0,14012
14,13,241,241,100.0,14013
14,14,277,277,100.0,14014
14,15,359,359,100.0,14015
14,16,205,205,100.0,14016
14,17,239,239,100.0,14017
14,18,106,106,100.0,14018
14,19,315,315,100.0,14019
14,20,184,184,100.0,14020
14,21,250,250,100.0,14021
14,22,290,290,100.0,14022
14,23,200,200,100.0,14023
14,24,256,256,100.0,14024
14,25,174,174,100.0,14025
14,26,204,204,100.0,14026
14,27,261,261,100.0,14027
14,28,181,181,100.0,14028
14,29,252,252,100.0,14029
14,30,170,170,100.0,14030
14,31,171,171,100.0,14031
