ward,precinct,total,Kelly M. Burke,Kelly M. Burke Percent,precinct_id
17,18,1,1,100.0,17018
18,9,157,157,100.0,18009
18,19,8,8,100.0,18019
18,26,81,81,100.0,18026
18,32,268,268,100.0,18032
18,34,312,312,100.0,18034
19,3,154,154,100.0,19003
19,5,303,303,100.0,19005
19,9,177,177,100.0,19009
19,12,162,162,100.0,19012
19,16,34,34,100.0,19016
19,18,47,47,100.0,19018
19,24,159,159,100.0,19024
19,30,9,9,100.0,19030
19,33,50,50,100.0,19033
19,55,169,169,100.0,19055
19,56,222,222,100.0,19056
21,7,300,300,100.0,21007
21,9,313,313,100.0,21009
21,13,225,225,100.0,21013
21,15,59,59,100.0,21015
21,26,12,12,100.0,21026
21,29,219,219,100.0,21029
