ward,precinct,total,Jesse Outlaw,Jesse Outlaw Percent,Maryam Ahmad,Maryam Ahmad Percent,precinct_id
5,12,185,106,57.3,79,42.7,05012
6,1,332,178,53.61,154,46.39,06001
6,2,321,166,51.71,155,48.29,06002
6,3,322,141,43.79,181,56.21,06003
6,4,207,116,56.04,91,43.96,06004
6,5,202,112,55.45,90,44.55,06005
6,6,307,153,49.84,154,50.16,06006
6,8,336,177,52.68,159,47.32,06008
6,10,229,111,48.47,118,51.53,06010
6,12,245,122,49.8,123,50.2,06012
6,13,234,117,50.0,117,50.0,06013
6,14,260,136,52.31,124,47.69,06014
6,15,59,32,54.24,27,45.76,06015
6,16,318,138,43.4,180,56.6,06016
6,17,216,106,49.07,110,50.93,06017
6,18,164,80,48.78,84,51.22,06018
6,19,275,134,48.73,141,51.27,06019
6,20,185,101,54.59,84,45.41,06020
6,21,62,35,56.45,27,43.55,06021
6,22,192,101,52.6,91,47.4,06022
6,25,190,89,46.84,101,53.16,06025
6,26,62,27,43.55,35,56.45,06026
6,27,180,96,53.33,84,46.67,06027
6,29,325,146,44.92,179,55.08,06029
6,30,25,8,32.0,17,68.0,06030
6,31,334,133,39.82,201,60.18,06031
6,33,328,159,48.48,169,51.52,06033
6,34,312,156,50.0,156,50.0,06034
6,35,294,147,50.0,147,50.0,06035
6,36,343,194,56.56,149,43.44,06036
6,37,336,147,43.75,189,56.25,06037
6,38,339,171,50.44,168,49.56,06038
6,39,288,142,49.31,146,50.69,06039
6,40,247,102,41.3,145,58.7,06040
6,41,338,176,52.07,162,47.93,06041
6,42,314,154,49.04,160,50.96,06042
6,43,274,118,43.07,156,56.93,06043
6,44,293,166,56.66,127,43.34,06044
6,45,341,168,49.27,173,50.73,06045
6,46,206,99,48.06,107,51.94,06046
6,47,231,125,54.11,106,45.89,06047
7,7,247,127,51.42,120,48.58,07007
7,10,316,183,57.91,133,42.09,07010
7,11,321,179,55.76,142,44.24,07011
7,12,258,146,56.59,112,43.41,07012
7,13,148,81,54.73,67,45.27,07013
7,14,293,159,54.27,134,45.73,07014
7,15,282,159,56.38,123,43.62,07015
7,16,247,148,59.92,99,40.08,07016
7,17,249,140,56.22,109,43.78,07017
7,18,223,116,52.02,107,47.98,07018
7,19,290,169,58.28,121,41.72,07019
7,20,211,119,56.4,92,43.6,07020
7,21,207,118,57.0,89,43.0,07021
7,22,211,123,58.29,88,41.71,07022
7,23,302,177,58.61,125,41.39,07023
7,24,251,143,56.97,108,43.03,07024
7,25,252,155,61.51,97,38.49,07025
7,26,257,132,51.36,125,48.64,07026
7,27,239,136,56.9,103,43.1,07027
7,28,193,107,55.44,86,44.56,07028
7,29,249,127,51.0,122,49.0,07029
7,30,205,117,57.07,88,42.93,07030
7,31,168,89,52.98,79,47.02,07031
7,32,417,221,53.0,196,47.0,07032
7,33,367,187,50.95,180,49.05,07033
7,34,343,202,58.89,141,41.11,07034
7,35,266,162,60.9,104,39.1,07035
7,36,368,200,54.35,168,45.65,07036
7,37,305,173,56.72,132,43.28,07037
7,38,257,154,59.92,103,40.08,07038
7,39,271,141,52.03,130,47.97,07039
7,40,255,145,56.86,110,43.14,07040
7,41,276,150,54.35,126,45.65,07041
7,42,274,155,56.57,119,43.43,07042
7,43,239,144,60.25,95,39.75,07043
7,44,272,168,61.76,104,38.24,07044
7,45,280,170,60.71,110,39.29,07045
7,46,117,59,50.43,58,49.57,07046
8,2,120,67,55.83,53,44.17,08002
8,3,345,152,44.06,193,55.94,08003
8,4,353,157,44.48,196,55.52,08004
8,5,342,192,56.14,150,43.86,08005
8,6,324,143,44.14,181,55.86,08006
8,7,349,174,49.86,175,50.14,08007
8,8,303,144,47.52,159,52.48,08008
8,9,206,107,51.94,99,48.06,08009
8,10,383,165,43.08,218,56.92,08010
8,11,272,128,47.06,144,52.94,08011
8,12,277,119,42.96,158,57.04,08012
8,13,340,197,57.94,143,42.06,08013
8,14,248,118,47.58,130,52.42,08014
8,15,285,132,46.32,153,53.68,08015
8,16,123,71,57.72,52,42.28,08016
8,17,256,117,45.7,139,54.3,08017
8,18,288,125,43.4,163,56.6,08018
8,19,366,216,59.02,150,40.98,08019
8,20,340,150,44.12,190,55.88,08020
8,21,379,175,46.17,204,53.83,08021
8,22,266,118,44.36,148,55.64,08022
8,23,253,129,50.99,124,49.01,08023
8,24,179,82,45.81,97,54.19,08024
8,25,301,159,52.82,142,47.18,08025
8,26,182,96,52.75,86,47.25,08026
8,27,339,151,44.54,188,55.46,08027
8,28,313,170,54.31,143,45.69,08028
8,29,363,147,40.5,216,59.5,08029
8,30,330,157,47.58,173,52.42,08030
8,31,244,124,50.82,120,49.18,08031
8,32,231,137,59.31,94,40.69,08032
8,33,295,152,51.53,143,48.47,08033
8,34,285,135,47.37,150,52.63,08034
8,35,327,171,52.29,156,47.71,08035
8,36,325,154,47.38,171,52.62,08036
8,37,273,121,44.32,152,55.68,08037
8,38,189,93,49.21,96,50.79,08038
8,39,298,186,62.42,112,37.58,08039
8,40,258,139,53.88,119,46.12,08040
8,41,300,140,46.67,160,53.33,08041
8,43,143,80,55.94,63,44.06,08043
8,44,211,94,44.55,117,55.45,08044
8,45,297,155,52.19,142,47.81,08045
8,46,236,116,49.15,120,50.85,08046
8,47,240,122,50.83,118,49.17,08047
8,48,298,139,46.64,159,53.36,08048
8,49,286,125,43.71,161,56.29,08049
8,50,313,120,38.34,193,61.66,08050
8,51,338,134,39.64,204,60.36,08051
8,52,394,180,45.69,214,54.31,08052
8,53,169,82,48.52,87,51.48,08053
8,54,278,129,46.4,149,53.6,08054
8,55,241,100,41.49,141,58.51,08055
8,56,300,143,47.67,157,52.33,08056
9,12,313,183,58.47,130,41.53,09012
9,13,307,193,62.87,114,37.13,09013
9,14,333,206,61.86,127,38.14,09014
9,23,328,162,49.39,166,50.61,09023
9,24,306,176,57.52,130,42.48,09024
9,25,290,150,51.72,140,48.28,09025
9,35,261,139,53.26,122,46.74,09035
9,36,257,146,56.81,111,43.19,09036
9,42,311,163,52.41,148,47.59,09042
9,47,323,185,57.28,138,42.72,09047
9,48,321,178,55.45,143,44.55,09048
9,49,322,185,57.45,137,42.55,09049
9,50,378,216,57.14,162,42.86,09050
9,51,303,170,56.11,133,43.89,09051
10,1,224,118,52.68,106,47.32,10001
10,2,162,82,50.62,80,49.38,10002
10,3,184,105,57.07,79,42.93,10003
10,4,196,111,56.63,85,43.37,10004
10,5,137,80,58.39,57,41.61,10005
10,6,190,98,51.58,92,48.42,10006
10,7,160,91,56.88,69,43.13,10007
10,8,179,104,58.1,75,41.9,10008
10,9,173,110,63.58,63,36.42,10009
10,10,236,130,55.08,106,44.92,10010
