ward,precinct,total,Leslie A. Hairston,Leslie A. Hairston Percent,precinct_id
5,1,265,265,100.0,05001
5,2,279,279,100.0,05002
5,3,296,296,100.0,05003
5,4,378,378,100.0,05004
5,5,291,291,100.0,05005
5,6,286,286,100.0,05006
5,7,333,333,100.0,05007
5,8,304,304,100.0,05008
5,9,373,373,100.0,05009
5,10,265,265,100.0,05010
5,11,327,327,100.0,05011
5,12,250,250,100.0,05012
5,13,273,273,100.0,05013
5,14,278,278,100.0,05014
5,15,301,301,100.0,05015
5,16,303,303,100.0,05016
5,17,285,285,100.0,05017
5,18,290,290,100.0,05018
5,19,290,290,100.0,05019
5,20,354,354,100.0,05020
5,21,305,305,100.0,05021
5,22,342,342,100.0,05022
5,23,456,456,100.0,05023
5,24,343,343,100.0,05024
5,25,305,305,100.0,05025
5,26,296,296,100.0,05026
5,27,239,239,100.0,05027
5,28,347,347,100.0,05028
5,29,355,355,100.0,05029
5,30,243,243,100.0,05030
5,31,273,273,100.0,05031
5,32,367,367,100.0,05032
5,33,342,342,100.0,05033
5,34,322,322,100.0,05034
5,35,327,327,100.0,05035
5,36,232,232,100.0,05036
5,37,310,310,100.0,05037
5,38,332,332,100.0,05038
5,39,227,227,100.0,05039
5,40,224,224,100.0,05040
5,41,177,177,100.0,05041
