ward,precinct,total,Michael R. Zalewski,Michael R. Zalewski Percent,Charles M. Hughes,Charles M. Hughes Percent,precinct_id
23,1,273,233,85.35,40,14.65,23001
23,2,244,191,78.28,53,21.72,23002
23,3,215,183,85.12,32,14.88,23003
23,4,307,249,81.11,58,18.89,23004
23,5,281,173,61.57,108,38.43,23005
23,6,314,251,79.94,63,20.06,23006
23,7,264,186,70.45,78,29.55,23007
23,8,318,237,74.53,81,25.47,23008
23,9,265,172,64.91,93,35.09,23009
23,10,353,257,72.8,96,27.2,23010
23,11,329,232,70.52,97,29.48,23011
23,12,230,177,76.96,53,23.04,23012
23,13,236,154,65.25,82,34.75,23013
23,14,221,194,87.78,27,12.22,23014
23,15,249,163,65.46,86,34.54,23015
23,16,232,176,75.86,56,24.14,23016
23,17,185,90,48.65,95,51.35,23017
23,18,227,177,77.97,50,22.03,23018
23,19,236,138,58.47,98,41.53,23019
23,20,194,122,62.89,72,37.11,23020
23,21,241,192,79.67,49,20.33,23021
23,22,255,198,77.65,57,22.35,23022
23,23,250,196,78.4,54,21.6,23023
23,24,253,172,67.98,81,32.02,23024
23,25,241,167,69.29,74,30.71,23025
23,26,292,211,72.26,81,27.74,23026
23,27,238,201,84.45,37,15.55,23027
23,28,265,199,75.09,66,24.91,23028
23,29,221,183,82.81,38,17.19,23029
23,30,330,225,68.18,105,31.82,23030
23,31,172,111,64.53,61,35.47,23031
23,32,299,196,65.55,103,34.45,23032
23,33,314,221,70.38,93,29.62,23033
23,34,271,190,70.11,81,29.89,23034
23,35,171,130,76.02,41,23.98,23035
23,36,232,200,86.21,32,13.79,23036
23,37,200,161,80.5,39,19.5,23037
23,38,227,184,81.06,43,18.94,23038
23,39,286,211,73.78,75,26.22,23039
