ward,precinct,total,Michelle A. Harris,Michelle A. Harris Percent,precinct_id
8,1,230,230,100.0,08001
8,2,302,302,100.0,08002
8,3,334,334,100.0,08003
8,4,347,347,100.0,08004
8,5,325,325,100.0,08005
8,6,319,319,100.0,08006
8,7,350,350,100.0,08007
8,8,292,292,100.0,08008
8,9,206,206,100.0,08009
8,10,357,357,100.0,08010
8,11,278,278,100.0,08011
8,12,266,266,100.0,08012
8,13,338,338,100.0,08013
8,14,247,247,100.0,08014
8,15,284,284,100.0,08015
8,16,130,130,100.0,08016
8,17,279,279,100.0,08017
8,18,294,294,100.0,08018
8,19,359,359,100.0,08019
8,20,329,329,100.0,08020
8,21,357,357,100.0,08021
8,22,262,262,100.0,08022
8,23,253,253,100.0,08023
8,24,169,169,100.0,08024
8,25,296,296,100.0,08025
8,26,307,307,100.0,08026
8,27,344,344,100.0,08027
8,28,309,309,100.0,08028
8,29,354,354,100.0,08029
8,30,330,330,100.0,08030
8,31,229,229,100.0,08031
8,32,260,260,100.0,08032
8,33,279,279,100.0,08033
8,34,277,277,100.0,08034
8,35,305,305,100.0,08035
8,36,328,328,100.0,08036
8,37,250,250,100.0,08037
8,38,186,186,100.0,08038
8,39,314,314,100.0,08039
8,40,239,239,100.0,08040
8,41,292,292,100.0,08041
8,42,388,388,100.0,08042
8,43,145,145,100.0,08043
8,44,224,224,100.0,08044
8,45,305,305,100.0,08045
8,46,235,235,100.0,08046
8,47,242,242,100.0,08047
8,48,300,300,100.0,08048
8,49,285,285,100.0,08049
8,50,318,318,100.0,08050
8,51,319,319,100.0,08051
8,52,392,392,100.0,08052
8,53,172,172,100.0,08053
8,54,275,275,100.0,08054
8,55,239,239,100.0,08055
8,56,301,301,100.0,08056
