ward,precinct,total,Jacqueline ''Jacqui'' Collins,Jacqueline ''Jacqui'' Collins Percent,precinct_id
6,4,232,232,100.0,06004
6,5,211,211,100.0,06005
6,6,287,287,100.0,06006
6,7,297,297,100.0,06007
6,9,303,303,100.0,06009
6,10,225,225,100.0,06010
6,11,302,302,100.0,06011
6,12,258,258,100.0,06012
6,15,173,173,100.0,06015
6,17,231,231,100.0,06017
6,18,181,181,100.0,06018
6,19,237,237,100.0,06019
6,20,177,177,100.0,06020
6,21,192,192,100.0,06021
6,22,204,204,100.0,06022
6,23,189,189,100.0,06023
6,24,192,192,100.0,06024
6,25,190,190,100.0,06025
6,26,234,234,100.0,06026
6,27,184,184,100.0,06027
6,28,104,104,100.0,06028
6,30,253,253,100.0,06030
6,32,275,275,100.0,06032
6,33,325,325,100.0,06033
6,40,265,265,100.0,06040
6,47,249,249,100.0,06047
6,48,314,314,100.0,06048
8,26,2,2,100.0,08026
15,7,71,71,100.0,15007
15,22,191,191,100.0,15022
16,6,145,145,100.0,16006
16,16,259,259,100.0,16016
16,24,156,156,100.0,16024
16,29,227,227,100.0,16029
16,30,63,63,100.0,16030
16,33,64,64,100.0,16033
17,1,8,8,100.0,17001
17,2,244,244,100.0,17002
17,3,279,279,100.0,17003
17,4,355,355,100.0,17004
17,5,230,230,100.0,17005
17,8,24,24,100.0,17008
17,9,261,261,100.0,17009
17,10,293,293,100.0,17010
17,11,223,223,100.0,17011
17,13,234,234,100.0,17013
17,15,297,297,100.0,17015
17,17,203,203,100.0,17017
17,18,305,305,100.0,17018
17,19,183,183,100.0,17019
17,20,343,343,100.0,17020
17,21,60,60,100.0,17021
17,22,247,247,100.0,17022
17,23,173,173,100.0,17023
17,24,304,304,100.0,17024
17,26,300,300,100.0,17026
17,27,279,279,100.0,17027
17,28,236,236,100.0,17028
17,29,243,243,100.0,17029
17,30,147,147,100.0,17030
17,31,184,184,100.0,17031
17,32,232,232,100.0,17032
17,33,175,175,100.0,17033
17,34,201,201,100.0,17034
17,35,231,231,100.0,17035
17,36,310,310,100.0,17036
17,37,240,240,100.0,17037
17,38,248,248,100.0,17038
17,39,275,275,100.0,17039
17,40,298,298,100.0,17040
17,41,335,335,100.0,17041
18,1,264,264,100.0,18001
18,2,241,241,100.0,18002
18,3,194,194,100.0,18003
18,4,313,313,100.0,18004
18,5,186,186,100.0,18005
18,6,207,207,100.0,18006
18,7,265,265,100.0,18007
18,8,284,284,100.0,18008
18,9,102,102,100.0,18009
18,10,395,395,100.0,18010
18,11,240,240,100.0,18011
18,12,257,257,100.0,18012
18,13,290,290,100.0,18013
18,14,303,303,100.0,18014
18,15,43,43,100.0,18015
18,16,287,287,100.0,18016
18,17,287,287,100.0,18017
18,18,240,240,100.0,18018
18,19,243,243,100.0,18019
18,20,231,231,100.0,18020
18,21,358,358,100.0,18021
18,22,340,340,100.0,18022
18,23,266,266,100.0,18023
18,24,254,254,100.0,18024
18,25,240,240,100.0,18025
18,26,266,266,100.0,18026
18,27,202,202,100.0,18027
18,28,214,214,100.0,18028
18,29,288,288,100.0,18029
18,30,271,271,100.0,18030
18,31,309,309,100.0,18031
18,32,14,14,100.0,18032
18,33,244,244,100.0,18033
18,35,318,318,100.0,18035
18,36,287,287,100.0,18036
18,37,323,323,100.0,18037
18,38,272,272,100.0,18038
18,39,222,222,100.0,18039
18,40,317,317,100.0,18040
18,41,326,326,100.0,18041
18,42,239,239,100.0,18042
18,43,20,20,100.0,18043
18,44,196,196,100.0,18044
18,45,246,246,100.0,18045
18,46,96,96,100.0,18046
18,47,216,216,100.0,18047
18,48,238,238,100.0,18048
18,49,194,194,100.0,18049
18,50,129,129,100.0,18050
20,8,34,34,100.0,20008
20,28,191,191,100.0,20028
21,2,73,73,100.0,21002
21,4,296,296,100.0,21004
21,13,30,30,100.0,21013
21,15,209,209,100.0,21015
21,17,32,32,100.0,21017
21,20,179,179,100.0,21020
21,26,277,277,100.0,21026
21,28,330,330,100.0,21028
21,30,241,241,100.0,21030
21,34,152,152,100.0,21034
21,43,321,321,100.0,21043
21,44,90,90,100.0,21044
21,47,274,274,100.0,21047
21,51,279,279,100.0,21051
21,52,261,261,100.0,21052
21,53,115,115,100.0,21053
21,54,267,267,100.0,21054
