ward,precinct,total,Roderick T. Sawyer,Roderick T. Sawyer Percent,precinct_id
6,1,340,340,100.0,06001
6,2,311,311,100.0,06002
6,3,325,325,100.0,06003
6,4,200,200,100.0,06004
6,5,193,193,100.0,06005
6,6,300,300,100.0,06006
6,7,290,290,100.0,06007
6,8,332,332,100.0,06008
6,9,293,293,100.0,06009
6,10,223,223,100.0,06010
6,11,294,294,100.0,06011
6,12,236,236,100.0,06012
6,13,234,234,100.0,06013
6,14,280,280,100.0,06014
6,15,223,223,100.0,06015
6,16,303,303,100.0,06016
6,17,212,212,100.0,06017
6,18,181,181,100.0,06018
6,19,244,244,100.0,06019
6,20,179,179,100.0,06020
6,21,175,175,100.0,06021
6,22,202,202,100.0,06022
6,23,163,163,100.0,06023
6,24,177,177,100.0,06024
6,25,179,179,100.0,06025
6,26,223,223,100.0,06026
6,27,173,173,100.0,06027
6,28,146,146,100.0,06028
6,29,326,326,100.0,06029
6,30,258,258,100.0,06030
6,31,303,303,100.0,06031
6,32,279,279,100.0,06032
6,33,317,317,100.0,06033
6,34,317,317,100.0,06034
6,35,277,277,100.0,06035
6,36,349,349,100.0,06036
6,37,339,339,100.0,06037
6,38,339,339,100.0,06038
6,39,279,279,100.0,06039
6,40,269,269,100.0,06040
6,41,344,344,100.0,06041
6,42,314,314,100.0,06042
6,43,245,245,100.0,06043
6,44,298,298,100.0,06044
6,45,315,315,100.0,06045
6,46,198,198,100.0,06046
6,47,227,227,100.0,06047
6,48,309,309,100.0,06048
